,acc
1,0.1109
2,0.1622
3,0.3161
4,0.3009
5,0.3042
6,0.3488
7,0.3473
8,0.4701
9,0.3649
10,0.4382
11,0.4465
12,0.4185
13,0.5159
14,0.5247
15,0.4754
16,0.5713
17,0.4522
18,0.4939
19,0.5611
20,0.4964
21,0.5881
22,0.51
23,0.5857
24,0.5598
25,0.5753
26,0.6191
27,0.5988
28,0.5902
29,0.5254
30,0.5943
31,0.579
32,0.6039
33,0.6417
34,0.6315
35,0.6487
36,0.6443
37,0.6784
38,0.6469
39,0.6523
40,0.587
41,0.6296
42,0.6231
43,0.6267
44,0.589
45,0.6322
46,0.6413
47,0.6634
48,0.6215
49,0.6514
50,0.699
51,0.7095
52,0.6633
53,0.6416
54,0.5829
55,0.6976
56,0.6626
57,0.6873
58,0.7056
59,0.6719
60,0.6666
61,0.6682
62,0.7336
63,0.7057
64,0.7209
65,0.6628
66,0.6692
67,0.694
68,0.6397
69,0.6979
70,0.6905
71,0.7221
72,0.7404
73,0.7194
74,0.6936
75,0.7169
76,0.7077
77,0.719
78,0.6844
79,0.7243
80,0.7035
81,0.7236
82,0.7159
83,0.6479
84,0.7005
85,0.7221
86,0.7081
87,0.7134
88,0.713
89,0.7126
90,0.7055
91,0.7194
92,0.7651
93,0.6862
94,0.7179
95,0.754
96,0.7425
97,0.7257
98,0.7305
99,0.7408
100,0.7684
101,0.7339
102,0.7553
103,0.7238
104,0.7357
105,0.7494
106,0.7577
107,0.7108
108,0.7747
109,0.7221
110,0.7349
111,0.7389
112,0.7492
113,0.7269
114,0.7747
115,0.7648
116,0.7652
117,0.704
118,0.7597
119,0.6733
120,0.7363
121,0.7582
122,0.7955
123,0.6748
124,0.7703
125,0.7254
126,0.7814
127,0.7574
128,0.7442
129,0.7536
130,0.7126
131,0.7662
132,0.7867
133,0.7738
134,0.6774
135,0.7568
136,0.7909
137,0.7527
138,0.7586
139,0.7926
140,0.7053
141,0.7759
142,0.7945
143,0.7262
144,0.7707
145,0.7519
146,0.7311
147,0.774
148,0.7826
149,0.8021
150,0.8034
151,0.7667
152,0.7873
153,0.7511
154,0.7268
155,0.7764
156,0.7822
157,0.7409
158,0.7758
159,0.765
160,0.7095
161,0.7001
162,0.79
163,0.754
164,0.7944
165,0.7896
166,0.7669
167,0.7964
168,0.7792
169,0.7991
170,0.7661
171,0.7753
172,0.7582
173,0.7827
174,0.7509
175,0.7601
176,0.7763
177,0.7382
178,0.7707
179,0.771
180,0.7609
181,0.7571
182,0.7559
183,0.7363
184,0.7978
185,0.7737
186,0.7754
187,0.8035
188,0.7426
189,0.7768
190,0.7925
191,0.6851
192,0.8057
193,0.8131
194,0.7622
195,0.8057
196,0.7737
197,0.7316
198,0.7484
199,0.7839
200,0.8021
201,0.7808
202,0.7801
203,0.7903
204,0.7676
205,0.7623
206,0.7876
207,0.803
208,0.7977
209,0.7675
210,0.7896
211,0.8105
212,0.773
213,0.7736
214,0.795
215,0.7649
216,0.7816
217,0.7833
