,acc
1,0.1102
2,0.2364
3,0.3313
4,0.3142
5,0.394
6,0.4021
7,0.417
8,0.44
9,0.4538
10,0.4953
11,0.4844
12,0.5244
13,0.4535
14,0.4967
15,0.5348
16,0.557
17,0.5676
18,0.4981
19,0.5972
20,0.5939
21,0.6157
22,0.5848
23,0.6535
24,0.6357
25,0.5772
26,0.6102
27,0.5749
28,0.5739
29,0.5651
30,0.5821
31,0.6212
32,0.5982
33,0.6466
34,0.6659
35,0.6698
36,0.6795
37,0.7056
38,0.6839
39,0.6752
40,0.6333
41,0.594
42,0.7162
43,0.7009
44,0.6958
45,0.6664
46,0.6897
47,0.6773
48,0.6554
49,0.6849
50,0.7212
51,0.7419
52,0.7146
53,0.689
54,0.7382
55,0.7043
56,0.7028
57,0.7419
58,0.74
59,0.7504
60,0.7288
61,0.7463
62,0.6966
63,0.699
64,0.746
65,0.7376
66,0.7581
67,0.7341
68,0.7555
69,0.7609
70,0.7647
71,0.7626
72,0.7132
73,0.7693
74,0.752
75,0.7772
76,0.7495
77,0.7361
78,0.7734
79,0.7743
80,0.7415
81,0.7734
82,0.7712
83,0.7689
84,0.7569
85,0.7871
86,0.7258
87,0.7614
88,0.78
89,0.7444
90,0.7883
91,0.7663
92,0.7445
93,0.7772
94,0.77
95,0.7347
96,0.7565
97,0.7692
98,0.7938
99,0.7533
100,0.7567
101,0.7883
102,0.7947
103,0.7893
104,0.7861
105,0.752
106,0.7648
107,0.8076
108,0.7474
109,0.7491
110,0.793
111,0.7501
112,0.7604
113,0.7906
114,0.7717
115,0.7929
116,0.7626
117,0.7725
118,0.7949
119,0.7957
120,0.7716
121,0.7836
122,0.8059
123,0.8022
124,0.7872
125,0.7983
126,0.7816
127,0.7907
128,0.7944
129,0.7274
130,0.7763
131,0.7717
132,0.8067
133,0.8121
134,0.7944
135,0.7874
136,0.7673
137,0.7935
138,0.7783
139,0.746
140,0.79
141,0.7748
142,0.7979
143,0.8152
144,0.8056
145,0.7882
146,0.7523
147,0.6968
148,0.7777
149,0.7836
150,0.7784
151,0.8049
152,0.7992
153,0.779
154,0.7688
155,0.7849
156,0.8181
157,0.7968
158,0.7864
159,0.8135
160,0.7943
161,0.8208
162,0.8168
163,0.7795
164,0.7511
165,0.8123
166,0.8091
167,0.7801
168,0.7895
169,0.8145
170,0.7832
171,0.7784
172,0.8156
173,0.7672
174,0.8115
175,0.7935
176,0.8091
177,0.8011
178,0.7875
179,0.8039
180,0.7857
181,0.7944
182,0.7926
183,0.7676
184,0.7853
185,0.8282
186,0.8076
187,0.8044
188,0.817
189,0.8052
190,0.7943
191,0.8272
192,0.7836
193,0.8267
194,0.7912
195,0.7842
196,0.8037
197,0.7851
198,0.7591
199,0.787
200,0.8042
201,0.8095
202,0.7874
203,0.7768
204,0.7846
205,0.8078
206,0.7617
207,0.8065
208,0.7741
209,0.8141
210,0.8193
211,0.8206
212,0.7964
213,0.8243
214,0.8009
215,0.8137
216,0.7731
217,0.7646
218,0.7932
219,0.7983
220,0.8134
221,0.8149
222,0.7934
223,0.7823
224,0.8067
225,0.8364
226,0.7773
227,0.7819
228,0.8012
229,0.7893
230,0.7782
231,0.8123
232,0.7718
233,0.806
234,0.7906
235,0.7777
236,0.8167
237,0.8143
238,0.7518
239,0.8192
240,0.8089
241,0.7987
242,0.7876
243,0.7841
244,0.8064
245,0.8231
246,0.8118
247,0.8054
248,0.8025
249,0.8119
250,0.81
251,0.8217
252,0.8069
253,0.7883
254,0.7938
255,0.8128
256,0.8189
257,0.8122
258,0.78
259,0.7846
260,0.7987
261,0.8251
262,0.8073
263,0.7937
264,0.8185
265,0.7608
266,0.8072
267,0.81
268,0.8119
269,0.8283
270,0.7773
271,0.8212
272,0.7964
273,0.8185
274,0.7876
275,0.7906
276,0.82
277,0.8185
278,0.8382
279,0.8305
280,0.8029
281,0.835
282,0.8289
283,0.7971
284,0.7856
285,0.7364
286,0.7968
287,0.7978
288,0.8392
289,0.8363
290,0.8263
291,0.8096
292,0.8125
293,0.7961
294,0.8246
295,0.7875
296,0.7984
297,0.7914
298,0.8118
299,0.7946
300,0.8327
