,acc
1,0.107
2,0.2153
3,0.3695
4,0.4411
5,0.4653
6,0.5351
7,0.5543
8,0.539
9,0.5387
10,0.5514
11,0.597
12,0.6018
13,0.6026
14,0.6089
15,0.6225
16,0.6371
17,0.6508
18,0.6483
19,0.6669
20,0.6735
21,0.6773
22,0.6742
23,0.6747
24,0.6838
25,0.6894
26,0.6985
27,0.7142
28,0.7132
29,0.7064
30,0.7249
31,0.7222
32,0.7193
33,0.7322
34,0.7272
35,0.7261
36,0.7344
37,0.7248
38,0.7264
39,0.7338
40,0.7344
41,0.7292
42,0.7394
43,0.7446
44,0.7475
45,0.7588
46,0.7604
47,0.7665
48,0.7478
49,0.7476
50,0.7638
51,0.7616
52,0.7616
53,0.7653
54,0.7671
55,0.7766
56,0.7667
57,0.7726
58,0.7763
59,0.7719
60,0.7903
61,0.7794
62,0.7873
63,0.787
64,0.7939
65,0.7873
66,0.7928
67,0.7867
68,0.7806
69,0.7942
70,0.7846
71,0.7835
72,0.7915
73,0.8056
74,0.8015
75,0.8027
76,0.8065
77,0.7936
78,0.7832
79,0.7986
80,0.8039
81,0.7995
82,0.8087
83,0.8143
84,0.8139
85,0.8078
86,0.8046
87,0.811
88,0.8127
89,0.8109
90,0.8103
91,0.8148
92,0.814
93,0.8045
94,0.8097
95,0.8096
96,0.8111
97,0.8148
98,0.8147
99,0.8129
100,0.8177
101,0.8095
102,0.8212
103,0.821
104,0.8175
105,0.8261
106,0.8292
107,0.8261
108,0.8217
109,0.8105
110,0.8238
111,0.8281
112,0.8327
113,0.8288
114,0.8332
115,0.822
116,0.8312
117,0.8344
118,0.835
119,0.8252
120,0.8383
121,0.8357
122,0.8359
123,0.8261
124,0.8413
125,0.8338
126,0.842
127,0.8411
128,0.8437
129,0.8377
130,0.8387
131,0.8387
132,0.8407
133,0.844
134,0.8368
135,0.8373
136,0.8425
137,0.8425
138,0.8334
139,0.8429
140,0.8286
141,0.8425
142,0.8329
143,0.842
144,0.8439
145,0.8406
146,0.8489
147,0.8438
148,0.8454
149,0.8493
150,0.8549
151,0.8431
152,0.8432
153,0.8336
154,0.8355
155,0.8404
156,0.8467
157,0.8457
158,0.8366
159,0.8322
160,0.8408
161,0.8468
162,0.8428
163,0.8402
164,0.8386
165,0.8466
166,0.8541
167,0.8398
168,0.8484
169,0.8514
170,0.8612
171,0.8414
172,0.8369
173,0.8496
174,0.856
175,0.856
176,0.8492
177,0.8522
178,0.8393
179,0.8462
180,0.8544
181,0.8458
182,0.8599
183,0.8504
184,0.8481
185,0.852
186,0.8561
187,0.8563
188,0.8521
189,0.8561
190,0.8446
191,0.8396
192,0.852
193,0.8575
194,0.8505
195,0.857
196,0.8452
197,0.8473
198,0.8487
199,0.8591
200,0.8524
201,0.8574
202,0.8521
203,0.8544
204,0.8628
205,0.8606
206,0.8621
207,0.8462
208,0.8508
209,0.8568
210,0.8638
211,0.8603
212,0.8477
213,0.8544
214,0.8511
215,0.8623
216,0.8569
217,0.8563
218,0.8499
219,0.849
220,0.8485
221,0.8567
222,0.8634
223,0.8546
224,0.8588
225,0.8524
226,0.8487
227,0.8567
228,0.8626
229,0.8639
230,0.8577
231,0.8568
232,0.8551
233,0.8493
234,0.864
235,0.8501
236,0.8571
237,0.8522
238,0.8529
239,0.8558
240,0.8582
241,0.8555
242,0.8642
243,0.8555
244,0.8561
245,0.8655
246,0.866
247,0.8578
248,0.8627
249,0.8667
250,0.8642
251,0.8653
252,0.8652
253,0.8549
254,0.856
255,0.8513
256,0.8551
257,0.8549
258,0.8589
259,0.8535
260,0.8618
261,0.8645
262,0.8525
263,0.8585
264,0.8626
265,0.8627
266,0.8531
267,0.8573
268,0.849
269,0.8544
270,0.8524
271,0.8637
272,0.8714
273,0.8737
274,0.8644
275,0.8632
276,0.8643
277,0.8604
278,0.8581
279,0.8649
280,0.8664
281,0.8643
282,0.8647
283,0.8643
284,0.8618
285,0.8629
286,0.857
287,0.8649
288,0.8564
289,0.8692
290,0.8556
291,0.8664
292,0.8629
293,0.865
294,0.8609
295,0.8592
296,0.8611
297,0.8614
298,0.8555
299,0.866
300,0.8662
