,acc
1,0.1032
2,0.254
3,0.3582
4,0.374
5,0.4076
6,0.4256
7,0.3846
8,0.3382
9,0.323
10,0.3229
11,0.3266
12,0.3346
13,0.3431
14,0.3411
15,0.3457
16,0.3305
17,0.3269
18,0.3318
19,0.3223
20,0.3292
21,0.3235
22,0.3357
23,0.3195
24,0.3344
25,0.3369
26,0.327
27,0.3341
28,0.3205
29,0.306
30,0.3113
31,0.2978
32,0.2923
33,0.2942
34,0.2931
35,0.2795
36,0.2921
37,0.2896
38,0.2791
39,0.2924
40,0.2847
41,0.2958
42,0.2756
43,0.2876
44,0.2768
45,0.2685
46,0.272
47,0.2676
48,0.2718
49,0.2705
50,0.2656
51,0.2701
52,0.2665
53,0.2802
54,0.264
55,0.2699
56,0.2723
57,0.2662
58,0.2678
59,0.2769
60,0.272
61,0.2758
62,0.2665
63,0.2723
64,0.2672
65,0.2744
66,0.2599
67,0.2697
68,0.2713
69,0.2574
70,0.266
71,0.2629
72,0.2648
73,0.2623
74,0.2645
75,0.2567
