round,acc
1,0.1007
2,0.244
3,0.3258
4,0.324
5,0.3015
6,0.4436
7,0.3626
8,0.498
9,0.3973
10,0.4952
11,0.525
12,0.4734
13,0.5654
14,0.5521
15,0.5269
16,0.6256
17,0.5002
18,0.453
19,0.5793
20,0.5442
21,0.6223
22,0.5251
23,0.5976
24,0.6123
25,0.6265
26,0.6566
27,0.6211
28,0.6118
29,0.5518
30,0.618
31,0.5537
32,0.5947
33,0.6525
34,0.6652
35,0.6484
36,0.6572
37,0.6794
38,0.6807
39,0.6998
40,0.6407
41,0.6362
42,0.6278
43,0.6388
44,0.5934
45,0.6328
46,0.6512
47,0.6827
48,0.6173
49,0.6645
50,0.7238
51,0.7074
52,0.6782
53,0.6809
54,0.5949
55,0.6955
56,0.7064
57,0.7184
58,0.7291
59,0.701
60,0.6861
61,0.6624
62,0.7213
63,0.7281
64,0.7464
65,0.7095
66,0.675
67,0.7222
68,0.6217
69,0.7054
70,0.6911
71,0.7188
72,0.7439
73,0.7261
74,0.7156
75,0.6985
76,0.7285
77,0.7153
78,0.6667
79,0.7395
80,0.6917
81,0.7359
82,0.737
83,0.667
84,0.6985
85,0.7199
86,0.7385
87,0.715
88,0.7246
89,0.7344
90,0.6926
91,0.7335
92,0.7589
93,0.7146
94,0.726
95,0.7601
96,0.7738
97,0.7333
98,0.7317
99,0.7522
100,0.7609
101,0.7336
102,0.768
103,0.7491
104,0.6927
105,0.7176
106,0.7268
107,0.7194
108,0.7775
109,0.7335
110,0.755
111,0.7381
112,0.7201
113,0.7411
114,0.779
115,0.7367
116,0.7589
117,0.7175
118,0.7244
119,0.6689
120,0.7313
121,0.7689
122,0.7937
123,0.7371
124,0.775
125,0.7445
126,0.7813
127,0.7715
128,0.7932
129,0.7709
130,0.7117
131,0.7532
132,0.762
133,0.7799
134,0.7119
135,0.7832
136,0.8057
137,0.781
138,0.755
139,0.7944
140,0.7594
141,0.8023
142,0.794
143,0.7377
144,0.8003
145,0.7451
146,0.7052
147,0.7651
148,0.8048
149,0.8054
150,0.8171
151,0.805
152,0.8053
153,0.7782
154,0.7252
155,0.779
156,0.7856
157,0.7572
158,0.785
159,0.7642
160,0.7481
161,0.7067
162,0.7943
163,0.786
164,0.7874
165,0.7877
166,0.7803
167,0.8046
168,0.7903
169,0.7807
170,0.7909
171,0.7858
172,0.7832
173,0.7679
174,0.7278
175,0.8092
176,0.7974
177,0.7792
178,0.7511
179,0.7813
180,0.7471
181,0.7816
182,0.7968
183,0.7576
184,0.7862
185,0.7987
186,0.801
187,0.8064
188,0.7685
189,0.7801
190,0.8129
191,0.7698
192,0.815
193,0.8127
194,0.7602
195,0.7951
196,0.7858
197,0.7678
198,0.7696
199,0.793
200,0.7926
201,0.8062
202,0.7964
203,0.8038
204,0.7884
205,0.7727
206,0.8019
207,0.809
208,0.8132
209,0.8068
210,0.8067
211,0.819
212,0.7703
213,0.8
214,0.7894
215,0.7929
216,0.7844
217,0.7795
218,0.784
219,0.8
220,0.8007
221,0.8016
222,0.8197
223,0.8242
224,0.8122
225,0.8076
226,0.8011
227,0.8103
228,0.7794
229,0.8119
230,0.8059
231,0.8032
232,0.7882
233,0.8223
234,0.8249
235,0.8005
236,0.8182
237,0.7985
238,0.8126
239,0.8111
240,0.8221
241,0.8085
242,0.816
243,0.8158
244,0.8087
245,0.8165
246,0.8194
247,0.8101
248,0.8181
249,0.8239
250,0.8198
251,0.8036
252,0.8138
253,0.8084
254,0.8092
255,0.8158
256,0.8152
257,0.8193
258,0.8256
259,0.8146
260,0.8191
261,0.8197
262,0.8244
263,0.8118
264,0.8106
265,0.8267
266,0.8229
267,0.8213
268,0.8234
269,0.825
270,0.8284
271,0.8227
272,0.8274
273,0.8215
274,0.823
275,0.827
276,0.8294
277,0.8231
278,0.824
279,0.8242
280,0.8233
281,0.8249
282,0.8282
283,0.829
284,0.8263
285,0.8251
286,0.8267
287,0.8291
288,0.8259
289,0.8294
290,0.8259
291,0.828
292,0.828
293,0.8302
294,0.829
295,0.8276
296,0.8311
297,0.8289
298,0.8271
299,0.8299
300,0.8291
