round,acc
1,0.1109
2,0.3353
3,0.3342
4,0.4377
5,0.458
6,0.5456
7,0.5306
8,0.5444
9,0.546
10,0.5844
11,0.5829
12,0.5991
13,0.5967
14,0.6274
15,0.6186
16,0.6385
17,0.6349
18,0.6132
19,0.6591
20,0.6565
21,0.6451
22,0.6779
23,0.6718
24,0.6519
25,0.6871
26,0.6883
27,0.6851
28,0.6571
29,0.7043
30,0.718
31,0.7216
32,0.7193
33,0.7123
34,0.69
35,0.7159
36,0.7248
37,0.7163
38,0.7256
39,0.7217
40,0.7433
41,0.7037
42,0.7421
43,0.7457
44,0.7496
45,0.7518
46,0.7603
47,0.7423
48,0.7558
49,0.7484
50,0.7611
51,0.7508
52,0.7695
53,0.7313
54,0.7598
55,0.7774
56,0.7651
57,0.7787
58,0.7573
59,0.7733
60,0.7716
61,0.7724
62,0.7694
63,0.7638
64,0.7883
65,0.7623
66,0.7831
67,0.7807
68,0.7788
69,0.79
70,0.7852
71,0.7899
72,0.8056
73,0.8028
74,0.7795
75,0.7842
76,0.7912
77,0.7804
78,0.7887
79,0.794
80,0.8031
81,0.8029
82,0.8005
83,0.7975
84,0.7972
85,0.8
86,0.803
87,0.7983
88,0.8114
89,0.7925
90,0.8136
91,0.8138
92,0.8061
93,0.798
94,0.7962
95,0.8028
96,0.8077
97,0.8201
98,0.8165
99,0.8137
100,0.8074
101,0.8196
102,0.824
103,0.8215
104,0.8266
105,0.7997
106,0.8218
107,0.8131
108,0.8262
109,0.8146
110,0.825
111,0.8286
112,0.8249
113,0.82
114,0.8242
115,0.8221
116,0.8215
117,0.8134
118,0.8318
119,0.8149
120,0.8221
121,0.8259
122,0.8277
123,0.8242
124,0.8217
125,0.8244
126,0.8349
127,0.8279
128,0.8291
129,0.8257
130,0.8293
131,0.8312
132,0.8196
133,0.8361
134,0.8311
135,0.8281
136,0.8397
137,0.8355
138,0.8284
139,0.8264
140,0.8004
141,0.8277
142,0.8387
143,0.8247
144,0.8342
145,0.8298
146,0.8354
147,0.8295
148,0.8397
149,0.8372
150,0.8337
151,0.8293
152,0.8415
153,0.8431
154,0.8356
155,0.8392
156,0.8366
157,0.8336
158,0.8347
159,0.833
160,0.8394
161,0.8418
162,0.8336
163,0.8361
164,0.8425
165,0.8436
166,0.842
167,0.8432
168,0.8446
169,0.8307
170,0.8345
171,0.835
172,0.8346
173,0.8413
174,0.8427
175,0.832
176,0.8403
177,0.8431
178,0.8377
179,0.8482
180,0.8432
181,0.838
182,0.8472
183,0.8356
184,0.8472
185,0.8531
186,0.842
187,0.8479
188,0.8409
189,0.8489
190,0.8427
191,0.8496
192,0.8465
193,0.8494
194,0.8466
195,0.8472
196,0.8415
197,0.8259
198,0.8407
199,0.8445
200,0.8535
201,0.8527
202,0.8469
203,0.843
204,0.8449
205,0.8554
206,0.8433
207,0.8477
208,0.8489
209,0.8465
210,0.8546
211,0.8546
212,0.841
213,0.8449
214,0.8495
215,0.8557
216,0.8463
217,0.8487
218,0.8471
219,0.851
220,0.8535
221,0.8526
222,0.8544
223,0.8535
224,0.8536
225,0.8577
226,0.8511
227,0.8588
228,0.8491
229,0.8505
230,0.8553
231,0.8484
232,0.8491
233,0.8574
234,0.8565
235,0.8482
236,0.8583
237,0.8582
238,0.8528
239,0.8559
240,0.8537
241,0.8577
242,0.8551
243,0.8562
244,0.8563
245,0.8576
246,0.8591
247,0.8562
248,0.8585
249,0.8554
250,0.8588
251,0.8553
252,0.8561
253,0.8562
254,0.8573
255,0.8584
256,0.8545
257,0.854
258,0.8598
259,0.8584
260,0.8579
261,0.8578
262,0.8576
263,0.86
264,0.8569
265,0.8576
266,0.8592
267,0.8572
268,0.8572
269,0.8601
270,0.8627
271,0.858
272,0.8601
273,0.8602
274,0.8594
275,0.8609
276,0.8616
277,0.8614
278,0.8604
279,0.8603
280,0.8602
281,0.8587
282,0.8613
283,0.8625
284,0.8631
285,0.8627
286,0.8608
287,0.8603
288,0.8618
289,0.8616
290,0.8614
291,0.8605
292,0.8628
293,0.8618
294,0.8598
295,0.8608
296,0.8625
297,0.8628
298,0.861
299,0.8625
300,0.8624
