phase,round,acc,loss,L_sup,L_A,L_B,L_proto,best_acc,best_round,gate,a_ratio,b_ratio,c_ratio,m_a,geom_drop_rate,a_prec,b_prec,hce_rate,proto_a_share,proto_a_dirty,proto_a_unique,proto_lab_mass,proto_a_mass,lab_mult,rel_r,rel_m,rel_alpha,tau0,delta0,eta_B,tau_warmup,cap_a,cap_b,lambda_A_scale,lambda_B_scale,use_a_for_proto,lr,cnt_u,cnt_a,cnt_b,cnt_c,pass_s,geom_drop,a_total,a_correct,b_total,b_correct,hce_hc,hce_den_hc,n_batches
1,1,0.1109,1.24938,1.21143,0.03795,0.0,2.17111,0.1109,1,0.0,0.06073,0.0,0.93927,0.06073,0.0,0.47592,0.0,0.52408,0.10646,0.52366,5172.05951,97280.0,11590.07794,48.64,0.55858,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.1,194560,11815,0,182745,11815,0,11815,5623,0,0,6192,11815,760
1,2,0.3353,1.08112,1.02611,0.05501,0.0,2.20268,0.3353,2,0.0,0.07653,0.0,0.92347,0.07653,0.0,0.53674,0.0,0.46326,0.13048,0.46265,6355.44647,97280.0,14597.31775,48.64,0.59443,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09999,194560,14890,0,179670,14890,0,14890,7992,0,0,6898,14890,760
1,3,0.3342,0.83216,0.74091,0.09125,0.0,2.22831,0.3353,2,0.0,0.1343,0.0,0.8657,0.1343,0.0,0.50899,0.0,0.49101,0.2089,0.4905,8929.77112,97280.0,25687.63721,48.64,0.6558,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09998,194560,26130,0,168430,26130,0,26130,13300,0,0,12830,26130,760
1,4,0.4377,0.75425,0.63474,0.11951,0.0,2.09517,0.4377,4,0.0,0.18129,0.0,0.81871,0.18129,0.0,0.57177,0.0,0.42823,0.26291,0.42752,11137.93286,97280.0,34699.17676,48.64,0.69383,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09996,194560,35271,0,159289,35271,0,35271,20167,0,0,15104,35271,760
1,5,0.458,0.58995,0.43013,0.15983,0.0,2.13254,0.458,5,0.0,0.24487,0.0,0.75513,0.24487,0.0,0.56608,0.0,0.43392,0.32532,0.4332,12965.63171,97280.0,46907.37549,48.64,0.74288,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09993,194560,47642,0,146918,47642,0,47642,26969,0,0,20673,47642,760
1,6,0.5456,0.53315,0.35984,0.17331,0.0,2.10928,0.5456,6,0.0,0.2526,0.0,0.7474,0.2526,0.0,0.62046,0.0,0.37954,0.33217,0.37861,13194.49048,97280.0,48386.48926,48.64,0.74535,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.0999,194560,49146,0,145414,49146,0,49146,30493,0,0,18653,49146,760
1,7,0.5306,0.52964,0.35108,0.17856,0.0,2.10391,0.5456,6,0.0,0.25865,0.0,0.74135,0.25865,0.0,0.63854,0.0,0.36146,0.33747,0.3603,13459.88708,97280.0,49552.04492,48.64,0.75254,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09987,194560,50323,0,144237,50323,0,50323,32133,0,0,18190,50323,760
1,8,0.5444,0.47079,0.26556,0.20523,0.0,2.09783,0.5456,6,0.0,0.32007,0.0,0.67993,0.32007,0.0,0.62837,0.0,0.37163,0.38696,0.37062,14861.81104,97280.0,61404.56055,48.64,0.7834,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09982,194560,62272,0,132288,62272,0,62272,39130,0,0,23142,62272,760
1,9,0.546,0.45621,0.24353,0.21268,0.0,2.10767,0.546,9,0.0,0.3371,0.0,0.6629,0.3371,0.0,0.6454,0.0,0.3546,0.39948,0.35365,14922.65002,97280.0,64712.25049,48.64,0.78985,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09978,194560,65587,0,128973,65587,0,65587,42330,0,0,23257,65587,760
1,10,0.5844,0.42807,0.20594,0.22213,0.0,2.04437,0.5844,10,0.0,0.35473,0.0,0.64527,0.35473,0.0,0.631,0.0,0.369,0.41186,0.36792,15343.99719,97280.0,68123.08057,48.64,0.79665,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09973,194560,69016,0,125544,69016,0,69016,43549,0,0,25467,69016,760
1,11,0.5829,0.43048,0.21444,0.21605,0.0,2.03767,0.5844,10,0.0,0.34854,0.0,0.65146,0.34854,0.0,0.67424,0.0,0.32576,0.40754,0.3245,15231.54407,97280.0,66916.97754,48.64,0.79588,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09967,194560,67811,0,126749,67811,0,67811,45721,0,0,22090,67811,760
1,12,0.5991,0.40993,0.18673,0.2232,0.0,2.09364,0.5991,12,0.0,0.3773,0.0,0.6227,0.3773,0.0,0.64565,0.0,0.35435,0.42705,0.35323,15707.22571,97280.0,72508.64746,48.64,0.80653,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09961,194560,73408,0,121152,73408,0,73408,47396,0,0,26012,73408,760
1,13,0.5967,0.39092,0.17077,0.22015,0.0,2.03113,0.5991,12,0.0,0.36746,0.0,0.63254,0.36746,0.0,0.68545,0.0,0.31455,0.42051,0.3133,15360.24854,97280.0,70591.90918,48.64,0.80254,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09954,194560,71493,0,123067,71493,0,71493,49005,0,0,22488,71493,760
