round,acc
1,0.1
2,0.2563
3,0.338
4,0.3289
5,0.307
6,0.4292
7,0.3761
8,0.5009
9,0.4119
10,0.501
11,0.5231
12,0.4809
13,0.5638
14,0.5337
15,0.5573
16,0.6183
17,0.4919
18,0.4832
19,0.5919
20,0.531
21,0.6179
22,0.5268
23,0.5963
24,0.6095
25,0.6248
26,0.6618
27,0.652
28,0.6176
29,0.5583
30,0.6129
31,0.5755
32,0.6103
33,0.6285
34,0.673
35,0.6492
36,0.6751
37,0.6955
38,0.7048
39,0.6943
40,0.6432
41,0.6213
42,0.6162
43,0.6265
44,0.5967
45,0.6212
46,0.6277
47,0.6777
48,0.6193
49,0.6572
50,0.7141
51,0.7048
52,0.6766
53,0.6574
54,0.6034
55,0.6912
56,0.6893
57,0.7048
58,0.7218
59,0.7097
60,0.6801
61,0.6614
62,0.7119
63,0.7185
64,0.7481
65,0.6938
66,0.6438
67,0.7057
68,0.6328
69,0.7154
70,0.7174
71,0.7245
72,0.7374
73,0.7381
74,0.725
75,0.7079
76,0.7163
77,0.7222
78,0.677
79,0.7232
80,0.6939
81,0.7412
82,0.7415
83,0.6881
84,0.719
85,0.743
86,0.7274
87,0.7278
88,0.7532
89,0.7428
90,0.716
91,0.7139
92,0.755
93,0.7565
94,0.7565
95,0.7743
96,0.7782
97,0.7587
98,0.7531
99,0.78
100,0.7804
101,0.7698
102,0.781
103,0.7702
104,0.7513
105,0.7583
106,0.7608
107,0.7373
108,0.7699
109,0.7643
110,0.7788
111,0.7437
112,0.7278
113,0.7365
114,0.7885
115,0.769
116,0.7683
117,0.7484
118,0.759
119,0.6897
120,0.75
121,0.7752
122,0.7873
123,0.7401
124,0.7803
125,0.7635
126,0.7927
127,0.7898
128,0.7945
129,0.7687
130,0.7356
131,0.7533
132,0.7774
133,0.7786
134,0.7281
135,0.7798
136,0.8143
137,0.7616
138,0.7704
139,0.813
140,0.7385
141,0.8162
142,0.795
143,0.7329
144,0.8159
145,0.7603
146,0.7104
147,0.7754
148,0.8106
149,0.8225
150,0.8261
151,0.8079
152,0.8118
153,0.777
154,0.7337
155,0.8015
156,0.7909
157,0.7536
158,0.7913
159,0.7716
160,0.743
161,0.7174
162,0.8183
163,0.7925
164,0.8066
165,0.802
166,0.7637
167,0.8019
168,0.8097
169,0.7678
170,0.79
171,0.806
172,0.7912
173,0.7556
174,0.7029
175,0.8042
176,0.7923
177,0.7742
178,0.7405
179,0.7769
180,0.7489
181,0.7616
182,0.7735
183,0.7548
184,0.8033
185,0.7833
186,0.7958
187,0.8187
188,0.7739
189,0.7709
190,0.815
191,0.7171
192,0.8328
193,0.8219
194,0.7722
195,0.7893
196,0.7859
197,0.7634
198,0.7546
199,0.8044
200,0.79
201,0.8242
202,0.7943
203,0.8118
204,0.7773
205,0.7616
206,0.7987
207,0.8057
208,0.8189
209,0.7966
210,0.7827
211,0.8212
212,0.762
213,0.7939
214,0.7684
215,0.7817
216,0.7484
217,0.7544
218,0.7154
219,0.8052
220,0.7807
221,0.8118
222,0.836
223,0.8247
224,0.799
225,0.8111
226,0.7848
227,0.799
228,0.7162
229,0.792
230,0.7865
231,0.784
232,0.7411
233,0.7998
234,0.8229
235,0.8161
236,0.8244
237,0.7858
238,0.8182
239,0.7762
240,0.8369
241,0.8234
242,0.822
243,0.7913
244,0.7633
245,0.8188
246,0.8281
247,0.8179
248,0.8266
249,0.8167
250,0.8188
251,0.7958
252,0.8337
253,0.8016
254,0.7356
255,0.8038
256,0.7937
257,0.8232
258,0.8254
259,0.7967
260,0.8306
261,0.8013
262,0.8335
263,0.7557
264,0.7904
265,0.7836
266,0.8039
267,0.8294
268,0.8223
269,0.7984
270,0.7951
271,0.8186
272,0.8012
273,0.7689
274,0.779
275,0.7971
276,0.8268
277,0.7666
278,0.7944
279,0.8049
280,0.8294
281,0.7888
282,0.8062
283,0.8321
284,0.7963
285,0.808
286,0.796
287,0.8153
288,0.825
289,0.8248
290,0.814
291,0.7681
292,0.8073
293,0.7798
294,0.8319
295,0.8115
296,0.8177
297,0.7814
298,0.8053
299,0.8004
300,0.8108
301,0.7797
302,0.8096
303,0.8258
304,0.7911
305,0.8305
306,0.802
307,0.7714
308,0.8058
309,0.816
310,0.8376
311,0.8231
312,0.8337
313,0.831
314,0.8254
315,0.8364
