phase,round,acc,loss,L_sup,L_A,L_B,L_proto,best_acc,best_round,gate,a_ratio,b_ratio,c_ratio,m_a,geom_drop_rate,a_prec,b_prec,hce_rate,proto_a_share,proto_a_dirty,proto_a_unique,proto_lab_mass,proto_a_mass,lab_mult,rel_r,rel_m,rel_alpha,tau0,delta0,eta_B,tau_warmup,cap_a,cap_b,lambda_A_scale,lambda_B_scale,use_a_for_proto,lr,cnt_u,cnt_a,cnt_b,cnt_c,pass_s,geom_drop,a_total,a_correct,b_total,b_correct,hce_hc,hce_den_hc,n_batches
1,1,0.1,1.12972,1.08878,0.04094,0.0,2.06962,0.1,1,0.0,0.0685,0.0,0.9315,0.0685,0.0,0.49902,0.0,0.50098,0.11832,0.50077,6285.3291,97280.0,13055.28723,48.64,0.59936,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.1,194560,13328,0,181232,13328,0,13328,6651,0,0,6677,13328,760
1,2,0.2563,0.94788,0.87783,0.07006,0.0,2.16795,0.2563,2,0.0,0.10575,0.0,0.89425,0.10575,0.0,0.47397,0.0,0.52603,0.1719,0.52565,7722.00308,97280.0,20193.06543,48.64,0.64078,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.1,194560,20575,0,173985,20575,0,20575,9752,0,0,10823,20575,760
1,3,0.338,0.802,0.70263,0.09938,0.0,2.22714,0.338,3,0.0,0.16035,0.0,0.83965,0.16035,0.0,0.47779,0.0,0.52221,0.23957,0.52175,10481.74182,97280.0,30647.84033,48.64,0.69172,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09999,194560,31198,0,163362,31198,0,31198,14906,0,0,16292,31198,760
1,4,0.3289,0.72422,0.6039,0.12033,0.0,2.01273,0.338,3,0.0,0.20103,0.0,0.79897,0.20103,0.0,0.51414,0.0,0.48586,0.28336,0.48545,11811.11206,97280.0,38464.12964,48.64,0.72118,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09998,194560,39112,0,155448,39112,0,39112,20109,0,0,19003,39112,760
1,5,0.307,0.75402,0.63457,0.11944,0.0,2.16035,0.338,3,0.0,0.19783,0.0,0.80217,0.19783,0.0,0.56151,0.0,0.43849,0.28028,0.43784,11530.88904,97280.0,37884.22314,48.64,0.705,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09998,194560,38489,0,156071,38489,0,38489,21612,0,0,16877,38489,760
1,6,0.4292,0.55594,0.39848,0.15746,0.0,2.14369,0.4292,6,0.0,0.25543,0.0,0.74457,0.25543,0.0,0.56514,0.0,0.43486,0.33463,0.43415,13437.87634,97280.0,48924.68555,48.64,0.75021,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09996,194560,49697,0,144863,49697,0,49697,28086,0,0,21611,49697,760
1,7,0.3761,0.56984,0.40541,0.16444,0.0,2.14558,0.4292,6,0.0,0.26869,0.0,0.73131,0.26869,0.0,0.51108,0.0,0.48892,0.34615,0.48821,13744.00488,97280.0,51500.91602,48.64,0.75924,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09995,194560,52276,0,142284,52276,0,52276,26717,0,0,25559,52276,760
1,8,0.5009,0.52761,0.33873,0.18888,0.0,2.09586,0.5009,8,0.0,0.31989,0.0,0.68011,0.31989,0.0,0.65085,0.0,0.34915,0.38683,0.34806,14810.04126,97280.0,61370.7417,48.64,0.78516,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09994,194560,62237,0,132323,62237,0,62237,40507,0,0,21730,62237,760
1,9,0.4119,0.47442,0.28605,0.18836,0.0,2.07167,0.5009,8,0.0,0.34867,0.0,0.65133,0.34867,0.0,0.53657,0.0,0.46343,0.40769,0.46268,15050.66418,97280.0,66958.36182,48.64,0.79508,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09992,194560,67838,0,126722,67838,0,67838,36400,0,0,31438,67838,760
1,10,0.501,0.43933,0.24113,0.1982,0.0,1.99756,0.501,10,0.0,0.38145,0.0,0.61855,0.38145,0.0,0.55265,0.0,0.44735,0.42971,0.4465,15711.26196,97280.0,73300.71582,48.64,0.81019,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.0999,194560,74214,0,120346,74214,0,74214,41014,0,0,33200,74214,760
