round,acc
1,0.1713
2,0.3141
3,0.285
4,0.3733
5,0.3538
6,0.4733
7,0.3863
8,0.4593
9,0.4018
10,0.5148
11,0.4613
12,0.488
13,0.5716
14,0.5548
15,0.4992
16,0.4928
17,0.5172
18,0.5057
19,0.5663
20,0.5246
21,0.4932
22,0.4905
23,0.5563
24,0.6219
25,0.5781
26,0.5746
27,0.6063
28,0.6058
29,0.6197
30,0.6258
31,0.6418
32,0.6215
33,0.6179
34,0.672
35,0.6489
36,0.5875
37,0.5749
38,0.5362
39,0.6711
40,0.5951
41,0.6204
42,0.6399
43,0.6823
44,0.6183
45,0.5571
46,0.5526
47,0.6365
48,0.6196
49,0.6093
50,0.6138
51,0.6626
52,0.6815
53,0.7292
54,0.7138
55,0.6235
56,0.679
57,0.5868
58,0.6635
59,0.6195
60,0.676
61,0.656
62,0.6733
63,0.6885
64,0.7196
65,0.7342
66,0.7169
67,0.7226
68,0.7017
69,0.6654
70,0.6072
71,0.6958
72,0.7226
73,0.7016
74,0.7181
75,0.6795
76,0.6877
77,0.7106
78,0.7488
79,0.7053
80,0.7218
81,0.7046
82,0.6827
83,0.6216
84,0.6559
85,0.7319
86,0.744
87,0.7558
88,0.7233
89,0.7287
90,0.6903
91,0.6653
92,0.707
93,0.7086
94,0.7487
95,0.764
96,0.7596
97,0.7262
98,0.7588
99,0.7718
100,0.7467
101,0.743
102,0.7274
103,0.7282
104,0.6998
105,0.6727
106,0.7268
107,0.6639
108,0.6857
109,0.7077
110,0.642
111,0.7184
112,0.7442
113,0.7566
114,0.7746
115,0.7453
116,0.7097
117,0.7551
118,0.7781
119,0.7709
120,0.7605
121,0.6683
122,0.6628
123,0.7392
124,0.6982
125,0.786
126,0.7305
127,0.7569
128,0.7311
129,0.7331
130,0.7701
131,0.7724
132,0.7615
133,0.7965
134,0.7246
135,0.7569
136,0.7812
137,0.7718
138,0.7362
139,0.7033
140,0.7192
141,0.759
142,0.7647
143,0.7653
144,0.7956
145,0.7782
146,0.7627
147,0.7782
148,0.7624
149,0.7901
150,0.7886
151,0.7721
152,0.7922
153,0.7886
154,0.7839
155,0.797
156,0.7843
157,0.7664
158,0.7028
159,0.715
160,0.7076
161,0.7596
162,0.8078
163,0.7736
164,0.7654
165,0.7761
166,0.7986
167,0.7978
168,0.7249
169,0.7835
170,0.7949
171,0.7636
172,0.7651
173,0.7937
174,0.7867
175,0.7334
176,0.7562
177,0.7514
178,0.7839
179,0.8103
180,0.7823
181,0.8064
182,0.7446
183,0.805
184,0.7953
185,0.7933
186,0.7785
187,0.7841
188,0.7866
189,0.781
190,0.7467
191,0.7053
192,0.7846
193,0.7509
194,0.7842
195,0.7933
196,0.8075
197,0.8034
198,0.8123
199,0.7925
200,0.7961
201,0.7702
202,0.774
203,0.8004
204,0.8185
205,0.7882
206,0.8
207,0.7883
208,0.7889
209,0.7807
210,0.7919
211,0.779
212,0.7306
213,0.8228
214,0.7948
215,0.8052
216,0.7796
217,0.7923
218,0.8028
219,0.7952
220,0.7977
221,0.7796
222,0.8017
223,0.7657
224,0.7834
225,0.7563
226,0.8129
227,0.8215
228,0.8261
229,0.8004
230,0.8045
231,0.8014
232,0.8139
233,0.8181
234,0.8099
235,0.8176
236,0.8147
237,0.8128
238,0.8083
239,0.81
240,0.8073
241,0.8194
242,0.8169
243,0.8052
244,0.8212
245,0.8102
246,0.8171
247,0.8215
248,0.8198
249,0.8204
250,0.8121
251,0.819
252,0.824
253,0.8048
254,0.8258
255,0.8229
256,0.815
257,0.8187
258,0.8164
259,0.8221
260,0.8162
261,0.821
262,0.8224
263,0.8191
264,0.8177
265,0.8169
266,0.8147
267,0.8217
268,0.8205
269,0.8214
270,0.8238
271,0.8258
272,0.8263
273,0.8226
274,0.8217
275,0.8263
276,0.8213
277,0.8307
278,0.8276
279,0.8307
280,0.8294
281,0.8284
282,0.8289
283,0.8311
284,0.8295
285,0.8293
286,0.8266
287,0.8298
288,0.8287
289,0.8302
290,0.8312
291,0.8309
292,0.8307
293,0.8306
294,0.83
295,0.8317
296,0.8308
297,0.8309
298,0.832
299,0.8314
300,0.8323
