phase,round,acc,loss,L_sup,L_A,L_B,L_proto,best_acc,best_round,gate,a_ratio,b_ratio,c_ratio,m_a,geom_drop_rate,a_prec,b_prec,hce_rate,proto_a_share,proto_a_dirty,proto_a_unique,proto_lab_mass,proto_a_mass,lab_mult,rel_r,rel_m,rel_alpha,tau0,delta0,eta_B,tau_warmup,cap_a,cap_b,lambda_A_scale,lambda_B_scale,use_a_for_proto,lr,cnt_u,cnt_a,cnt_b,cnt_c,pass_s,geom_drop,a_total,a_correct,b_total,b_correct,hce_hc,hce_den_hc,n_batches
1,1,0.1713,1.10981,1.06553,0.04428,0.0,2.05311,0.1713,1,0.0,0.08163,0.0,0.91837,0.08163,0.0,0.41093,0.0,0.58907,0.13801,0.58872,6468.60248,97280.0,15575.07983,48.64,0.60964,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.1,194560,15881,0,178679,15881,0,15881,6526,0,0,9355,15881,760
1,2,0.3141,0.92129,0.84737,0.07392,0.0,2.14348,0.3141,2,0.0,0.1286,0.0,0.8714,0.1286,0.0,0.4267,0.0,0.5733,0.20163,0.5732,8686.54272,97280.0,24568.60303,48.64,0.66586,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09999,194560,25020,0,169540,25020,0,25020,10676,0,0,14344,25020,760
1,3,0.285,0.81213,0.72004,0.0921,0.0,2.16812,0.3141,2,0.0,0.14951,0.0,0.85049,0.14951,0.0,0.49216,0.0,0.50784,0.227,0.50705,9459.83002,97280.0,28567.70764,48.64,0.68059,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09998,194560,29088,0,165472,29088,0,29088,14316,0,0,14772,29088,760
1,4,0.3733,0.6417,0.50645,0.13524,0.0,2.10672,0.3733,4,0.0,0.22342,0.0,0.77658,0.22342,0.0,0.50289,0.0,0.49711,0.30534,0.49665,12345.11853,97280.0,42760.47607,48.64,0.73647,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09996,194560,43469,0,151091,43469,0,43469,21860,0,0,21609,43469,760
1,5,0.3538,0.59862,0.44612,0.15249,0.0,2.07285,0.3733,4,0.0,0.26162,0.0,0.73838,0.26162,0.0,0.49762,0.0,0.50238,0.34003,0.50156,13269.44177,97280.0,50121.24683,48.64,0.75498,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09993,194560,50900,0,143660,50900,0,50900,25329,0,0,25571,50900,760
1,6,0.4733,0.50531,0.3328,0.17251,0.0,2.02809,0.4733,6,0.0,0.32375,0.0,0.67625,0.32375,0.0,0.54998,0.0,0.45002,0.38968,0.44902,14633.1991,97280.0,62110.91748,48.64,0.78591,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.0999,194560,62988,0,131572,62988,0,62988,34642,0,0,28346,62988,760
1,7,0.3863,0.4895,0.30967,0.17983,0.0,2.11459,0.4733,6,0.0,0.33289,0.0,0.66711,0.33289,0.0,0.54836,0.0,0.45164,0.39631,0.45097,14969.19446,97280.0,63861.26465,48.64,0.79477,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09987,194560,64768,0,129792,64768,0,64768,35516,0,0,29252,64768,760
1,8,0.4593,0.47454,0.28644,0.18811,0.0,2.04153,0.4733,6,0.0,0.35887,0.0,0.64113,0.35887,0.0,0.53974,0.0,0.46026,0.41462,0.4591,15435.34546,97280.0,68904.05176,48.64,0.80377,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09982,194560,69822,0,124738,69822,0,69822,37686,0,0,32136,69822,760
1,9,0.4018,0.45837,0.2664,0.19197,0.0,2.06833,0.4733,6,0.0,0.34483,0.0,0.65517,0.34483,0.0,0.47196,0.0,0.52804,0.40496,0.52711,15119.67664,97280.0,66204.84814,48.64,0.79687,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09978,194560,67090,0,127470,67090,0,67090,31664,0,0,35426,67090,760
1,10,0.5148,0.44368,0.24165,0.20202,0.0,2.10438,0.5148,10,0.0,0.37361,0.0,0.62639,0.37361,0.0,0.49939,0.0,0.50061,0.42454,0.49982,15577.16968,97280.0,71768.1499,48.64,0.80729,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09973,194560,72690,0,121870,72690,0,72690,36301,0,0,36389,72690,760
1,11,0.4613,0.38127,0.1694,0.21187,0.0,2.05482,0.5148,10,0.0,0.41238,0.0,0.58762,0.41238,0.0,0.55229,0.0,0.44771,0.44903,0.44683,16239.00745,97280.0,79281.58984,48.64,0.82401,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09967,194560,80233,0,114327,80233,0,80233,44312,0,0,35921,80233,760
1,12,0.488,0.39981,0.19333,0.20648,0.0,2.03608,0.5148,10,0.0,0.41192,0.0,0.58808,0.41192,0.0,0.52618,0.0,0.47382,0.44872,0.47289,16262.56677,97280.0,79181.56934,48.64,0.82436,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09961,194560,80143,0,114417,80143,0,80143,42170,0,0,37973,80143,760
1,13,0.5716,0.37758,0.16146,0.21612,0.0,1.96803,0.5716,13,0.0,0.44272,0.0,0.55728,0.44272,0.0,0.59855,0.0,0.40145,0.46679,0.40028,16624.12,97280.0,85160.9082,48.64,0.83581,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09954,194560,86135,0,108425,86135,0,86135,51556,0,0,34579,86135,760
1,14,0.5548,0.35895,0.13516,0.22379,0.0,1.9439,0.5716,13,0.0,0.46653,0.0,0.53347,0.46653,0.0,0.50012,0.0,0.49988,0.48001,0.49891,17062.38989,97280.0,89801.53711,48.64,0.84305,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09946,194560,90768,0,103792,90768,0,90768,45395,0,0,45373,90768,760
1,15,0.4992,0.35695,0.13486,0.22209,0.0,1.94485,0.5716,13,0.0,0.46469,0.0,0.53531,0.46469,0.0,0.56107,0.0,0.43893,0.47902,0.43793,17138.97852,97280.0,89446.73828,48.64,0.84365,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09938,194560,90411,0,104149,90411,0,90411,50727,0,0,39684,90411,760
1,16,0.4928,0.36283,0.15069,0.21214,0.0,1.99817,0.5716,13,0.0,0.46799,0.0,0.53201,0.46799,0.0,0.53945,0.0,0.46055,0.4808,0.45962,16918.18677,97280.0,90083.54492,48.64,0.84406,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.0993,194560,91052,0,103508,91052,0,91052,49118,0,0,41934,91052,760
1,17,0.5172,0.39003,0.16833,0.2217,0.0,1.91175,0.5716,13,0.0,0.48288,0.0,0.51712,0.48288,0.0,0.52613,0.0,0.47387,0.48872,0.47301,17302.7124,97280.0,92986.57129,48.64,0.84897,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09921,194560,93950,0,100610,93950,0,93950,49430,0,0,44520,93950,760
1,18,0.5057,0.35717,0.13813,0.21904,0.0,1.93593,0.5716,13,0.0,0.48326,0.0,0.51674,0.48326,0.0,0.53963,0.0,0.46037,0.48901,0.45945,17030.67078,97280.0,93095.69141,48.64,0.84683,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09911,194560,94023,0,100537,94023,0,94023,50738,0,0,43285,94023,760
1,19,0.5663,0.34844,0.12463,0.22381,0.0,1.88429,0.5716,13,0.0,0.51704,0.0,0.48296,0.51704,0.0,0.55774,0.0,0.44226,0.50598,0.44147,17482.08716,97280.0,99635.64844,48.64,0.86162,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09901,194560,100596,0,93964,100596,0,100596,56106,0,0,44490,100596,760
1,20,0.5246,0.33823,0.11375,0.22447,0.0,1.92229,0.5716,13,0.0,0.49169,0.0,0.50831,0.49169,0.0,0.54541,0.0,0.45459,0.49339,0.45367,17168.00476,97280.0,94740.10547,48.64,0.8499,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09891,194560,95664,0,98896,95664,0,95664,52176,0,0,43488,95664,760
1,21,0.4932,0.34169,0.11658,0.22511,0.0,1.96212,0.5716,13,0.0,0.48605,0.0,0.51395,0.48605,0.0,0.51355,0.0,0.48645,0.49036,0.4855,17407.87866,97280.0,93601.25879,48.64,0.84983,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.0988,194560,94566,0,99994,94566,0,94566,48564,0,0,46002,94566,760
1,22,0.4905,0.34332,0.11848,0.22484,0.0,1.96007,0.5716,13,0.0,0.50888,0.0,0.49112,0.50888,0.0,0.55785,0.0,0.44215,0.50201,0.44109,17511.54395,97280.0,98065.19238,48.64,0.85866,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09868,194560,99008,0,95552,99008,0,99008,55232,0,0,43776,99008,760
1,23,0.5563,0.35473,0.13327,0.22146,0.0,1.97303,0.5716,13,0.0,0.51075,0.0,0.48925,0.51075,0.0,0.62827,0.0,0.37173,0.5029,0.37066,17395.89429,97280.0,98414.2002,48.64,0.85756,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09856,194560,99372,0,95188,99372,0,99372,62432,0,0,36940,99372,760
1,24,0.6219,0.31904,0.09236,0.22669,0.0,1.82737,0.6219,24,0.0,0.54333,0.0,0.45667,0.54333,0.0,0.57032,0.0,0.42968,0.51852,0.42856,17715.19531,97280.0,104763.8125,48.64,0.86921,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09843,194560,105711,0,88849,105711,0,105711,60289,0,0,45422,105711,760
1,25,0.5781,0.3363,0.1089,0.22741,0.0,1.82775,0.6219,24,0.0,0.51618,0.0,0.48382,0.51618,0.0,0.61576,0.0,0.38424,0.50559,0.383,17626.61426,97280.0,99478.29785,48.64,0.86069,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.0983,194560,100428,0,94132,100428,0,100428,61840,0,0,38588,100428,760
1,26,0.5746,0.31859,0.08884,0.22976,0.0,1.85323,0.6219,24,0.0,0.48704,0.0,0.51296,0.48704,0.0,0.5913,0.0,0.4087,0.49091,0.40745,17241.81787,97280.0,93807.77246,48.64,0.85025,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09816,194560,94758,0,99802,94758,0,94758,56030,0,0,38728,94758,760
1,27,0.6063,0.32818,0.08865,0.23953,0.0,1.92096,0.6219,24,0.0,0.51435,0.0,0.48565,0.51435,0.0,0.58637,0.0,0.41363,0.50472,0.41268,17493.38208,97280.0,99133.40039,48.64,0.85843,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.09801,194560,100071,0,94489,100071,0,100071,58679,0,0,41392,100071,760
