round,phase,geom_cov,band_n,sup_n,sup_acc,opp_n,opp_acc,c_lowconf,c_wouldB,c_wouldB_geommiss,c_wouldB_conflict,c_wouldB_other,conflictC_n,conflictC_frac,conflictC_clf_acc,conflictC_proto_acc,tau_n,tau_clipped_n,tau_clipped_frac,tau_raw_ge1_n,tau_effective_ge1_n
226,3,0.763054,21680,2334,0.910026,14209,0.722429,15627,0,0,0,0,11731,0.060295,0.370216,0.428608,194560,0,0.0,0,0
227,3,0.757134,23128,2476,0.890145,15035,0.633588,17679,0,0,0,0,13016,0.0669,0.324677,0.403964,194560,0,0.0,0,0
228,3,0.648942,23056,2507,0.872357,12455,0.616861,17141,0,0,0,0,11984,0.061595,0.290387,0.373748,194560,0,0.0,0,0
229,3,0.661889,23022,2343,0.903969,12895,0.668088,16745,0,0,0,0,11702,0.060146,0.311912,0.385148,194560,0,0.0,0,0
230,3,0.751437,22095,2645,0.874858,13958,0.680757,17247,0,0,0,0,12742,0.065491,0.351279,0.407628,194560,0,0.0,0,0
231,3,0.726733,22242,2245,0.903786,13919,0.714491,15395,0,0,0,0,11737,0.060326,0.352816,0.41808,194560,0,0.0,0,0
232,3,0.702911,22431,2334,0.905741,13433,0.689422,16039,0,0,0,0,11748,0.060382,0.332908,0.407303,194560,0,0.0,0,0
233,3,0.755055,22405,2077,0.911892,14840,0.696698,16010,0,0,0,0,12016,0.06176,0.34504,0.424434,194560,0,0.0,0,0
234,3,0.653259,22524,2062,0.914161,12652,0.685583,16880,0,0,0,0,11751,0.060398,0.331546,0.402093,194560,0,0.0,0,0
235,3,0.678343,22552,2407,0.89946,12891,0.670157,14895,0,0,0,0,10635,0.054662,0.330701,0.422379,194560,0,0.0,0,0
236,3,0.678127,23152,2005,0.897756,13695,0.658269,16660,0,0,0,0,11981,0.06158,0.312578,0.420332,194560,0,0.0,0,0
