round,client,epoch,cls,support_n,query_n,votes,trust,radius,margin_floor,distance_scale,margin_scale
226,9,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,9,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,9,1,2,16.0,15.0,15.0,0.7961107492446899,0.1423298567533493,0.3401443660259247,0.05000000074505806,0.08987000584602356
226,9,1,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,9,1,4,7.0,6.0,6.0,0.6096569895744324,0.09813806414604187,0.3013532757759094,0.05000000074505806,0.07597008347511292
226,9,1,5,17.0,17.0,17.0,0.8156763315200806,0.08268694579601288,0.36874881386756897,0.05000000074505806,0.07832388579845428
226,9,1,6,8.0,8.0,8.0,0.6755843758583069,0.048764668405056,0.41438183188438416,0.05000000074505806,0.05272947996854782
226,9,1,7,25.0,25.0,25.0,0.8668035268783569,0.11165397614240646,0.29451698064804077,0.05000000074505806,0.08444550633430481
226,9,1,8,24.0,24.0,24.0,0.862019419670105,0.06022987887263298,0.5201021432876587,0.05000000074505806,0.050205931067466736
226,9,1,9,28.0,27.0,27.0,0.8754409551620483,0.06529323756694794,0.42663463950157166,0.05000000074505806,0.08535365015268326
226,9,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,9,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,9,2,2,16.0,15.0,15.0,0.7961107492446899,0.10746180266141891,0.3705119490623474,0.05000000074505806,0.0898078978061676
226,9,2,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,9,2,4,7.0,6.0,6.0,0.6096569895744324,0.10401991009712219,0.26738396286964417,0.05000000074505806,0.10069108009338379
226,9,2,5,17.0,17.0,17.0,0.8156763315200806,0.07053641974925995,0.4165452718734741,0.05000000074505806,0.05993758887052536
226,9,2,6,8.0,8.0,8.0,0.6755843758583069,0.05711355060338974,0.4262832999229431,0.05000000074505806,0.05000000074505806
226,9,2,7,25.0,25.0,25.0,0.8668035268783569,0.08692625164985657,0.33763039112091064,0.05000000074505806,0.07824397832155228
226,9,2,8,24.0,24.0,24.0,0.862019419670105,0.054392170161008835,0.5350451469421387,0.05000000074505806,0.06048519164323807
226,9,2,9,28.0,27.0,27.0,0.8754409551620483,0.05261174216866493,0.5075552463531494,0.05000000074505806,0.06568929553031921
226,9,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,9,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,9,3,2,16.0,15.0,15.0,0.7961107492446899,0.1279183179140091,0.43235599994659424,0.05000000074505806,0.09189822524785995
226,9,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,9,3,4,7.0,6.0,6.0,0.6096569895744324,0.09446582198143005,0.33215370774269104,0.05000000074505806,0.10155081003904343
226,9,3,5,17.0,17.0,17.0,0.8156763315200806,0.056373581290245056,0.4375312924385071,0.05000000074505806,0.05283879116177559
226,9,3,6,8.0,8.0,8.0,0.6755843758583069,0.06788993626832962,0.39174410700798035,0.05000000074505806,0.062297116965055466
226,9,3,7,25.0,25.0,25.0,0.8668035268783569,0.0793413370847702,0.3843332827091217,0.05000000074505806,0.07539354264736176
226,9,3,8,24.0,24.0,24.0,0.862019419670105,0.06577056646347046,0.5104672908782959,0.05000000074505806,0.06816674768924713
226,9,3,9,28.0,27.0,27.0,0.8754409551620483,0.04748091474175453,0.5453646183013916,0.05000000074505806,0.0561862476170063
226,9,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,9,4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,9,4,2,16.0,15.0,15.0,0.7961107492446899,0.0918562188744545,0.4377656877040863,0.05000000074505806,0.08506372570991516
226,9,4,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,9,4,4,7.0,6.0,6.0,0.6096569895744324,0.12802520394325256,0.22032612562179565,0.05000000074505806,0.1496427059173584
226,9,4,5,17.0,17.0,17.0,0.8156763315200806,0.04826474189758301,0.45594874024391174,0.05000000074505806,0.05000000074505806
226,9,4,6,8.0,8.0,8.0,0.6755843758583069,0.06361758708953857,0.4253513813018799,0.05000000074505806,0.05000000074505806
226,9,4,7,25.0,25.0,25.0,0.8668035268783569,0.07862082868814468,0.3979031443595886,0.05000000074505806,0.07150211930274963
226,9,4,8,24.0,24.0,24.0,0.862019419670105,0.07437614351511002,0.47914057970046997,0.05000000074505806,0.08255859464406967
226,9,4,9,28.0,27.0,27.0,0.8754409551620483,0.03614746406674385,0.5852007269859314,0.05000000074505806,0.05572861060500145
226,9,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,9,5,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,9,5,2,16.0,15.0,15.0,0.7961107492446899,0.0976065993309021,0.3978421092033386,0.05000000074505806,0.082660973072052
226,9,5,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,9,5,4,7.0,6.0,6.0,0.6096569895744324,0.1008363664150238,0.31090205907821655,0.05000000074505806,0.07236318290233612
226,9,5,5,17.0,17.0,17.0,0.8156763315200806,0.04522880166769028,0.42558497190475464,0.05000000074505806,0.05216120183467865
226,9,5,6,8.0,8.0,8.0,0.6755843758583069,0.07330500334501266,0.3905157148838043,0.05000000074505806,0.055527523159980774
226,9,5,7,25.0,25.0,25.0,0.8668035268783569,0.07037210464477539,0.425027459859848,0.05000000074505806,0.07744000852108002
226,9,5,8,24.0,24.0,24.0,0.862019419670105,0.05978070944547653,0.5546175837516785,0.05000000074505806,0.07135230302810669
226,9,5,9,28.0,27.0,27.0,0.8754409551620483,0.05007804557681084,0.5842414498329163,0.05000000074505806,0.0640406608581543
226,17,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,1,2,24.0,23.0,23.0,0.8568788766860962,0.13488464057445526,0.31506094336509705,0.05000000074505806,0.11922430992126465
226,17,1,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,1,4,26.0,26.0,26.0,0.8712669610977173,0.1384865939617157,0.28650549054145813,0.05000000074505806,0.09567742049694061
226,17,1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,1,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,1,7,21.0,21.0,21.0,0.8453561663627625,0.10281097888946533,0.3411787152290344,0.05000000074505806,0.06310053914785385
226,17,1,8,22.0,22.0,22.0,0.8513404726982117,0.0657687783241272,0.4576168358325958,0.05000000074505806,0.10104390978813171
226,17,1,9,30.0,29.0,29.0,0.8830264210700989,0.07977861911058426,0.44480064511299133,0.05000000074505806,0.09249158948659897
226,17,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,2,2,24.0,23.0,23.0,0.8568788766860962,0.10273858159780502,0.3848753571510315,0.05000000074505806,0.10517319291830063
226,17,2,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,2,4,26.0,26.0,26.0,0.8712669610977173,0.11041495203971863,0.38924914598464966,0.05000000074505806,0.09672220051288605
226,17,2,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,2,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,2,7,21.0,21.0,21.0,0.8453561663627625,0.07289987802505493,0.4413839876651764,0.05000000074505806,0.07810741662979126
226,17,2,8,22.0,22.0,22.0,0.8513404726982117,0.05471396446228027,0.45818477869033813,0.05000000074505806,0.10124088078737259
226,17,2,9,30.0,29.0,29.0,0.8830264210700989,0.06374242901802063,0.419414758682251,0.05000000074505806,0.10307358205318451
226,17,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,3,2,24.0,23.0,23.0,0.8568788766860962,0.10772420465946198,0.41713783144950867,0.05000000074505806,0.0960938036441803
226,17,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,3,4,26.0,26.0,26.0,0.8712669610977173,0.10731789469718933,0.38371625542640686,0.05000000074505806,0.09490472078323364
226,17,3,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,3,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,3,7,21.0,21.0,21.0,0.8453561663627625,0.075711190700531,0.45528003573417664,0.05000000074505806,0.06256985664367676
226,17,3,8,22.0,22.0,22.0,0.8513404726982117,0.0506662093102932,0.543024480342865,0.05000000074505806,0.07363028824329376
226,17,3,9,30.0,29.0,29.0,0.8830264210700989,0.07012323290109634,0.4707465171813965,0.05000000074505806,0.10255603492259979
226,17,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,4,2,24.0,23.0,23.0,0.8568788766860962,0.09320799261331558,0.4895628094673157,0.05000000074505806,0.08483164012432098
226,17,4,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,4,4,26.0,26.0,26.0,0.8712669610977173,0.08032500743865967,0.44845476746559143,0.05000000074505806,0.06939122080802917
226,17,4,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,4,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,4,7,21.0,21.0,21.0,0.8453561663627625,0.09174460172653198,0.4531100392341614,0.05000000074505806,0.07583502680063248
226,17,4,8,22.0,22.0,22.0,0.8513404726982117,0.04763837158679962,0.5465273261070251,0.05000000074505806,0.07147103548049927
226,17,4,9,30.0,29.0,29.0,0.8830264210700989,0.06954451650381088,0.44557762145996094,0.05000000074505806,0.0882074311375618
226,17,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,5,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,5,2,24.0,23.0,23.0,0.8568788766860962,0.07900343835353851,0.46297115087509155,0.05000000074505806,0.08739662170410156
226,17,5,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,5,4,26.0,26.0,26.0,0.8712669610977173,0.10350045561790466,0.4165458381175995,0.05000000074505806,0.10215551406145096
226,17,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,5,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,17,5,7,21.0,21.0,21.0,0.8453561663627625,0.06771016120910645,0.510745644569397,0.05000000074505806,0.06030866876244545
226,17,5,8,22.0,22.0,22.0,0.8513404726982117,0.04065219685435295,0.5711114406585693,0.05000000074505806,0.06991978734731674
226,17,5,9,30.0,29.0,29.0,0.8830264210700989,0.059167586266994476,0.4379604458808899,0.05000000074505806,0.11405113339424133
226,4,1,0,14.0,14.0,14.0,0.7846829891204834,0.08113753795623779,0.3610468804836273,0.05000000074505806,0.09427884221076965
226,4,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,4,1,2,22.0,22.0,22.0,0.8513404726982117,0.10859417915344238,0.2893519997596741,0.05000000074505806,0.08477730304002762
226,4,1,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,4,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,4,1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,4,1,6,28.0,27.0,27.0,0.8754409551620483,0.11081310361623764,0.3669293522834778,0.05000000074505806,0.11935362964868546
226,4,1,7,15.0,14.0,14.0,0.7846829891204834,0.08003176003694534,0.44448280334472656,0.05000000074505806,0.07660572230815887
226,4,1,8,33.0,32.0,32.0,0.8928172588348389,0.10389582067728043,0.3628309965133667,0.05000000074505806,0.10009407997131348
226,4,1,9,13.0,13.0,13.0,0.7718981504440308,0.08150255680084229,0.43355897068977356,0.05000000074505806,0.10164351016283035
226,4,2,0,14.0,14.0,14.0,0.7846829891204834,0.08362642675638199,0.42217567563056946,0.05000000074505806,0.050448354333639145
226,4,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,4,2,2,22.0,22.0,22.0,0.8513404726982117,0.11596862226724625,0.33503106236457825,0.05000000074505806,0.08759249001741409
226,4,2,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,4,2,4,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,4,2,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,4,2,6,28.0,27.0,27.0,0.8754409551620483,0.061805177479982376,0.4472523331642151,0.05000000074505806,0.06012700870633125
226,4,2,7,15.0,14.0,14.0,0.7846829891204834,0.06800416111946106,0.5079224705696106,0.05000000074505806,0.06685097515583038
226,4,2,8,33.0,32.0,32.0,0.8928172588348389,0.08601362258195877,0.4534030258655548,0.05000000074505806,0.06376846134662628
226,4,2,9,13.0,13.0,13.0,0.7718981504440308,0.07380422949790955,0.4620262682437897,0.05000000074505806,0.0819239541888237
226,4,3,0,14.0,14.0,14.0,0.7846829891204834,0.06702354550361633,0.4323366582393646,0.05000000074505806,0.06968698650598526
226,4,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,4,3,2,22.0,22.0,22.0,0.8513404726982117,0.12000029534101486,0.32110923528671265,0.05000000074505806,0.11798883974552155
226,4,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,4,3,4,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,4,3,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,4,3,6,28.0,27.0,27.0,0.8754409551620483,0.047734376043081284,0.5149321556091309,0.05000000074505806,0.06563888490200043
226,4,3,7,15.0,14.0,14.0,0.7846829891204834,0.07462888211011887,0.4947783350944519,0.05000000074505806,0.06794533878564835
226,4,3,8,33.0,32.0,32.0,0.8928172588348389,0.0708109438419342,0.4380364418029785,0.05000000074505806,0.08695073425769806
226,4,3,9,13.0,13.0,13.0,0.7718981504440308,0.06427929550409317,0.43277254700660706,0.05000000074505806,0.08672470599412918
226,4,4,0,14.0,14.0,14.0,0.7846829891204834,0.08227569609880447,0.43239066004753113,0.05000000074505806,0.06433632969856262
226,4,4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,4,4,2,22.0,22.0,22.0,0.8513404726982117,0.08057791739702225,0.4490702450275421,0.05000000074505806,0.0786738470196724
226,4,4,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,4,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,4,4,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,4,4,6,28.0,27.0,27.0,0.8754409551620483,0.05267739295959473,0.5472530722618103,0.05000000074505806,0.07111532986164093
226,4,4,7,15.0,14.0,14.0,0.7846829891204834,0.05613851547241211,0.6038681864738464,0.05000000074505806,0.05000000074505806
226,4,4,8,33.0,32.0,32.0,0.8928172588348389,0.0734134316444397,0.4823378622531891,0.05000000074505806,0.06022544205188751
226,4,4,9,13.0,13.0,13.0,0.7718981504440308,0.063166543841362,0.49516943097114563,0.05000000074505806,0.07064240425825119
226,4,5,0,14.0,14.0,14.0,0.7846829891204834,0.07828300446271896,0.44759443402290344,0.05000000074505806,0.05000000074505806
226,4,5,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,4,5,2,22.0,22.0,22.0,0.8513404726982117,0.08625326305627823,0.4291728734970093,0.05000000074505806,0.06656976044178009
226,4,5,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,4,5,4,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,4,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
226,4,5,6,28.0,27.0,27.0,0.8754409551620483,0.03876180574297905,0.5575072169303894,0.05000000074505806,0.05030406266450882
226,4,5,7,15.0,14.0,14.0,0.7846829891204834,0.0827287882566452,0.5301212668418884,0.05000000074505806,0.05000000074505806
226,4,5,8,33.0,32.0,32.0,0.8928172588348389,0.07430324703454971,0.4849488139152527,0.05000000074505806,0.06137387454509735
226,4,5,9,13.0,13.0,13.0,0.7718981504440308,0.06765221804380417,0.46244844794273376,0.05000000074505806,0.07468719780445099
