phase,round,acc,loss,L_sup,L_A,L_B,L_proto,best_acc,best_round,gate,a_ratio,b_ratio,c_ratio,m_a,geom_drop_rate,a_prec,b_prec,hce_rate,proto_a_share,proto_a_dirty,proto_a_unique,proto_lab_mass,proto_a_mass,lab_mult,rel_r,rel_m,rel_alpha,tau0,delta0,eta_B,tau_warmup,cap_a,cap_b,lambda_A_scale,lambda_B_scale,use_a_for_proto,lr,cnt_u,cnt_a,cnt_b,cnt_c,pass_s,geom_drop,a_total,a_correct,b_total,b_correct,hce_hc,hce_den_hc,n_batches
3,226,0.8481,0.25049,0.0039,0.14246,0.07531,0.21435,0.854,224,1.0,0.72942,0.19049,0.0801,0.72942,0.0,0.90487,0.59356,0.09513,0.56831,0.07402,15906.41272,97280.0,128066.14453,48.64,0.78122,-0.81474,0.55706,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.02141,194560,141915,37061,15584,141915,0,141915,128414,37061,21998,13501,141915,760
3,227,0.8505,0.27274,0.00517,0.15092,0.0867,0.22064,0.854,224,1.0,0.69677,0.21275,0.09048,0.69677,0.0,0.86417,0.55658,0.13583,0.55478,0.10309,15740.60571,97280.0,121216.9248,48.64,0.76332,-1.01273,0.57324,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.02087,194560,135564,41392,17604,135564,0,135564,117150,41392,23038,18414,135564,760
3,228,0.8404,0.26964,0.00435,0.15211,0.08562,0.20044,0.854,224,1.0,0.70247,0.20983,0.0877,0.70247,0.0,0.88314,0.58764,0.11686,0.56288,0.08966,16139.93225,97280.0,125265.21387,48.64,0.7878,-0.81555,0.61375,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.02033,194560,136673,40824,17063,136673,0,136673,120701,40824,23990,15972,136673,760
3,229,0.849,0.26721,0.00523,0.14772,0.0864,0.20001,0.854,224,1.0,0.71124,0.20298,0.08578,0.71124,0.0,0.89931,0.58697,0.10069,0.56652,0.07956,16043.67358,97280.0,127138.91699,48.64,0.79313,-0.73229,0.60048,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01979,194560,138379,39491,16690,138379,0,138379,124445,39491,23180,13934,138379,760
3,230,0.8566,0.2693,0.00469,0.14644,0.08836,0.21793,0.8566,230,1.0,0.71178,0.20017,0.08805,0.71178,0.0,0.89082,0.58033,0.10918,0.56309,0.08698,15908.39844,97280.0,125376.07227,48.64,0.77735,-0.84134,0.57041,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01926,194560,138484,38945,17131,138484,0,138484,123365,38945,22601,15119,138484,760
3,231,0.8488,0.25005,0.004,0.14166,0.07578,0.21654,0.8566,230,1.0,0.73451,0.18638,0.0791,0.73451,0.0,0.90375,0.60276,0.09625,0.57255,0.07502,16053.27649,97280.0,130303.64844,48.64,0.79202,-0.79531,0.57902,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01874,194560,142907,36263,15390,142907,0,142907,129152,36263,21858,13755,142907,760
3,232,0.8531,0.25456,0.00382,0.14349,0.07894,0.21457,0.8566,230,1.0,0.71974,0.19752,0.08274,0.71974,0.0,0.90212,0.59045,0.09788,0.56737,0.07556,16066.90295,97280.0,127575.85938,48.64,0.78682,-0.79545,0.5815,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01823,194560,140033,38430,16097,140033,0,140033,126327,38430,22691,13706,140033,760
3,233,0.8517,0.25162,0.00392,0.14163,0.07698,0.2199,0.8566,230,1.0,0.72367,0.19462,0.08171,0.72367,0.0,0.89488,0.58738,0.10512,0.56639,0.08088,15863.53662,97280.0,127070.06348,48.64,0.77965,-0.86776,0.56659,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01772,194560,140798,37865,15897,140798,0,140798,125998,37865,22241,14800,140798,760
3,234,0.854,0.25733,0.0038,0.14531,0.08071,0.19877,0.8566,230,1.0,0.71748,0.19661,0.08591,0.71748,0.0,0.91004,0.59452,0.08996,0.56898,0.07001,16049.59229,97280.0,128417.75879,48.64,0.79599,-0.77337,0.62082,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01721,194560,139592,38253,16715,139592,0,139592,127034,38253,22742,12558,139592,760
3,235,0.8472,0.24778,0.00395,0.1411,0.0754,0.21158,0.8566,230,1.0,0.7336,0.19024,0.07616,0.7336,0.0,0.89677,0.60095,0.10323,0.5729,0.07934,16340.59167,97280.0,130488.89062,48.64,0.79909,-0.71845,0.59567,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01671,194560,142729,37013,14818,142729,0,142729,127995,37013,22243,14734,142729,760
3,236,0.8548,0.26052,0.00383,0.1484,0.07959,0.20994,0.8566,230,1.0,0.71163,0.20281,0.08557,0.71163,0.0,0.88707,0.58665,0.11293,0.56429,0.08608,15906.73767,97280.0,125986.99414,48.64,0.78477,-0.88473,0.60809,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01622,194560,138454,39458,16648,138454,0,138454,122818,39458,23148,15636,138454,760
3,237,0.8514,0.24383,0.00382,0.14172,0.0722,0.1971,0.8566,230,1.0,0.72839,0.19315,0.07846,0.72839,0.0,0.89995,0.59219,0.10005,0.57308,0.07494,16376.43018,97280.0,130582.45312,48.64,0.80487,-0.7388,0.63378,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01574,194560,141716,37579,15265,141716,0,141716,127538,37579,22254,14178,141716,760
3,238,0.8473,0.25314,0.00398,0.14386,0.07715,0.20986,0.8566,230,1.0,0.73243,0.18736,0.08021,0.73243,0.0,0.90768,0.59035,0.09232,0.57105,0.07078,16023.44165,97280.0,129507.90918,48.64,0.79016,-0.77355,0.57317,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01526,194560,142501,36453,15606,142501,0,142501,129345,36453,21520,13156,142501,760
