round,phase,geom_cov,band_n,sup_n,sup_acc,opp_n,opp_acc,c_lowconf,c_wouldB,c_wouldB_geommiss,c_wouldB_conflict,c_wouldB_other,conflictC_n,conflictC_frac,conflictC_clf_acc,conflictC_proto_acc,tau_n,tau_clipped_n,tau_clipped_frac,tau_raw_ge1_n,tau_effective_ge1_n
226,3,0.765574,21815,2377,0.909971,14324,0.721097,15602,0,0,0,0,11691,0.060089,0.36558,0.423916,194560,0,0.0,0,0
227,3,0.760348,23096,2451,0.894329,15110,0.63362,17712,0,0,0,0,13128,0.067475,0.329601,0.402194,194560,0,0.0,0,0
228,3,0.652714,23269,2547,0.8936,12641,0.604066,17149,0,0,0,0,11993,0.061642,0.291837,0.374635,194560,0,0.0,0,0
229,3,0.65744,23050,2302,0.888792,12852,0.674837,16956,0,0,0,0,11788,0.060588,0.308025,0.380641,194560,0,0.0,0,0
230,3,0.747534,22098,2647,0.888931,13872,0.686563,17205,0,0,0,0,12619,0.064859,0.351533,0.413266,194560,0,0.0,0,0
231,3,0.728466,22174,2354,0.908666,13799,0.709472,15375,0,0,0,0,11730,0.06029,0.355925,0.428559,194560,0,0.0,0,0
232,3,0.710162,22485,2239,0.909781,13729,0.674412,15969,0,0,0,0,11746,0.060372,0.335178,0.405244,194560,0,0.0,0,0
233,3,0.746598,22269,2117,0.907416,14509,0.702323,15986,0,0,0,0,11950,0.061421,0.355565,0.433389,194560,0,0.0,0,0
234,3,0.649991,22508,1972,0.912779,12658,0.685179,16691,0,0,0,0,11575,0.059493,0.328553,0.403801,194560,0,0.0,0,0
235,3,0.678621,22475,2439,0.899139,12813,0.675408,14944,0,0,0,0,10642,0.054698,0.330765,0.423135,194560,0,0.0,0,0
236,3,0.680181,23260,2030,0.891626,13791,0.655355,16595,0,0,0,0,11950,0.061421,0.31113,0.415063,194560,0,0.0,0,0
237,3,0.610636,22696,1795,0.914206,12064,0.638428,15177,0,0,0,0,10183,0.052339,0.300206,0.397329,194560,0,0.0,0,0
238,3,0.734416,21609,2142,0.927171,13728,0.71926,15602,0,0,0,0,11315,0.058157,0.351922,0.45011,194560,0,0.0,0,0
239,3,0.645099,22178,1893,0.916535,12414,0.660464,16717,0,0,0,0,11738,0.060331,0.326631,0.405606,194560,0,0.0,0,0
240,3,0.630424,23140,2081,0.925517,12507,0.621172,16315,0,0,0,0,11133,0.057221,0.301716,0.392886,194560,0,0.0,0,0
241,3,0.742103,20830,2288,0.910402,13170,0.704404,15703,0,0,0,0,11683,0.060048,0.34563,0.41402,194560,0,0.0,0,0
242,3,0.698931,21985,1827,0.915709,13539,0.712165,15422,0,0,0,0,11226,0.057699,0.353732,0.436843,194560,0,0.0,0,0
243,3,0.696457,22043,2293,0.921064,13059,0.710927,15682,0,0,0,0,11279,0.057972,0.349056,0.442681,194560,0,0.0,0,0
244,3,0.652756,23914,2108,0.878558,13502,0.654496,15696,0,0,0,0,10879,0.055916,0.314827,0.416123,194560,0,0.0,0,0
245,3,0.699522,22158,1795,0.891922,13705,0.709303,14613,0,0,0,0,10660,0.05479,0.333771,0.422702,194560,0,0.0,0,0
246,3,0.63879,23078,1640,0.907317,13102,0.647611,16645,0,0,0,0,11330,0.058234,0.329568,0.412621,194560,0,0.0,0,0
247,3,0.789773,20944,2165,0.929792,14376,0.753895,15089,0,0,0,0,11807,0.060686,0.392564,0.484458,194560,0,0.0,0,0
248,3,0.680114,23127,2095,0.902148,13634,0.671483,16533,0,0,0,0,11873,0.061025,0.347258,0.434852,194560,0,0.0,0,0
249,3,0.717692,21597,1751,0.925757,13749,0.72158,15191,0,0,0,0,10822,0.055623,0.373036,0.443264,194560,0,0.0,0,0
250,3,0.727413,21439,1841,0.900054,13754,0.73106,15436,0,0,0,0,11189,0.057509,0.365627,0.440075,194560,0,0.0,0,0
251,3,0.665423,23053,1942,0.895984,13398,0.675175,16684,0,0,0,0,11960,0.061472,0.344231,0.436706,194560,0,0.0,0,0
252,3,0.788646,20293,2382,0.93241,13622,0.776611,14799,0,0,0,0,11313,0.058147,0.405993,0.482012,194560,0,0.0,0,0
253,3,0.624533,22484,1732,0.924365,12310,0.712998,15440,0,0,0,0,10127,0.052051,0.334946,0.422534,194560,0,0.0,0,0
254,3,0.709326,21402,1933,0.929126,13248,0.736715,14984,0,0,0,0,10680,0.054893,0.369663,0.460768,194560,0,0.0,0,0
255,3,0.725354,21941,1840,0.918478,14075,0.746927,16447,0,0,0,0,12150,0.062449,0.375885,0.465103,194560,0,0.0,0,0
256,3,0.607845,22741,1353,0.909091,12470,0.679471,15044,0,0,0,0,9703,0.049872,0.313614,0.388024,194560,0,0.0,0,0
257,3,0.658908,21481,1757,0.917473,12397,0.713963,15206,0,0,0,0,10631,0.054641,0.337504,0.409745,194560,0,0.0,0,0
258,3,0.675385,23169,1881,0.912812,13767,0.696593,17436,0,0,0,0,12090,0.06214,0.349628,0.444748,194560,0,0.0,0,0
259,3,0.704502,20968,1667,0.926215,13105,0.730179,14094,0,0,0,0,10027,0.051537,0.372594,0.463548,194560,0,0.0,0,0
260,3,0.631128,22783,1503,0.95143,12876,0.705499,14764,0,0,0,0,9801,0.050375,0.341394,0.454341,194560,0,0.0,0,0
261,3,0.674595,22492,1764,0.926871,13409,0.702886,15374,0,0,0,0,10991,0.056492,0.348194,0.459194,194560,0,0.0,0,0
262,3,0.673228,20981,1732,0.895497,12393,0.716453,14195,0,0,0,0,9942,0.0511,0.347314,0.419634,194560,0,0.0,0,0
263,3,0.719348,21785,2098,0.932316,13573,0.713254,15988,0,0,0,0,11885,0.061087,0.363231,0.463525,194560,0,0.0,0,0
264,3,0.676339,21986,1661,0.930765,13209,0.70505,16046,0,0,0,0,11508,0.059149,0.33959,0.424922,194560,0,0.0,0,0
265,3,0.668857,22217,1707,0.93263,13153,0.72455,13867,0,0,0,0,9764,0.050185,0.362761,0.480848,194560,0,0.0,0,0
266,3,0.640356,22158,1333,0.903976,12856,0.711574,14397,0,0,0,0,9590,0.049291,0.330553,0.421168,194560,0,0.0,0,0
267,3,0.756127,21339,1634,0.920441,14501,0.774912,14478,0,0,0,0,10607,0.054518,0.40445,0.493636,194560,0,0.0,0,0
268,3,0.732179,21884,1799,0.911618,14224,0.747539,15506,0,0,0,0,11144,0.057278,0.382627,0.463119,194560,0,0.0,0,0
269,3,0.718997,22103,2166,0.933518,13726,0.71951,15591,0,0,0,0,11547,0.059349,0.377674,0.47363,194560,0,0.0,0,0
270,3,0.693739,22089,1700,0.929412,13624,0.749486,15053,0,0,0,0,10372,0.05331,0.386714,0.465773,194560,0,0.0,0,0
271,3,0.756058,21005,1869,0.958801,14012,0.775978,14077,0,0,0,0,10292,0.052899,0.396522,0.491547,194560,0,0.0,0,0
