round,phase,client,pred_class,s_lo,s_hi,geometry_group,visits,correct,confidence_sum,a_visits,a_correct,a_weight,a_wrong_weight
226,3,9,0,0.0,0.6,unknown,177.0,91.0,80.46658615767956,0.0,0.0,0.0,0.0
226,3,9,0,0.6,0.9,unknown,315.0,256.0,245.30300909280777,0.0,0.0,0.0,0.0
226,3,9,0,0.9,0.95,unknown,120.0,111.0,111.46894037723541,0.0,0.0,0.0,0.0
226,3,9,0,0.95,0.97,unknown,83.0,78.0,79.7202565073967,83.0,78.0,83.0,5.0
226,3,9,0,0.97,0.99,unknown,180.0,161.0,176.6389485001564,180.0,161.0,180.0,19.0
226,3,9,0,0.99,0.995,unknown,126.0,114.0,125.07777923345566,126.0,114.0,126.0,12.0
226,3,9,0,0.995,1.0,unknown,773.0,739.0,772.2348883748055,773.0,739.0,773.0,34.0
226,3,9,1,0.0,0.6,unknown,126.0,103.0,63.36403360962868,0.0,0.0,0.0,0.0
226,3,9,1,0.6,0.9,unknown,393.0,387.0,305.3797224164009,0.0,0.0,0.0,0.0
226,3,9,1,0.9,0.95,unknown,160.0,159.0,148.21746307611465,0.0,0.0,0.0,0.0
226,3,9,1,0.95,0.97,unknown,115.0,115.0,110.44956171512604,115.0,115.0,115.0,0.0
226,3,9,1,0.97,0.99,unknown,255.0,255.0,250.3011224269867,255.0,255.0,255.0,0.0
226,3,9,1,0.99,0.995,unknown,168.0,168.0,166.75875055789948,168.0,168.0,168.0,0.0
226,3,9,1,0.995,1.0,unknown,1536.0,1536.0,1535.002507507801,1536.0,1536.0,1536.0,0.0
226,3,9,2,0.0,0.6,support,2.0,2.0,1.0121698677539825,0.0,0.0,0.0,0.0
226,3,9,2,0.0,0.6,oppose,321.0,182.0,146.6998454630375,0.0,0.0,0.0,0.0
226,3,9,2,0.6,0.9,support,25.0,23.0,20.691354870796204,0.0,0.0,0.0,0.0
226,3,9,2,0.6,0.9,oppose,578.0,426.0,443.9956007003784,0.0,0.0,0.0,0.0
226,3,9,2,0.9,0.95,support,17.0,16.0,15.792526721954346,0.0,0.0,0.0,0.0
226,3,9,2,0.9,0.95,oppose,206.0,170.0,190.9853360056877,0.0,0.0,0.0,0.0
226,3,9,2,0.95,0.97,support,26.0,25.0,25.011718451976776,26.0,25.0,26.0,1.0
226,3,9,2,0.95,0.97,oppose,116.0,100.0,111.44594657421112,116.0,100.0,76.1394475698471,9.393043398857117
226,3,9,2,0.97,0.99,support,97.0,91.0,95.2631368637085,97.0,91.0,97.0,6.0
226,3,9,2,0.97,0.99,oppose,246.0,221.0,241.49258244037628,246.0,221.0,166.54572290182114,14.73458206653595
226,3,9,2,0.99,0.995,support,104.0,102.0,103.25853633880615,104.0,102.0,104.0,2.0
226,3,9,2,0.99,0.995,oppose,112.0,101.0,111.19928789138794,112.0,101.0,81.43078500032425,6.112669467926025
226,3,9,2,0.995,1.0,support,1607.0,1585.0,1606.056950390339,1607.0,1585.0,1607.0,22.0
226,3,9,2,0.995,1.0,oppose,349.0,330.0,348.3514526486397,349.0,330.0,276.2009828090668,13.935412406921387
226,3,9,3,0.0,0.6,unknown,185.0,1.0,84.84592899680138,0.0,0.0,0.0,0.0
226,3,9,3,0.6,0.9,unknown,215.0,1.0,162.0894780755043,0.0,0.0,0.0,0.0
226,3,9,3,0.9,0.95,unknown,56.0,0.0,51.74249851703644,0.0,0.0,0.0,0.0
226,3,9,3,0.95,0.97,unknown,38.0,2.0,36.49665880203247,38.0,2.0,38.0,36.0
226,3,9,3,0.97,0.99,unknown,65.0,1.0,63.79053741693497,65.0,1.0,65.0,64.0
226,3,9,3,0.99,0.995,unknown,22.0,0.0,21.847551107406616,22.0,0.0,22.0,22.0
226,3,9,3,0.995,1.0,unknown,68.0,11.0,67.89110428094864,68.0,11.0,68.0,57.0
226,3,9,4,0.0,0.6,support,1.0,1.0,0.59262615442276,0.0,0.0,0.0,0.0
226,3,9,4,0.0,0.6,oppose,229.0,154.0,110.67681750655174,0.0,0.0,0.0,0.0
226,3,9,4,0.6,0.9,support,16.0,15.0,13.141182959079742,0.0,0.0,0.0,0.0
226,3,9,4,0.6,0.9,oppose,500.0,417.0,384.76643854379654,0.0,0.0,0.0,0.0
226,3,9,4,0.9,0.95,support,21.0,20.0,19.59527224302292,0.0,0.0,0.0,0.0
226,3,9,4,0.9,0.95,oppose,214.0,197.0,198.93773472309113,0.0,0.0,0.0,0.0
226,3,9,4,0.95,0.97,support,30.0,30.0,28.82027179002762,30.0,30.0,30.0,0.0
226,3,9,4,0.95,0.97,oppose,138.0,130.0,132.68936389684677,138.0,130.0,102.74509334564209,5.491811037063599
226,3,9,4,0.97,0.99,support,111.0,110.0,109.17533081769943,111.0,110.0,111.0,1.0
