phase,round,acc,loss,L_sup,L_A,L_B,L_proto,best_acc,best_round,gate,a_ratio,b_ratio,c_ratio,m_a,geom_drop_rate,a_prec,b_prec,hce_rate,proto_a_share,proto_a_dirty,proto_a_unique,proto_lab_mass,proto_a_mass,lab_mult,rel_r,rel_m,rel_alpha,tau0,delta0,eta_B,tau_warmup,cap_a,cap_b,lambda_A_scale,lambda_B_scale,use_a_for_proto,lr,cnt_u,cnt_a,cnt_b,cnt_c,pass_s,geom_drop,a_total,a_correct,b_total,b_correct,hce_hc,hce_den_hc,n_batches
3,226,0.8471,0.25031,0.0039,0.14257,0.07504,0.21449,0.854,224,1.0,0.73053,0.18928,0.08019,0.73053,0.0,0.90447,0.59268,0.09553,0.56866,0.07457,15922.67029,97280.0,128247.72461,48.64,0.7814,-0.81093,0.55689,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.02141,194560,142132,36826,15602,142132,0,142132,128554,36826,21826,13578,142132,760
3,227,0.8519,0.27222,0.00508,0.15006,0.08721,0.22065,0.854,224,1.0,0.69475,0.21422,0.09104,0.69475,0.0,0.8668,0.55871,0.1332,0.55457,0.10145,15766.59497,97280.0,121113.65332,48.64,0.76376,-1.00139,0.57406,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.02087,194560,135170,41678,17712,135170,0,135170,117165,41678,23286,18005,135170,760
3,228,0.8401,0.27257,0.00434,0.15344,0.08717,0.20123,0.854,224,1.0,0.70043,0.21143,0.08814,0.70043,0.0,0.87932,0.58316,0.12068,0.5619,0.09205,16135.89478,97280.0,124768.78027,48.64,0.78617,-0.83151,0.61216,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.02033,194560,136275,41136,17149,136275,0,136275,119830,41136,23989,16445,136275,760
3,229,0.8481,0.26668,0.00527,0.14662,0.0869,0.20033,0.854,224,1.0,0.70921,0.20364,0.08715,0.70921,0.0,0.89942,0.58809,0.10058,0.56567,0.07943,16004.73572,97280.0,126696.18457,48.64,0.79148,-0.74183,0.60017,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01979,194560,137984,39620,16956,137984,0,137984,124106,39620,23300,13878,137984,760
3,230,0.8543,0.26857,0.00465,0.1462,0.08812,0.2173,0.8543,230,1.0,0.71094,0.20063,0.08843,0.71094,0.0,0.8914,0.58506,0.1086,0.56231,0.08551,15878.21399,97280.0,124980.28516,48.64,0.77549,-0.85468,0.57042,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01926,194560,138320,39035,17205,138320,0,138320,123298,39035,22838,15022,138320,760
3,231,0.8474,0.24941,0.00399,0.14156,0.07556,0.21617,0.8543,230,1.0,0.7345,0.18648,0.07902,0.7345,0.0,0.90439,0.60409,0.09561,0.57268,0.07414,16064.01184,97280.0,130371.53711,48.64,0.79268,-0.78803,0.57932,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01874,194560,142904,36281,15375,142904,0,142904,129241,36281,21917,13663,142904,760
3,232,0.8529,0.25254,0.00371,0.14199,0.07908,0.21371,0.8543,230,1.0,0.72028,0.19765,0.08208,0.72028,0.0,0.90164,0.59089,0.09836,0.56729,0.07622,16019.67346,97280.0,127534.42676,48.64,0.78595,-0.8072,0.58141,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01823,194560,140137,38454,15969,140137,0,140137,126353,38454,22722,13784,140137,760
3,233,0.8528,0.25135,0.00396,0.14103,0.07796,0.21917,0.8543,230,1.0,0.72306,0.19477,0.08216,0.72306,0.0,0.89652,0.58596,0.10348,0.5665,0.07956,15878.00574,97280.0,127125.61133,48.64,0.78022,-0.86797,0.56719,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01772,194560,140679,37895,15986,140679,0,140679,126121,37895,22205,14558,140679,760
3,234,0.8549,0.25591,0.0038,0.14471,0.08072,0.19811,0.8549,234,1.0,0.71764,0.19657,0.08579,0.71764,0.0,0.90945,0.59544,0.09055,0.56874,0.07053,16022.98108,97280.0,128289.1748,48.64,0.79471,-0.78736,0.6205,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01721,194560,139625,38244,16691,139625,0,139625,126982,38244,22772,12643,139625,760
3,235,0.8491,0.24815,0.00388,0.1415,0.07603,0.2111,0.8549,234,1.0,0.73305,0.19014,0.07681,0.73305,0.0,0.89732,0.60121,0.10268,0.57284,0.0791,16334.02307,97280.0,130455.38184,48.64,0.79892,-0.71657,0.59573,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01671,194560,142622,36994,14944,142622,0,142622,127978,36994,22241,14644,142622,760
