round,acc
1,0.1
2,0.2229
3,0.3347
4,0.3128
5,0.2616
6,0.4375
7,0.3511
8,0.4971
9,0.3836
10,0.479
11,0.5396
12,0.4563
13,0.5495
14,0.531
15,0.5453
16,0.611
17,0.4937
18,0.4727
19,0.5921
20,0.5541
21,0.6159
22,0.531
23,0.5876
24,0.617
25,0.6458
26,0.6862
27,0.6383
28,0.6379
29,0.5659
30,0.614
31,0.5585
32,0.6067
33,0.6315
34,0.6581
35,0.6537
36,0.6676
37,0.6921
38,0.676
39,0.7003
40,0.6219
41,0.6435
42,0.5799
43,0.6229
44,0.551
45,0.6086
46,0.6139
47,0.6977
48,0.6148
49,0.6593
50,0.722
51,0.7237
52,0.7179
53,0.6787
54,0.5959
55,0.6942
56,0.7064
57,0.7261
58,0.72
59,0.7046
60,0.6715
61,0.6654
62,0.735
63,0.7341
64,0.757
65,0.7063
66,0.6857
67,0.7421
68,0.6958
69,0.7433
70,0.7517
71,0.7594
72,0.7775
73,0.7772
74,0.7719
75,0.773
76,0.7833
77,0.7485
78,0.7538
79,0.7727
80,0.7721
81,0.7855
82,0.7789
83,0.7573
84,0.7738
85,0.7915
86,0.7863
87,0.7742
88,0.7995
89,0.7892
90,0.7815
91,0.7848
92,0.7999
93,0.7918
94,0.7753
95,0.7965
96,0.8088
97,0.7956
98,0.8001
99,0.8028
100,0.8054
101,0.8057
102,0.7951
103,0.808
104,0.8019
105,0.8028
106,0.801
107,0.798
108,0.8194
109,0.7882
110,0.8151
111,0.7731
112,0.7854
113,0.7959
114,0.8184
115,0.8077
116,0.8202
117,0.8085
118,0.8082
119,0.7903
120,0.8079
121,0.8233
122,0.8099
123,0.8023
124,0.8256
125,0.81
126,0.8364
127,0.8277
128,0.8262
129,0.8246
130,0.8062
131,0.8279
132,0.8358
133,0.8269
134,0.8106
135,0.8325
136,0.8238
137,0.8104
138,0.8247
139,0.84
140,0.8243
141,0.8254
142,0.8282
143,0.8269
144,0.841
145,0.8121
146,0.8263
147,0.8363
148,0.8386
149,0.8476
150,0.845
151,0.8309
152,0.8424
153,0.8267
154,0.8217
155,0.8428
156,0.8412
157,0.8323
158,0.8436
159,0.8252
160,0.8381
161,0.8282
162,0.8374
163,0.8427
164,0.8448
165,0.8472
166,0.8332
167,0.8445
168,0.8418
169,0.8501
170,0.8401
171,0.8356
172,0.8409
173,0.8455
174,0.8417
175,0.8485
176,0.8532
177,0.8345
178,0.8532
179,0.8406
180,0.8389
181,0.8306
182,0.857
183,0.8382
184,0.8482
185,0.851
186,0.8441
187,0.8576
188,0.8454
189,0.8555
190,0.8485
191,0.8476
192,0.8577
193,0.858
194,0.8459
195,0.8602
196,0.8545
197,0.8364
198,0.8489
199,0.8569
200,0.8549
201,0.8572
202,0.8515
203,0.857
204,0.8525
205,0.855
206,0.8599
207,0.8537
208,0.8598
209,0.8565
210,0.8554
211,0.8574
212,0.84
213,0.8561
214,0.8565
215,0.8568
216,0.8571
217,0.852
218,0.8591
219,0.8624
220,0.8588
221,0.8541
222,0.8577
223,0.862
224,0.8574
225,0.8648
226,0.8561
227,0.8594
228,0.8547
229,0.8551
230,0.8612
231,0.854
232,0.8567
233,0.8595
234,0.8651
235,0.8557
236,0.8652
237,0.848
238,0.8525
239,0.8552
240,0.8567
241,0.8574
242,0.8592
243,0.8587
244,0.8605
245,0.8634
246,0.8605
247,0.86
248,0.8646
249,0.8617
250,0.8628
251,0.8625
252,0.8601
253,0.8638
254,0.8599
255,0.8609
256,0.8611
257,0.8589
258,0.8598
259,0.8598
260,0.8603
261,0.8605
262,0.8572
263,0.8609
264,0.8606
265,0.8606
266,0.8606
267,0.8595
268,0.8617
269,0.8628
270,0.8627
271,0.8607
272,0.8642
273,0.8644
274,0.8637
275,0.8643
276,0.8645
277,0.8634
278,0.8608
279,0.8657
280,0.8649
281,0.8639
282,0.8671
283,0.8635
284,0.8638
285,0.863
286,0.8633
287,0.8645
288,0.8636
289,0.8655
290,0.8649
291,0.8645
292,0.8648
293,0.8662
294,0.8638
295,0.8637
296,0.8646
297,0.8637
298,0.8642
299,0.8647
300,0.8643
