round,acc
1,0.1
2,0.2229
3,0.3347
4,0.3128
5,0.2616
6,0.4375
7,0.3511
8,0.4971
9,0.3836
10,0.479
11,0.5396
12,0.4563
13,0.5495
14,0.531
15,0.5453
16,0.611
17,0.4937
18,0.4727
19,0.5921
20,0.5541
21,0.6159
22,0.531
23,0.5876
24,0.617
25,0.6458
26,0.6862
27,0.6383
28,0.6379
29,0.5659
30,0.614
31,0.5585
32,0.6067
33,0.6315
34,0.6581
35,0.6537
36,0.6676
37,0.6921
38,0.676
39,0.7003
40,0.6219
41,0.6435
42,0.5799
43,0.6229
44,0.551
45,0.6086
46,0.6139
47,0.6977
48,0.6148
49,0.6593
50,0.722
51,0.7237
52,0.7179
53,0.6787
54,0.5959
55,0.6942
56,0.7064
57,0.7261
58,0.72
59,0.7046
60,0.6715
61,0.6666
62,0.7264
63,0.7332
64,0.7467
65,0.7073
66,0.7005
67,0.7421
68,0.6767
69,0.7396
70,0.7545
71,0.7608
72,0.7761
73,0.7788
74,0.7723
75,0.7692
76,0.78
77,0.7488
78,0.7523
79,0.7716
80,0.7707
81,0.7837
82,0.7792
83,0.7487
84,0.7676
85,0.7922
86,0.7846
87,0.7893
88,0.7944
89,0.7889
90,0.7816
91,0.7907
92,0.7983
93,0.7899
94,0.7811
95,0.7997
96,0.8027
97,0.793
98,0.8018
99,0.8046
100,0.8046
101,0.8099
102,0.7925
103,0.8034
104,0.8089
105,0.7981
106,0.8029
107,0.7984
108,0.8203
109,0.7911
110,0.8091
111,0.7805
112,0.7865
113,0.8005
114,0.8156
115,0.8167
116,0.81
117,0.8099
118,0.8082
119,0.7982
120,0.8153
121,0.8207
122,0.8149
123,0.8063
124,0.8169
125,0.8188
126,0.8287
127,0.8228
128,0.8276
129,0.8203
130,0.8059
131,0.8248
132,0.8383
133,0.8235
134,0.8144
135,0.8392
136,0.8265
137,0.8161
138,0.8242
139,0.8388
140,0.8261
141,0.8337
142,0.8313
143,0.8275
144,0.8427
145,0.8207
146,0.8262
147,0.8337
148,0.8381
149,0.8487
150,0.8469
151,0.8364
152,0.8468
153,0.8243
154,0.8203
155,0.8411
156,0.8388
157,0.8353
158,0.8448
159,0.8241
160,0.8415
161,0.8352
162,0.8462
163,0.8403
164,0.844
165,0.8464
166,0.8338
167,0.842
168,0.8437
169,0.8513
170,0.8459
171,0.8355
172,0.8408
173,0.8488
174,0.8448
175,0.8548
176,0.8475
177,0.8353
178,0.8513
179,0.8375
180,0.8428
181,0.8285
182,0.8493
183,0.8375
184,0.8491
185,0.8473
186,0.8399
187,0.857
188,0.8478
189,0.8504
190,0.8444
191,0.8453
192,0.856
193,0.8583
194,0.8501
195,0.8593
196,0.8492
197,0.8394
198,0.8434
199,0.855
200,0.8541
201,0.8593
202,0.8535
203,0.8556
204,0.8503
205,0.8588
206,0.8601
207,0.8554
208,0.8579
209,0.8527
210,0.8543
211,0.8581
212,0.8386
213,0.8536
214,0.857
215,0.8571
216,0.8561
217,0.8439
218,0.8582
219,0.8595
220,0.8567
221,0.8528
222,0.8559
223,0.8627
224,0.8536
225,0.8631
226,0.8562
227,0.857
228,0.855
229,0.8567
230,0.8571
231,0.8522
232,0.8553
233,0.8603
234,0.864
235,0.8524
236,0.8648
237,0.8503
238,0.854
239,0.8599
240,0.8586
241,0.8557
242,0.8571
243,0.8615
244,0.8613
245,0.8627
246,0.8618
247,0.8607
248,0.8654
249,0.8588
250,0.8632
251,0.8622
252,0.8582
253,0.8623
254,0.8612
255,0.8592
256,0.8602
257,0.8608
258,0.8647
259,0.8588
260,0.8576
261,0.8612
262,0.8592
263,0.8616
264,0.8612
265,0.8616
266,0.8611
267,0.8605
268,0.8647
269,0.8665
270,0.8645
271,0.8629
272,0.8657
273,0.8639
274,0.8615
275,0.8654
276,0.8652
277,0.8645
278,0.8607
279,0.8662
280,0.864
281,0.8628
282,0.8657
283,0.8649
284,0.8666
285,0.864
286,0.8647
287,0.8663
288,0.8645
289,0.8655
290,0.8643
291,0.8661
292,0.8661
293,0.8663
294,0.8657
295,0.8664
296,0.8663
297,0.8666
298,0.8669
299,0.8671
300,0.867
