round,phase,client,pred_class,s_lo,s_hi,geometry_group,visits,correct,confidence_sum,a_visits,a_correct,a_weight,a_wrong_weight
91,2,1,0,0.0,0.6,unknown,38.0,0.0,17.1777366399765,0.0,0.0,0.0,0.0
91,2,1,0,0.6,0.9,unknown,44.0,0.0,33.52036303281784,0.0,0.0,0.0,0.0
91,2,1,0,0.9,0.95,unknown,13.0,0.0,12.099762737751007,0.0,0.0,0.0,0.0
91,2,1,0,0.95,0.97,unknown,3.0,0.0,2.882485806941986,3.0,0.0,3.0,3.0
91,2,1,0,0.97,0.99,unknown,7.0,0.0,6.8774025440216064,7.0,0.0,7.0,7.0
91,2,1,0,0.99,0.995,unknown,4.0,0.0,3.9690183997154236,4.0,0.0,4.0,4.0
91,2,1,0,0.995,1.0,unknown,4.0,0.0,3.9916491508483887,4.0,0.0,4.0,4.0
91,2,1,1,0.0,0.6,oppose,97.0,2.0,42.97661067545414,0.0,0.0,0.0,0.0
91,2,1,1,0.6,0.9,oppose,80.0,5.0,59.52288842201233,0.0,0.0,0.0,0.0
91,2,1,1,0.9,0.95,oppose,18.0,2.0,16.715887248516083,0.0,0.0,0.0,0.0
91,2,1,1,0.95,0.97,oppose,11.0,3.0,10.544663667678833,11.0,3.0,7.740065276622772,5.619496047496796
91,2,1,1,0.97,0.99,oppose,15.0,4.0,14.718436181545258,15.0,4.0,9.035517156124115,6.668156683444977
91,2,1,1,0.99,0.995,oppose,7.0,3.0,6.950396478176117,7.0,3.0,4.82420539855957,2.867274582386017
91,2,1,1,0.995,1.0,support,48.0,48.0,47.99809676408768,48.0,48.0,48.0,0.0
91,2,1,1,0.995,1.0,oppose,114.0,93.0,113.94895154237747,114.0,93.0,87.30587065219879,14.43646389245987
91,2,1,2,0.0,0.6,support,58.0,37.0,28.553837776184082,0.0,0.0,0.0,0.0
91,2,1,2,0.0,0.6,oppose,441.0,179.0,210.514399304986,0.0,0.0,0.0,0.0
91,2,1,2,0.6,0.9,support,157.0,107.0,123.84531092643738,0.0,0.0,0.0,0.0
91,2,1,2,0.6,0.9,oppose,733.0,393.0,559.6145199537277,0.0,0.0,0.0,0.0
91,2,1,2,0.9,0.95,support,91.0,71.0,84.24245244264603,0.0,0.0,0.0,0.0
91,2,1,2,0.9,0.95,oppose,230.0,169.0,213.06217873096466,0.0,0.0,0.0,0.0
91,2,1,2,0.95,0.97,support,67.0,56.0,64.38357245922089,67.0,56.0,67.0,11.0
91,2,1,2,0.95,0.97,oppose,137.0,113.0,131.6805523633957,137.0,113.0,78.61020737886429,12.13912159204483
91,2,1,2,0.97,0.99,support,160.0,143.0,157.0346983075142,160.0,143.0,160.0,17.0
91,2,1,2,0.97,0.99,oppose,277.0,237.0,271.83072406053543,277.0,237.0,168.35600662231445,22.58161109685898
91,2,1,2,0.99,0.995,support,97.0,90.0,96.30417078733444,97.0,90.0,97.0,7.0
91,2,1,2,0.99,0.995,oppose,146.0,124.0,144.93064719438553,146.0,124.0,96.00484269857407,13.844605386257172
91,2,1,2,0.995,1.0,support,1506.0,1474.0,1505.1009460687637,1506.0,1474.0,1506.0,32.0
91,2,1,2,0.995,1.0,oppose,732.0,685.0,730.9936264753342,732.0,685.0,517.2712802290916,29.57843589782715
91,2,1,3,0.0,0.6,support,35.0,19.0,17.28058362007141,0.0,0.0,0.0,0.0
91,2,1,3,0.0,0.6,oppose,604.0,244.0,294.4095520526171,0.0,0.0,0.0,0.0
91,2,1,3,0.6,0.9,support,168.0,101.0,134.00945913791656,0.0,0.0,0.0,0.0
91,2,1,3,0.6,0.9,oppose,975.0,484.0,747.1612432599068,0.0,0.0,0.0,0.0
91,2,1,3,0.9,0.95,support,107.0,72.0,99.2009607553482,0.0,0.0,0.0,0.0
91,2,1,3,0.9,0.95,oppose,264.0,161.0,244.63142323493958,0.0,0.0,0.0,0.0
91,2,1,3,0.95,0.97,support,90.0,68.0,86.48965758085251,90.0,68.0,90.0,22.0
91,2,1,3,0.95,0.97,oppose,135.0,87.0,129.62147116661072,135.0,87.0,94.26891160011292,34.10354691743851
91,2,1,3,0.97,0.99,support,176.0,131.0,172.8524734377861,176.0,131.0,176.0,45.0
91,2,1,3,0.97,0.99,oppose,224.0,153.0,219.71658098697662,224.0,153.0,164.97300708293915,52.458343863487244
91,2,1,3,0.99,0.995,support,125.0,103.0,124.11951887607574,125.0,103.0,125.0,22.0
91,2,1,3,0.99,0.995,oppose,84.0,63.0,83.39322060346603,84.0,63.0,66.48968786001205,16.727494657039642
91,2,1,3,0.995,1.0,support,1026.0,940.0,1025.13477987051,1026.0,940.0,1026.0,86.0
91,2,1,3,0.995,1.0,oppose,247.0,214.0,246.575967669487,247.0,214.0,194.2356520295143,27.53948813676834
91,2,1,4,0.0,0.6,support,40.0,28.0,20.605796545743942,0.0,0.0,0.0,0.0
91,2,1,4,0.0,0.6,oppose,406.0,213.0,192.40846383571625,0.0,0.0,0.0,0.0
91,2,1,4,0.6,0.9,support,134.0,97.0,105.69535386562347,0.0,0.0,0.0,0.0
91,2,1,4,0.6,0.9,oppose,599.0,397.0,456.61797523498535,0.0,0.0,0.0,0.0
91,2,1,4,0.9,0.95,support,72.0,47.0,66.76754814386368,0.0,0.0,0.0,0.0
91,2,1,4,0.9,0.95,oppose,185.0,141.0,171.3811550140381,0.0,0.0,0.0,0.0
91,2,1,4,0.95,0.97,support,63.0,54.0,60.52191215753555,63.0,54.0,63.0,9.0
91,2,1,4,0.95,0.97,oppose,118.0,95.0,113.26879441738129,118.0,95.0,83.5084068775177,15.440547227859497
91,2,1,4,0.97,0.99,support,195.0,173.0,191.58833813667297,195.0,173.0,195.0,22.0
91,2,1,4,0.97,0.99,oppose,208.0,178.0,204.11371344327927,208.0,178.0,152.21429294347763,20.444224953651428
91,2,1,4,0.99,0.995,support,146.0,129.0,144.94072955846786,146.0,129.0,146.0,17.0
91,2,1,4,0.99,0.995,oppose,100.0,88.0,99.25879108905792,100.0,88.0,74.33161932229996,8.784941554069519
91,2,1,4,0.995,1.0,support,1188.0,1151.0,1186.9937849640846,1188.0,1151.0,1188.0,37.0
91,2,1,4,0.995,1.0,oppose,368.0,328.0,367.39491814374924,368.0,328.0,288.35062873363495,29.862876176834106
91,2,1,5,0.0,0.6,support,30.0,16.0,15.675101459026337,0.0,0.0,0.0,0.0
91,2,1,5,0.0,0.6,oppose,426.0,151.0,203.66432805359364,0.0,0.0,0.0,0.0
91,2,1,5,0.6,0.9,support,152.0,79.0,118.50939512252808,0.0,0.0,0.0,0.0
91,2,1,5,0.6,0.9,oppose,768.0,326.0,583.440425992012,0.0,0.0,0.0,0.0
91,2,1,5,0.9,0.95,support,90.0,60.0,83.56214612722397,0.0,0.0,0.0,0.0
