round,phase,client,pred_class,s_lo,s_hi,geometry_group,visits,correct,confidence_sum,a_visits,a_correct,a_weight,a_wrong_weight
91,2,1,0,0.0,0.6,unknown,48.0,0.0,22.8302683532238,0.0,0.0,0.0,0.0
91,2,1,0,0.6,0.9,unknown,41.0,0.0,30.40989327430725,0.0,0.0,0.0,0.0
91,2,1,0,0.9,0.95,unknown,6.0,0.0,5.573803067207336,0.0,0.0,0.0,0.0
91,2,1,0,0.95,0.97,unknown,12.0,0.0,11.519959032535553,12.0,0.0,12.0,12.0
91,2,1,0,0.97,0.99,unknown,17.0,0.0,16.67630571126938,17.0,0.0,17.0,17.0
91,2,1,0,0.99,0.995,unknown,4.0,0.0,3.968526840209961,4.0,0.0,4.0,4.0
91,2,1,0,0.995,1.0,unknown,11.0,0.0,10.975680887699127,11.0,0.0,11.0,11.0
91,2,1,1,0.0,0.6,oppose,74.0,2.0,34.01461172103882,0.0,0.0,0.0,0.0
91,2,1,1,0.6,0.9,oppose,56.0,4.0,42.16112345457077,0.0,0.0,0.0,0.0
91,2,1,1,0.9,0.95,oppose,6.0,0.0,5.530939757823944,0.0,0.0,0.0,0.0
91,2,1,1,0.95,0.97,oppose,5.0,2.0,4.8059815764427185,5.0,2.0,2.812120020389557,1.500702679157257
91,2,1,1,0.97,0.99,oppose,5.0,4.0,4.902380049228668,5.0,4.0,3.47646164894104,0.7694974541664124
91,2,1,1,0.99,0.995,oppose,6.0,3.0,5.953299343585968,6.0,3.0,3.718159258365631,2.028983473777771
91,2,1,1,0.995,1.0,support,56.0,56.0,55.99904280900955,56.0,56.0,56.0,0.0
91,2,1,1,0.995,1.0,oppose,91.0,88.0,90.96524447202682,91.0,88.0,70.37249875068665,1.3331660628318787
91,2,1,2,0.0,0.6,support,44.0,25.0,21.1687870323658,0.0,0.0,0.0,0.0
91,2,1,2,0.0,0.6,oppose,456.0,191.0,218.3049595952034,0.0,0.0,0.0,0.0
91,2,1,2,0.6,0.9,support,150.0,108.0,116.83216708898544,0.0,0.0,0.0,0.0
91,2,1,2,0.6,0.9,oppose,699.0,410.0,534.4606465697289,0.0,0.0,0.0,0.0
