round,acc
1,0.1
2,0.2229
3,0.3347
4,0.3128
5,0.2616
6,0.4375
7,0.3511
8,0.4971
9,0.3836
10,0.479
11,0.5396
12,0.4563
13,0.5495
14,0.531
15,0.5453
16,0.611
17,0.4937
18,0.4727
19,0.5921
20,0.5541
21,0.6159
22,0.531
23,0.5876
24,0.617
25,0.6458
26,0.6862
27,0.6383
28,0.6379
29,0.5659
30,0.614
31,0.5585
32,0.6067
33,0.6315
34,0.6581
35,0.6537
36,0.6676
37,0.6921
38,0.676
39,0.7003
40,0.6219
41,0.6435
42,0.5799
43,0.6229
44,0.551
45,0.6086
46,0.6139
47,0.6977
48,0.6148
49,0.6593
50,0.722
51,0.7237
52,0.7179
53,0.6787
54,0.5959
55,0.6942
56,0.7064
57,0.7261
58,0.72
59,0.7046
60,0.6715
61,0.6703
62,0.735
63,0.744
64,0.7507
65,0.7147
66,0.7064
67,0.7464
68,0.6838
69,0.7393
70,0.7541
71,0.7527
72,0.7705
73,0.7812
74,0.7743
75,0.7689
76,0.7831
77,0.7561
78,0.7564
79,0.7755
80,0.7729
81,0.7829
82,0.7784
83,0.7626
84,0.7713
85,0.7916
86,0.7849
87,0.7785
88,0.7927
89,0.7787
90,0.7835
91,0.7861
92,0.7961
93,0.7906
94,0.7788
95,0.7967
96,0.7999
97,0.7949
98,0.7944
99,0.8038
100,0.8033
101,0.8036
102,0.7955
103,0.806
104,0.8
105,0.7969
106,0.7935
107,0.794
108,0.8145
109,0.785
110,0.8173
111,0.7674
112,0.7849
113,0.7838
114,0.8167
115,0.802
116,0.8058
117,0.7996
118,0.8047
119,0.7826
120,0.8015
121,0.8116
122,0.7984
123,0.7935
124,0.8112
125,0.8043
126,0.8312
127,0.8232
128,0.823
129,0.819
130,0.7962
131,0.8237
132,0.8306
133,0.8241
134,0.8044
135,0.8279
136,0.8264
137,0.8065
138,0.8097
139,0.8336
140,0.811
141,0.8316
142,0.8314
143,0.8168
144,0.8379
145,0.8076
146,0.82
147,0.823
148,0.8376
149,0.8435
150,0.8432
151,0.8261
152,0.8402
153,0.8213
154,0.8032
155,0.8325
156,0.8338
157,0.8305
158,0.8369
159,0.8138
160,0.8346
161,0.819
162,0.8402
163,0.8381
164,0.8326
165,0.8345
166,0.8183
167,0.8374
168,0.846
169,0.8477
170,0.8251
171,0.8365
172,0.8329
173,0.8425
174,0.8271
175,0.8427
176,0.8479
177,0.8232
178,0.8491
