round,acc
1,0.174
2,0.314
3,0.2927
4,0.3733
5,0.3532
6,0.4734
7,0.3857
8,0.4601
9,0.3924
10,0.5207
11,0.4668
12,0.4888
13,0.5593
14,0.5438
15,0.4718
16,0.4836
17,0.5121
18,0.4778
19,0.5503
20,0.513
21,0.4759
22,0.4629
23,0.5382
24,0.6037
25,0.5559
26,0.5331
27,0.5799
28,0.5774
29,0.6091
30,0.6158
31,0.5958
32,0.5639
33,0.5873
34,0.6334
35,0.6631
36,0.5861
37,0.5443
38,0.5004
39,0.6341
40,0.5844
41,0.5568
42,0.5443
43,0.6545
44,0.5919
45,0.5387
46,0.5461
47,0.6118
48,0.6081
49,0.5707
50,0.5449
51,0.6124
52,0.6211
53,0.6984
54,0.6746
55,0.6014
56,0.6426
57,0.5065
58,0.5943
59,0.5423
60,0.5868
61,0.5953
62,0.6653
63,0.6649
64,0.7189
65,0.7184
66,0.683
67,0.682
68,0.6786
69,0.6383
70,0.6031
71,0.679
72,0.6644
73,0.6572
74,0.6785
75,0.6445
76,0.649
77,0.6863
78,0.7217
79,0.6828
80,0.6937
81,0.6558
82,0.6438
83,0.5827
84,0.6304
85,0.6982
86,0.6996
87,0.7305
88,0.7009
89,0.7076
90,0.6669
91,0.6394
92,0.6727
93,0.6825
94,0.7479
95,0.7213
96,0.7182
97,0.7022
98,0.7319
99,0.746
100,0.7097
101,0.7294
102,0.6711
103,0.7197
104,0.7065
105,0.6437
106,0.6885
107,0.6258
108,0.644
109,0.6894
110,0.6119
111,0.7037
112,0.7323
113,0.7528
114,0.7519
115,0.7376
116,0.6736
117,0.7334
118,0.7599
119,0.7518
120,0.7458
121,0.6538
122,0.6739
123,0.7314
124,0.6874
125,0.7817
126,0.7161
127,0.744
128,0.7195
129,0.7038
130,0.7393
131,0.7536
132,0.7324
133,0.7691
134,0.725
135,0.7359
136,0.7683
137,0.7493
138,0.7305
139,0.667
140,0.7018
141,0.7675
142,0.7456
143,0.7552
144,0.7793
145,0.7599
146,0.7511
147,0.7558
148,0.7449
149,0.7778
150,0.7555
151,0.7785
152,0.775
153,0.7746
154,0.7817
155,0.7815
156,0.7717
157,0.7788
158,0.6733
159,0.6988
160,0.7052
161,0.7757
162,0.7902
163,0.778
164,0.7599
165,0.7751
166,0.7923
167,0.7778
168,0.7386
169,0.7745
170,0.7896
171,0.7636
172,0.7498
173,0.7733
174,0.7696
175,0.7455
176,0.7365
177,0.752
178,0.7797
179,0.8051
180,0.7774
181,0.7935
182,0.745
183,0.7928
184,0.7835
185,0.7911
186,0.7792
187,0.777
188,0.7819
189,0.7705
190,0.7206
191,0.7148
192,0.7795
193,0.7512
194,0.7787
195,0.7836
196,0.7991
197,0.7977
198,0.794
199,0.7831
200,0.7696
201,0.7669
202,0.7679
203,0.791
204,0.8103
205,0.7858
206,0.7971
207,0.7841
208,0.7988
209,0.7751
210,0.7751
211,0.7635
212,0.7421
213,0.8114
214,0.8002
215,0.7952
216,0.7691
217,0.7861
218,0.7935
219,0.7869
220,0.7806
221,0.7691
222,0.7955
223,0.7462
224,0.7754
225,0.758
226,0.805
227,0.808
228,0.8126
229,0.7967
230,0.7911
231,0.7984
232,0.8052
233,0.8079
234,0.8021
235,0.81
236,0.8127
237,0.8056
238,0.7915
239,0.8037
240,0.8012
241,0.8017
242,0.8103
243,0.8051
244,0.8076
245,0.8067
246,0.8137
247,0.8078
248,0.8089
249,0.8158
250,0.8125
251,0.8125
252,0.8096
253,0.8083
254,0.8204
255,0.8143
256,0.8029
257,0.8108
258,0.8089
259,0.8156
260,0.808
261,0.8041
262,0.8124
263,0.8104
264,0.8112
265,0.8115
266,0.8104
267,0.817
268,0.8165
269,0.816
270,0.8148
271,0.8202
272,0.8182
273,0.8177
274,0.8102
275,0.8161
276,0.8118
277,0.8212
278,0.8194
279,0.8201
280,0.8202
281,0.8195
282,0.8198
283,0.8202
284,0.8201
285,0.8225
286,0.8184
287,0.8222
288,0.822
289,0.8228
290,0.8213
291,0.8243
292,0.8232
293,0.8211
294,0.8207
295,0.823
296,0.822
297,0.8237
298,0.8227
299,0.8222
300,0.8234
