phase,round,acc,loss,L_sup,L_A,L_B,L_proto,best_acc,best_round,gate,a_ratio,b_ratio,c_ratio,m_a,geom_drop_rate,a_prec,b_prec,hce_rate,proto_a_share,proto_a_dirty,proto_a_unique,proto_lab_mass,proto_a_mass,lab_mult,rel_r,rel_m,rel_alpha,tau0,delta0,eta_B,tau_warmup,cap_a,cap_b,lambda_A_scale,lambda_B_scale,use_a_for_proto,lr,cnt_u,cnt_a,cnt_b,cnt_c,pass_s,geom_drop,a_total,a_correct,b_total,b_correct,hce_hc,hce_den_hc,n_batches
1,1,0.174,1.10958,1.0656,0.04398,0.0,2.05312,0.174,1,0.0,0.0814,0.0,0.9186,0.08164,0.0,0.41144,0.0,0.58682,0.13769,0.58822,6440.04364,97280.0,15533.44995,48.64,0.60968,0.0,1.0,0.92,0.1,0.6,0.95,0.25,0.0,1.0,1.0,1.0,0.1,194560,15837,0,178723,15884,0,15837,6516,0,0,9321,15884,760
1,2,0.314,0.91639,0.84429,0.0721,0.0,2.14334,0.314,2,0.0,0.12465,0.0,0.87535,0.12752,0.0,0.4298,0.0,0.55733,0.19671,0.57003,8507.06305,97280.0,23821.29907,48.64,0.66544,0.0,1.0,0.92,0.1,0.6,0.95,0.25,0.0,1.0,1.0,1.0,0.09999,194560,24251,0,170309,24811,0,24251,10423,0,0,13828,24811,760
1,3,0.2927,0.7976,0.71013,0.08747,0.0,2.16951,0.314,2,0.0,0.1428,0.0,0.8572,0.15156,0.0,0.49008,0.0,0.48043,0.21928,0.50911,9073.92511,97280.0,27323.25415,48.64,0.68302,0.0,1.0,0.92,0.1,0.6,0.95,0.25,0.0,1.0,1.0,1.0,0.09998,194560,27783,0,166777,29488,0,27783,13616,0,0,14167,29488,760
1,4,0.3733,0.61959,0.5045,0.11509,0.0,2.11513,0.3733,4,0.0,0.19606,0.0,0.80394,0.22727,0.0,0.50716,0.0,0.42518,0.27893,0.49239,11293.75305,97280.0,37630.2666,48.64,0.73802,0.0,1.0,0.92,0.1,0.6,0.95,0.25,0.0,1.0,1.0,1.0,0.09996,194560,38146,0,156414,44217,0,38146,19346,0,0,18800,44217,760
1,5,0.3532,0.55608,0.43829,0.11779,0.0,2.07132,0.3733,4,0.0,0.21089,0.0,0.78911,0.26523,0.0,0.50316,0.0,0.39505,0.29428,0.49604,11633.89587,97280.0,40565.42603,48.64,0.75647,0.0,1.0,0.92,0.1,0.6,0.95,0.25,0.0,1.0,1.0,1.0,0.09993,194560,41031,0,153529,51604,0,41031,20645,0,0,20386,51604,760
1,6,0.4734,0.43633,0.32064,0.11569,0.0,2.03002,0.4734,6,0.0,0.23322,0.0,0.76678,0.33021,0.0,0.5908,0.0,0.28902,0.31636,0.40867,11664.59424,97280.0,45018.01221,48.64,0.78854,0.0,1.0,0.92,0.1,0.6,0.95,0.25,0.0,1.0,1.0,1.0,0.0999,194560,45376,0,149184,64245,0,45376,26808,0,0,18568,64245,760
1,7,0.3857,0.42044,0.30107,0.11937,0.0,2.11776,0.4734,6,0.0,0.2393,0.0,0.7607,0.33935,0.0,0.57667,0.0,0.29853,0.322,0.42302,11980.59595,97280.0,46200.72119,48.64,0.79719,0.0,1.0,0.92,0.1,0.6,0.95,0.25,0.0,1.0,1.0,1.0,0.09987,194560,46559,0,148001,66024,0,46559,26849,0,0,19710,66024,760
1,8,0.4601,0.39934,0.28368,0.11566,0.0,2.04283,0.4734,6,0.0,0.24337,0.0,0.75663,0.3661,0.0,0.57432,0.0,0.28298,0.32604,0.4251,12101.41248,97280.0,47060.65723,48.64,0.80672,0.0,1.0,0.92,0.1,0.6,0.95,0.25,0.0,1.0,1.0,1.0,0.09982,194560,47350,0,147210,71228,0,47350,27194,0,0,20156,71228,760
1,9,0.3924,0.38859,0.26361,0.12498,0.0,2.06486,0.4734,6,0.0,0.24218,0.0,0.75782,0.35315,0.0,0.49894,0.0,0.34361,0.32481,0.50045,12128.4458,97280.0,46798.63135,48.64,0.7997,0.0,1.0,0.92,0.1,0.6,0.95,0.25,0.0,1.0,1.0,1.0,0.09978,194560,47118,0,147442,68709,0,47118,23509,0,0,23609,68709,760
1,10,0.5207,0.35993,0.24308,0.11685,0.0,2.11092,0.5207,10,0.0,0.24434,0.0,0.75566,0.37653,0.0,0.52337,0.0,0.30929,0.32708,0.47617,11970.45947,97280.0,47284.43555,48.64,0.80816,0.0,1.0,0.92,0.1,0.6,0.95,0.25,0.0,1.0,1.0,1.0,0.09973,194560,47538,0,147022,73258,0,47538,24880,0,0,22658,73258,760
1,11,0.4668,0.27458,0.16677,0.10781,0.0,2.0556,0.5207,10,0.0,0.24695,0.0,0.75305,0.41782,0.0,0.60852,0.0,0.23138,0.32979,0.39138,11618.88086,97280.0,47869.23242,48.64,0.82649,0.0,1.0,0.92,0.1,0.6,0.95,0.25,0.0,1.0,1.0,1.0,0.09967,194560,48046,0,146514,81291,0,48046,29237,0,0,18809,81291,760
1,12,0.4888,0.29138,0.18564,0.10574,0.0,2.0311,0.5207,10,0.0,0.24893,0.0,0.75107,0.41798,0.0,0.58611,0.0,0.24649,0.33158,0.4137,11744.65845,97280.0,48257.30225,48.64,0.82696,0.0,1.0,0.92,0.1,0.6,0.95,0.25,0.0,1.0,1.0,1.0,0.09961,194560,48431,0,146129,81322,0,48431,28386,0,0,20045,81322,760
1,13,0.5593,0.25719,0.15559,0.10161,0.0,1.9656,0.5593,13,0.0,0.24844,0.0,0.75156,0.4466,0.0,0.65972,0.0,0.18929,0.33125,0.33985,11601.61218,97280.0,48186.43945,48.64,0.83716,0.0,1.0,0.92,0.1,0.6,0.95,0.25,0.0,1.0,1.0,1.0,0.09954,194560,48337,0,146223,86891,0,48337,31889,0,0,16448,86891,760
1,14,0.5438,0.22663,0.1282,0.09843,0.0,1.94356,0.5593,13,0.0,0.24929,0.0,0.75071,0.47416,0.0,0.55206,0.0,0.23551,0.33217,0.44766,11596.08557,97280.0,48386.50244,48.64,0.84589,0.0,1.0,0.92,0.1,0.6,0.95,0.25,0.0,1.0,1.0,1.0,0.09946,194560,48502,0,146058,92252,0,48502,26776,0,0,21726,92252,760
1,15,0.4718,0.22597,0.13072,0.09525,0.0,1.94663,0.5593,13,0.0,0.24888,0.0,0.75112,0.47011,0.0,0.63071,0.0,0.19551,0.33192,0.36919,11437.70081,97280.0,48331.41992,48.64,0.84604,0.0,1.0,0.92,0.1,0.6,0.95,0.25,0.0,1.0,1.0,1.0,0.09938,194560,48423,0,146137,91465,0,48423,30541,0,0,17882,91465,760
1,16,0.4836,0.24996,0.15716,0.0928,0.0,1.99424,0.5593,13,0.0,0.24954,0.0,0.75046,0.46368,0.0,0.59366,0.0,0.21868,0.33236,0.40611,11665.98413,97280.0,48427.0542,48.64,0.84321,0.0,1.0,0.92,0.1,0.6,0.95,0.25,0.0,1.0,1.0,1.0,0.0993,194560,48551,0,146009,90213,0,48551,28823,0,0,19728,90213,760
1,17,0.5121,0.2708,0.17533,0.09547,0.0,1.91033,0.5593,13,0.0,0.24931,0.0,0.75069,0.47678,0.0,0.5767,0.0,0.22134,0.33224,0.42309,11579.27454,97280.0,48400.68115,48.64,0.84701,0.0,1.0,0.92,0.1,0.6,0.95,0.25,0.0,1.0,1.0,1.0,0.09921,194560,48505,0,146055,92763,0,48505,27973,0,0,20532,92763,760
1,18,0.4778,0.23268,0.14163,0.09105,0.0,1.93193,0.5593,13,0.0,0.24945,0.0,0.75055,0.46776,0.0,0.60942,0.0,0.20829,0.33236,0.39045,11143.84131,97280.0,48427.72607,48.64,0.84231,0.0,1.0,0.92,0.1,0.6,0.95,0.25,0.0,1.0,1.0,1.0,0.09911,194560,48533,0,146027,91008,0,48533,29577,0,0,18956,91008,760
1,19,0.5503,0.20654,0.12067,0.08587,0.0,1.87685,0.5593,13,0.0,0.24962,0.0,0.75038,0.50139,0.0,0.62557,0.0,0.18642,0.33267,0.37437,11263.40295,97280.0,48494.35449,48.64,0.85665,0.0,1.0,0.92,0.1,0.6,0.95,0.25,0.0,1.0,1.0,1.0,0.09901,194560,48567,0,145993,97551,0,48567,30382,0,0,18185,97551,760
