round,acc
1,0.1007
2,0.244
3,0.3258
4,0.324
5,0.3015
6,0.4436
7,0.3626
8,0.498
9,0.3973
10,0.4952
11,0.525
12,0.4734
13,0.5654
14,0.5521
15,0.5269
16,0.6256
17,0.5002
18,0.453
19,0.5793
20,0.5442
21,0.6223
22,0.5251
23,0.5976
24,0.6123
25,0.6265
26,0.6566
27,0.6211
28,0.6118
29,0.5518
30,0.618
31,0.5537
32,0.5947
33,0.6525
34,0.6652
35,0.6484
36,0.6572
37,0.6794
38,0.6807
39,0.6998
40,0.6407
41,0.6362
42,0.6278
43,0.6388
44,0.5934
45,0.6328
46,0.6512
47,0.6827
48,0.6173
49,0.6645
50,0.7238
51,0.7074
52,0.6782
53,0.6809
54,0.5949
55,0.6955
56,0.7064
57,0.7184
58,0.7291
59,0.701
60,0.6861
61,0.6624
62,0.7213
63,0.7281
64,0.7464
65,0.7095
66,0.675
67,0.7222
68,0.6217
69,0.7054
70,0.6911
71,0.7188
72,0.7439
73,0.7261
74,0.7156
75,0.6985
76,0.7285
77,0.7153
78,0.6667
79,0.7395
80,0.6917
81,0.7359
82,0.737
83,0.667
84,0.6985
85,0.7199
86,0.7385
87,0.715
88,0.7246
89,0.7344
90,0.6926
91,0.7335
92,0.7583
93,0.7082
94,0.7336
95,0.7603
96,0.776
97,0.7258
98,0.7338
99,0.7519
100,0.7712
101,0.7378
102,0.7688
103,0.7479
104,0.6952
105,0.7186
106,0.7302
107,0.7258
108,0.774
109,0.7443
110,0.7574
111,0.7411
112,0.72
113,0.7446
114,0.7774
115,0.7465
116,0.7583
117,0.7126
118,0.7186
119,0.6591
120,0.7268
121,0.7587
122,0.7896
123,0.7262
124,0.7694
125,0.7452
126,0.7851
127,0.7673
128,0.7801
129,0.7626
130,0.7087
131,0.7486
132,0.7539
133,0.7803
134,0.7158
135,0.7765
136,0.8013
137,0.7697
138,0.7535
139,0.8075
140,0.754
141,0.8025
142,0.783
143,0.7406
144,0.8101
145,0.7489
146,0.7273
147,0.7726
148,0.8041
149,0.807
150,0.8163
151,0.8023
152,0.8041
153,0.7756
154,0.7255
155,0.7703
156,0.7757
157,0.7518
158,0.7871
159,0.7562
160,0.7456
161,0.7067
162,0.7931
163,0.7935
164,0.7851
165,0.7935
166,0.7818
167,0.8034
168,0.7975
169,0.779
170,0.7958
171,0.7904
172,0.7873
173,0.764
174,0.7112
175,0.8051
176,0.8033
177,0.7783
178,0.7492
179,0.7783
180,0.749
181,0.7783
182,0.7952
183,0.7575
184,0.781
185,0.7996
186,0.8058
187,0.8157
188,0.7686
189,0.7851
190,0.8093
191,0.7658
192,0.8169
193,0.8138
194,0.7687
195,0.7906
196,0.7852
197,0.7639
198,0.763
199,0.7917
200,0.7935
201,0.8096
202,0.8003
203,0.8103
204,0.7879
205,0.7816
206,0.8001
207,0.8102
208,0.814
209,0.8117
210,0.8021
211,0.8187
212,0.7651
213,0.8012
214,0.7933
215,0.7996
216,0.7922
217,0.7823
218,0.7761
219,0.7999
220,0.7966
221,0.8055
222,0.819
223,0.8253
224,0.8111
225,0.8071
226,0.8032
227,0.8093
228,0.7822
229,0.8115
230,0.8091
231,0.8039
232,0.7927
233,0.8241
234,0.8241
235,0.7988
236,0.8188
237,0.8013
238,0.8128
239,0.8102
240,0.8212
241,0.8117
242,0.8154
243,0.814
244,0.8117
245,0.8232
246,0.8198
247,0.8119
248,0.8173
249,0.8251
250,0.8224
251,0.8016
252,0.8128
253,0.8113
254,0.8093
255,0.8148
256,0.8158
257,0.8151
258,0.8259
259,0.8117
260,0.816
261,0.8192
262,0.8233
263,0.8152
264,0.8103
265,0.825
266,0.8247
267,0.8218
268,0.8254
269,0.8254
270,0.8309
271,0.8203
272,0.8308
273,0.8222
274,0.8243
275,0.8297
276,0.8309
277,0.8222
278,0.8242
279,0.825
280,0.8234
281,0.8266
282,0.8291
283,0.8286
284,0.8294
285,0.8247
286,0.8276
287,0.8299
288,0.8275
289,0.831
290,0.83
291,0.8292
292,0.8319
293,0.834
294,0.8319
295,0.8291
296,0.8315
297,0.8308
298,0.8294
299,0.8303
300,0.8303
