round,acc
1,0.1007
2,0.244
3,0.3258
4,0.324
5,0.3015
6,0.4436
7,0.3626
8,0.498
9,0.3973
10,0.4952
11,0.525
12,0.4734
13,0.5654
14,0.5521
15,0.5269
16,0.6256
17,0.5002
18,0.453
19,0.5793
20,0.5442
21,0.6223
22,0.5251
23,0.5976
24,0.6123
25,0.6265
26,0.6566
27,0.6211
28,0.6118
29,0.5518
30,0.618
31,0.5537
32,0.5947
33,0.6525
34,0.6652
35,0.6484
36,0.6572
37,0.6794
38,0.6807
39,0.6998
40,0.6407
41,0.6362
42,0.6278
43,0.6388
44,0.5934
45,0.6328
46,0.6512
47,0.6827
48,0.6173
49,0.6645
50,0.7238
51,0.7074
52,0.6782
53,0.6809
54,0.5949
55,0.6955
56,0.7064
57,0.7184
58,0.7291
59,0.701
60,0.6861
61,0.6624
62,0.7213
63,0.7281
64,0.7464
65,0.7095
66,0.675
67,0.7222
68,0.6217
69,0.7054
70,0.6911
71,0.7188
72,0.7439
73,0.7261
74,0.7156
75,0.6985
76,0.7285
77,0.7153
78,0.6667
79,0.7395
80,0.6917
81,0.7359
82,0.737
83,0.667
84,0.6985
85,0.7199
86,0.7385
87,0.715
88,0.7246
89,0.7344
90,0.6926
91,0.7335
92,0.7589
93,0.7146
94,0.726
95,0.7601
96,0.7729
97,0.7355
98,0.7312
99,0.7556
100,0.7699
101,0.7345
102,0.7612
103,0.7471
104,0.7037
105,0.7227
106,0.7326
107,0.7158
108,0.7822
109,0.7416
110,0.7611
111,0.7391
112,0.7104
113,0.7396
114,0.7783
115,0.7388
116,0.7464
117,0.7201
118,0.7195
119,0.6628
120,0.7302
121,0.7606
122,0.7952
123,0.7142
124,0.7688
125,0.7452
126,0.7776
127,0.7751
128,0.7916
129,0.78
130,0.7003
131,0.7429
132,0.7667
133,0.7732
134,0.7143
135,0.7917
136,0.8046
137,0.7631
138,0.7568
139,0.8031
140,0.7608
141,0.8019
142,0.7944
143,0.742
144,0.8036
145,0.7577
146,0.7176
147,0.7775
148,0.8036
149,0.8062
150,0.8137
151,0.8047
152,0.8074
153,0.7805
154,0.7237
155,0.7758
156,0.7829
157,0.7511
158,0.7841
159,0.7572
160,0.7389
161,0.7224
162,0.7978
163,0.7891
164,0.7897
165,0.7946
166,0.7817
167,0.7963
168,0.8009
169,0.7864
170,0.7946
171,0.7928
172,0.7854
173,0.7707
174,0.7253
175,0.8102
176,0.798
177,0.7883
178,0.7614
179,0.7878
180,0.7556
181,0.7788
182,0.7919
183,0.7551
184,0.7847
185,0.8004
186,0.7996
187,0.8097
188,0.7693
189,0.7746
190,0.8149
191,0.7701
192,0.8147
193,0.8087
194,0.7646
195,0.7895
196,0.7892
197,0.7616
198,0.7665
199,0.7921
200,0.795
201,0.8041
202,0.7997
203,0.8061
204,0.7878
205,0.7828
206,0.8006
207,0.801
208,0.8141
209,0.8083
210,0.806
211,0.8218
212,0.7703
213,0.7995
214,0.7922
215,0.8
216,0.7911
217,0.7865
218,0.7862
219,0.7996
220,0.7987
221,0.7989
222,0.8189
223,0.8271
224,0.8144
225,0.8047
226,0.8026
227,0.8073
228,0.7801
229,0.8116
230,0.8089
231,0.8012
232,0.7927
233,0.8226
234,0.8264
235,0.8029
236,0.8211
237,0.7955
238,0.8112
239,0.8084
240,0.8226
241,0.8122
242,0.816
243,0.8158
244,0.8104
245,0.8195
246,0.8242
247,0.811
248,0.8194
249,0.8245
250,0.8224
251,0.8052
252,0.8142
253,0.8132
254,0.8096
255,0.814
256,0.8178
257,0.8184
258,0.8271
259,0.8132
260,0.8199
261,0.8219
262,0.8264
263,0.8141
264,0.8107
265,0.8292
266,0.8271
267,0.8246
268,0.8246
269,0.8225
270,0.8319
271,0.82
272,0.8325
273,0.822
274,0.8223
275,0.8297
276,0.8308
277,0.8252
278,0.8265
279,0.8249
280,0.8235
281,0.8277
282,0.8284
283,0.8293
284,0.829
285,0.8252
286,0.8266
287,0.8306
288,0.8289
289,0.8311
290,0.8286
291,0.8306
292,0.8312
293,0.8331
294,0.8315
295,0.8295
296,0.8318
297,0.8323
298,0.8318
299,0.8302
300,0.8292
