round,acc
1,0.1007
2,0.244
3,0.3258
4,0.324
5,0.3015
6,0.4436
7,0.3626
8,0.498
9,0.3973
10,0.4952
11,0.525
12,0.4734
13,0.5654
14,0.5521
15,0.5269
16,0.6256
17,0.5002
18,0.453
19,0.5793
20,0.5442
21,0.6223
22,0.5251
23,0.5976
24,0.6123
25,0.6265
26,0.6566
27,0.6211
28,0.6118
29,0.5518
30,0.618
31,0.5537
32,0.5947
33,0.6525
34,0.6652
35,0.6484
36,0.6572
37,0.6794
38,0.6807
39,0.6998
40,0.6407
41,0.6362
42,0.6278
43,0.6388
44,0.5934
45,0.6328
46,0.6512
47,0.6827
48,0.6173
49,0.6645
50,0.7238
51,0.7074
52,0.6782
53,0.6809
54,0.5949
55,0.6955
56,0.7064
57,0.7184
58,0.7291
59,0.701
60,0.6861
61,0.6624
62,0.7213
63,0.7281
64,0.7464
65,0.7095
66,0.675
67,0.7222
68,0.6217
69,0.7054
70,0.6911
71,0.7188
72,0.7439
73,0.7261
74,0.7156
75,0.6985
76,0.7285
77,0.7153
78,0.6667
79,0.7395
80,0.6917
81,0.7359
82,0.737
83,0.667
84,0.6985
85,0.7199
86,0.7385
87,0.715
88,0.7246
89,0.7344
90,0.6926
91,0.7335
92,0.7583
93,0.7082
94,0.7336
95,0.7605
96,0.7801
97,0.7186
98,0.7346
99,0.7601
100,0.77
101,0.7323
102,0.7671
103,0.7512
104,0.7062
105,0.7247
106,0.7338
107,0.7175
108,0.7773
109,0.7423
110,0.7611
111,0.738
112,0.7148
113,0.7434
114,0.7732
115,0.7319
116,0.7563
117,0.72
118,0.7153
119,0.6652
120,0.7212
121,0.7668
122,0.7914
123,0.739
124,0.7659
125,0.7518
126,0.7837
127,0.7726
128,0.7834
129,0.7696
130,0.7001
131,0.7621
132,0.7641
133,0.7768
134,0.7192
135,0.7772
136,0.8036
137,0.7686
138,0.7559
139,0.8084
140,0.7565
141,0.8018
142,0.7903
143,0.729
144,0.808
145,0.7583
146,0.7105
147,0.7713
148,0.8054
149,0.8074
150,0.8154
151,0.8006
152,0.806
153,0.7841
154,0.724
155,0.7734
156,0.7824
157,0.7461
158,0.7836
159,0.7582
160,0.7367
161,0.7282
162,0.7951
163,0.7866
164,0.7885
165,0.7923
166,0.7802
167,0.8009
168,0.7995
169,0.7813
170,0.7911
171,0.7893
172,0.7799
173,0.7723
174,0.7357
175,0.8069
176,0.802
177,0.7785
178,0.7537
179,0.7831
180,0.7555
181,0.7762
182,0.7939
183,0.7643
184,0.7752
185,0.7942
186,0.7973
187,0.8096
188,0.766
189,0.7802
190,0.8038
191,0.7669
192,0.8149
193,0.8126
194,0.7683
195,0.7947
196,0.7908
197,0.7599
198,0.7725
199,0.7973
200,0.7967
201,0.8083
202,0.7989
203,0.8071
204,0.7827
205,0.7759
206,0.8006
207,0.8052
208,0.8139
209,0.803
210,0.8077
211,0.8193
212,0.7664
213,0.803
214,0.792
215,0.7978
216,0.7871
217,0.7772
218,0.7796
219,0.7986
220,0.8022
221,0.8027
222,0.8178
223,0.8242
224,0.8088
225,0.8064
226,0.8022
227,0.8059
228,0.7727
229,0.8123
230,0.8099
231,0.8043
232,0.7919
233,0.8196
234,0.8228
235,0.8008
236,0.8179
237,0.7953
238,0.8139
239,0.8082
240,0.8197
241,0.8128
242,0.8166
243,0.8111
244,0.8134
245,0.8228
246,0.8211
247,0.8127
248,0.8195
249,0.8254
250,0.8277
251,0.8057
252,0.8131
253,0.8091
254,0.8092
255,0.8134
256,0.8157
257,0.8174
258,0.8249
259,0.8134
260,0.8185
261,0.8224
262,0.8251
263,0.8134
264,0.8106
265,0.8293
266,0.8255
267,0.8245
268,0.825
269,0.8247
270,0.8284
271,0.8214
272,0.8311
273,0.8226
274,0.8222
275,0.8297
276,0.8312
277,0.825
278,0.825
279,0.8244
280,0.8226
281,0.8282
282,0.8299
283,0.8306
284,0.8284
285,0.8255
286,0.8286
287,0.8307
288,0.8297
289,0.8303
290,0.8281
291,0.828
292,0.83
293,0.8321
294,0.8322
295,0.8289
296,0.8316
297,0.8319
298,0.8316
299,0.8311
300,0.8323
