round,client,epoch,cls,query_count,query_correct,own_distance_sum,margin_sum
31,17,1,2,23,20,4.829766750335693,1.4227981567382812
31,17,1,4,26,22,4.806827545166016,1.5118954181671143
31,17,1,7,21,17,2.8651089668273926,1.8469620943069458
31,17,1,8,22,22,2.99099063873291,4.907771587371826
31,17,1,9,29,29,2.551083564758301,6.947774887084961
31,17,2,2,23,23,4.89327335357666,3.249213695526123
31,17,2,4,26,23,5.146462440490723,2.6843738555908203
31,17,2,7,21,20,2.392261505126953,3.297435760498047
31,17,2,8,22,22,2.828768253326416,5.401775360107422
31,17,2,9,29,29,2.6248717308044434,7.492818355560303
31,17,3,2,23,23,4.624700546264648,3.4301156997680664
31,17,3,4,26,25,4.916850566864014,4.174996852874756
31,17,3,7,21,21,2.4609317779541016,4.195741653442383
31,17,3,8,22,22,2.7413620948791504,5.613330841064453
31,17,3,9,29,29,2.996674060821533,7.951490879058838
31,17,4,2,23,23,4.203030586242676,3.758545160293579
31,17,4,4,26,25,4.6753997802734375,3.7895779609680176
31,17,4,7,21,21,2.670361280441284,3.9902353286743164
31,17,4,8,22,22,3.376969814300537,5.0060577392578125
31,17,4,9,29,29,2.7866063117980957,8.229046821594238
31,17,5,2,23,23,4.412716865539551,4.19707727432251
31,17,5,4,26,26,4.831055164337158,3.9296352863311768
31,17,5,7,21,21,2.3019402027130127,4.293145656585693
31,17,5,8,22,22,2.7208104133605957,5.78427267074585
31,17,5,9,29,29,2.704349994659424,7.98655891418457
31,5,1,0,3,1,1.1850624084472656,-0.04558205604553223
31,5,1,1,22,18,3.1336965560913086,1.3471300601959229
31,5,1,3,28,23,5.397131443023682,1.7957626581192017
31,5,1,4,28,23,5.811694145202637,1.899343729019165
31,5,1,5,20,15,3.5085439682006836,0.6179078221321106
31,5,1,7,8,8,1.1643606424331665,0.7719396948814392
31,5,1,9,13,12,1.150894045829773,0.8450323343276978
31,5,2,0,3,3,0.9236591458320618,0.31959205865859985
31,5,2,1,22,22,2.4913594722747803,5.138178825378418
31,5,2,3,28,26,5.596242904663086,4.236355781555176
