round,acc
1,0.1
2,0.2229
3,0.3347
4,0.3128
5,0.2616
6,0.4375
7,0.3511
8,0.4971
9,0.3836
10,0.479
11,0.5396
12,0.4563
13,0.5495
14,0.531
15,0.5453
16,0.611
17,0.4937
18,0.4727
19,0.5921
20,0.5541
21,0.6159
22,0.531
23,0.5876
24,0.617
25,0.6458
26,0.6862
27,0.6383
28,0.6379
29,0.5659
30,0.614
31,0.5575
32,0.6181
33,0.6278
34,0.6635
35,0.6197
36,0.671
37,0.6821
38,0.6806
39,0.7022
40,0.6018
41,0.6457
42,0.5722
43,0.6249
44,0.5618
45,0.6159
46,0.6324
47,0.6995
48,0.6299
49,0.6727
50,0.7335
51,0.7221
52,0.6994
53,0.6615
54,0.603
55,0.689
56,0.7062
57,0.7188
58,0.7287
59,0.7126
60,0.6769
61,0.6751
62,0.7204
63,0.7139
64,0.7388
65,0.7055
66,0.711
67,0.7516
68,0.6856
69,0.749
70,0.7468
71,0.7571
72,0.78
73,0.7826
74,0.7773
75,0.7718
76,0.7886
77,0.7431
78,0.7594
79,0.7702
80,0.7763
81,0.7811
82,0.7826
83,0.7414
84,0.7702
85,0.7909
86,0.7835
87,0.7796
88,0.7935
89,0.7821
90,0.7952
91,0.7908
92,0.8009
93,0.7852
94,0.7825
95,0.7962
96,0.7953
97,0.7841
98,0.8031
99,0.8078
100,0.8089
101,0.8171
102,0.7976
103,0.8024
104,0.8109
105,0.7992
106,0.8109
107,0.8089
108,0.8085
109,0.7897
110,0.8121
111,0.7973
112,0.8099
113,0.7974
114,0.8061
115,0.8161
116,0.8139
117,0.8082
118,0.8094
119,0.7873
120,0.8157
121,0.8199
122,0.8204
123,0.7927
124,0.8178
125,0.8204
126,0.8322
127,0.8257
128,0.8193
129,0.8191
130,0.8135
131,0.8277
132,0.8273
133,0.8216
134,0.8162
135,0.8265
136,0.8307
137,0.8095
138,0.8213
139,0.8348
140,0.8239
141,0.831
142,0.8421
143,0.8199
144,0.8322
145,0.8103
146,0.809
147,0.8328
148,0.8314
149,0.8406
150,0.8386
151,0.8303
152,0.847
153,0.8311
154,0.814
155,0.8314
156,0.8273
157,0.8139
158,0.8422
159,0.8251
160,0.8367
161,0.8132
162,0.8385
163,0.8291
164,0.8392
165,0.8459
166,0.8285
167,0.8448
168,0.8419
169,0.8429
170,0.848
171,0.8383
172,0.8429
173,0.8333
174,0.8436
175,0.8411
176,0.8465
177,0.8404
178,0.8438
179,0.8345
180,0.8352
181,0.8313
182,0.8418
183,0.8323
184,0.8448
185,0.8491
186,0.8399
187,0.8507
188,0.8224
189,0.8384
190,0.8395
191,0.8195
192,0.8425
193,0.8489
194,0.8308
195,0.8498
196,0.8385
197,0.8309
198,0.8372
199,0.8437
200,0.847
201,0.8484
202,0.8463
203,0.8429
204,0.8342
205,0.8449
206,0.8464
207,0.8398
208,0.8509
209,0.8492
210,0.8475
211,0.8462
212,0.8248
213,0.8368
214,0.846
215,0.8486
216,0.8463
217,0.8453
218,0.8414
219,0.8411
220,0.8474
221,0.8493
222,0.8466
223,0.8491
224,0.8503
225,0.8508
226,0.8412
227,0.8497
228,0.8341
229,0.8435
230,0.8524
231,0.8467
232,0.8463
233,0.8516
234,0.8529
235,0.8445
236,0.852
237,0.8475
238,0.8407
239,0.8456
240,0.8468
241,0.8473
242,0.8439
243,0.8478
244,0.8519
245,0.852
246,0.8532
247,0.8451
248,0.8521
249,0.8472
250,0.8477
251,0.846
252,0.8469
253,0.8505
254,0.8519
255,0.8487
256,0.8507
257,0.8436
258,0.849
259,0.847
260,0.8451
261,0.8438
262,0.8454
263,0.8516
264,0.85
265,0.8521
266,0.8477
267,0.8487
268,0.8509
269,0.8507
270,0.8508
271,0.8483
272,0.8521
273,0.852
274,0.8516
275,0.8515
276,0.8517
277,0.8536
278,0.8467
279,0.8516
280,0.8514
281,0.8509
282,0.8519
283,0.8524
284,0.8515
285,0.8498
286,0.8511
287,0.8539
288,0.8518
289,0.8536
290,0.8524
291,0.8522
292,0.8542
293,0.8556
294,0.856
295,0.8536
296,0.8547
297,0.8554
298,0.853
299,0.8537
300,0.8545
