round,client,epoch,cls,support_n,query_n,votes,trust,radius,margin_floor,distance_scale,margin_scale
31,17,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,1,2,24.0,23.0,22.0,0.7218462228775024,0.2906171381473541,-0.0029724708292633295,0.06483881920576096,0.06874646991491318
31,17,1,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,1,4,26.0,26.0,26.0,0.6646841764450073,0.23959380388259888,-0.012857764959335327,0.05000000074505806,0.06293872743844986
31,17,1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,1,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,1,7,21.0,21.0,22.0,0.5655964612960815,0.2085024118423462,-0.007717132568359375,0.09335984289646149,0.07923571020364761
31,17,1,8,22.0,22.0,22.0,0.8513404726982117,0.19433782994747162,0.07562614977359772,0.05073095113039017,0.10378362238407135
31,17,1,9,30.0,29.0,29.0,0.8830264210700989,0.13915587961673737,0.14076487720012665,0.05000000074505806,0.07414630800485611
31,17,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,2,2,24.0,23.0,24.0,0.7975777983665466,0.3099991977214813,0.06233924627304077,0.06528699398040771,0.07017503678798676
31,17,2,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,2,4,26.0,26.0,23.0,0.8568788766860962,0.2756730914115906,0.006189703941345215,0.05664641782641411,0.07626333832740784
31,17,2,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,2,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,2,7,21.0,21.0,20.0,0.8388698697090149,0.16652172803878784,0.0721084475517273,0.08556866645812988,0.07965944707393646
31,17,2,8,22.0,22.0,25.0,0.7004380822181702,0.17668578028678894,0.16138586401939392,0.05000000074505806,0.07488960772752762
31,17,2,9,30.0,29.0,29.0,0.8830264210700989,0.12001723051071167,0.16995303332805634,0.05000000074505806,0.088199682533741
31,17,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,3,2,24.0,23.0,23.0,0.8568788766860962,0.26303520798683167,0.06556008756160736,0.052666712552309036,0.07039517909288406
31,17,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,3,4,26.0,26.0,25.0,0.8668035268783569,0.24630486965179443,0.05552583932876587,0.05677574500441551,0.07525049149990082
31,17,3,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,3,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,3,7,21.0,21.0,22.0,0.7820151448249817,0.15345650911331177,0.1144760251045227,0.08268363028764725,0.07647323608398438
31,17,3,8,22.0,22.0,22.0,0.8513404726982117,0.17172156274318695,0.18824271857738495,0.05000000074505806,0.05351712927222252
31,17,3,9,30.0,29.0,29.0,0.8830264210700989,0.13413138687610626,0.19692809879779816,0.05000000074505806,0.09475014358758926
31,17,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,4,2,24.0,23.0,24.0,0.7975777983665466,0.2528560161590576,0.0664437860250473,0.05495309457182884,0.0756131187081337
31,17,4,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,4,4,26.0,26.0,25.0,0.8668035268783569,0.2427665889263153,0.07633262872695923,0.0513077974319458,0.05941551923751831
31,17,4,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,4,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,4,7,21.0,21.0,21.0,0.7733018398284912,0.17604321241378784,0.0937160849571228,0.09222687035799026,0.08659695833921432
31,17,4,8,22.0,22.0,22.0,0.8513404726982117,0.19821953773498535,0.17992638051509857,0.05000000074505806,0.06914060562849045
31,17,4,9,30.0,29.0,29.0,0.8830264210700989,0.13982874155044556,0.18115413188934326,0.05000000074505806,0.08177878707647324
31,17,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,5,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,5,2,24.0,23.0,23.0,0.8568788766860962,0.269967257976532,0.07605819404125214,0.06432384997606277,0.0748308002948761
31,17,5,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,5,4,26.0,26.0,25.0,0.8668035268783569,0.25718724727630615,0.05661842226982117,0.0600169375538826,0.07219284772872925
31,17,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,5,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,5,7,21.0,21.0,21.0,0.8453561663627625,0.18622225522994995,0.11823475360870361,0.09430389106273651,0.06951097398996353
31,17,5,8,22.0,22.0,23.0,0.7900841236114502,0.15971112251281738,0.17455706000328064,0.05000000074505806,0.05000000074505806
31,17,5,9,30.0,29.0,29.0,0.8830264210700989,0.12515777349472046,0.17385192215442657,0.05000000074505806,0.07585251331329346
31,5,1,0,3.0,3.0,3.0,0.046117737889289856,0.46608880162239075,-0.08747854083776474,0.07058096677064896,0.07290366291999817
31,5,1,1,23.0,22.0,20.0,0.6989618539810181,0.20678383111953735,-0.006263028830289841,0.05000000074505806,0.06039721146225929
31,5,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,5,1,3,28.0,28.0,28.0,0.6440821290016174,0.27598434686660767,-0.011091821826994419,0.0643976479768753,0.05854865536093712
31,5,1,4,28.0,28.0,25.0,0.7503347992897034,0.3153938353061676,-0.016886800527572632,0.081358402967453,0.07121362537145615
31,5,1,5,21.0,20.0,20.0,0.5312950015068054,0.2816373407840729,-0.02601168118417263,0.06229737401008606,0.051168493926525116
31,5,1,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,5,1,7,8.0,8.0,11.0,0.4343497157096863,0.20900721848011017,0.06178794428706169,0.06029900163412094,0.05000000074505806
31,5,1,8,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
