round,acc
1,0.1
2,0.2229
3,0.3347
4,0.3128
5,0.2616
6,0.4375
7,0.3511
8,0.4971
9,0.3836
10,0.479
11,0.5396
12,0.4563
13,0.5495
14,0.531
15,0.5453
16,0.611
17,0.4937
18,0.4727
19,0.5921
20,0.5541
21,0.6159
22,0.531
23,0.5876
24,0.617
25,0.6458
26,0.6862
27,0.6383
28,0.6379
29,0.5659
30,0.614
31,0.5629
32,0.6079
33,0.6223
34,0.6548
35,0.6448
36,0.6717
37,0.6867
38,0.6846
39,0.7002
40,0.6152
41,0.6451
42,0.5804
43,0.6174
44,0.5567
45,0.6104
46,0.6097
47,0.6811
48,0.6228
49,0.6631
50,0.7173
51,0.7324
52,0.7236
53,0.663
54,0.6054
55,0.6976
56,0.7038
57,0.7127
58,0.7229
59,0.7276
60,0.6838
61,0.6652
62,0.7312
63,0.7255
64,0.752
65,0.7101
66,0.7098
67,0.7392
68,0.6904
69,0.7381
70,0.7604
71,0.7586
72,0.7779
73,0.7876
74,0.7788
75,0.775
76,0.786
77,0.7646
78,0.7575
79,0.7675
80,0.7827
81,0.7915
82,0.7813
83,0.7661
84,0.7755
85,0.7909
86,0.7796
87,0.7921
88,0.8022
89,0.7933
90,0.7981
91,0.7963
92,0.8045
93,0.7884
94,0.7753
95,0.7944
96,0.799
97,0.7925
98,0.8021
99,0.7968
100,0.8106
101,0.8098
102,0.805
103,0.8089
104,0.8121
105,0.8045
106,0.8103
107,0.8076
108,0.8175
109,0.8038
110,0.8092
111,0.804
112,0.8158
113,0.8119
114,0.8164
115,0.8152
116,0.823
117,0.8125
118,0.8148
119,0.8028
120,0.8201
121,0.8316
122,0.8197
123,0.8132
124,0.8174
125,0.8227
126,0.8305
127,0.8322
128,0.8251
129,0.8253
130,0.8158
131,0.8326
132,0.8349
133,0.8316
134,0.8206
135,0.825
136,0.8364
137,0.819
138,0.8347
139,0.8414
140,0.819
141,0.8298
142,0.8407
143,0.8258
144,0.839
145,0.8165
146,0.8255
147,0.8393
148,0.8353
149,0.8451
150,0.8447
151,0.8344
152,0.8456
153,0.84
154,0.8245
155,0.8388
156,0.8324
157,0.8273
158,0.8396
159,0.8282
160,0.8473
161,0.8312
162,0.8441
163,0.8402
164,0.8471
165,0.8508
166,0.8335
167,0.8422
168,0.8464
169,0.8521
170,0.8494
171,0.8416
172,0.8433
173,0.8429
174,0.8483
175,0.8517
176,0.8524
177,0.842
178,0.8464
179,0.8383
180,0.8436
181,0.8385
182,0.8451
183,0.8283
184,0.8477
185,0.8519
186,0.8445
187,0.8564
188,0.8338
189,0.8485
190,0.8428
191,0.8417
192,0.8457
193,0.851
194,0.8431
195,0.8529
196,0.8382
197,0.8313
198,0.8462
199,0.854
200,0.8505
201,0.8557
202,0.8419
203,0.8513
204,0.8461
205,0.8473
206,0.8555
207,0.8488
208,0.8565
209,0.8504
210,0.8504
211,0.8494
212,0.8326
213,0.845
214,0.8466
215,0.8521
216,0.8542
217,0.8545
218,0.8511
219,0.8526
220,0.8509
221,0.8491
222,0.8523
223,0.8554
224,0.8539
225,0.8508
226,0.8484
227,0.8535
228,0.844
229,0.8505
230,0.8559
231,0.8487
232,0.8522
233,0.8555
234,0.8538
235,0.8477
236,0.8562
237,0.8468
238,0.8495
239,0.8486
240,0.8512
241,0.8526
242,0.8529
243,0.8521
244,0.8564
245,0.8547
246,0.8566
247,0.8538
248,0.8542
249,0.8542
250,0.8528
251,0.8522
252,0.8514
253,0.8539
254,0.8559
255,0.8546
256,0.8562
257,0.8518
258,0.8542
259,0.8486
260,0.8488
261,0.8482
262,0.8531
263,0.8558
264,0.8539
265,0.8545
266,0.8538
267,0.8552
268,0.8561
269,0.8537
270,0.8562
271,0.8557
272,0.8586
273,0.8567
274,0.8544
275,0.8553
276,0.8552
277,0.8576
278,0.8536
279,0.8554
280,0.8542
281,0.8557
282,0.857
283,0.856
284,0.8577
285,0.8541
286,0.8556
287,0.8575
288,0.8572
289,0.8568
290,0.8556
291,0.8582
292,0.8566
293,0.8588
294,0.8584
295,0.8559
296,0.856
297,0.857
298,0.8578
299,0.8598
300,0.8578
