round,acc
1,0.1
2,0.2229
3,0.3347
4,0.3128
5,0.2616
6,0.4375
7,0.3511
8,0.4971
9,0.3836
10,0.479
11,0.5396
12,0.4563
13,0.5495
14,0.531
15,0.5453
16,0.611
17,0.4937
18,0.4727
19,0.5921
20,0.5541
21,0.6159
22,0.531
23,0.5876
24,0.617
25,0.6458
26,0.6862
27,0.6383
28,0.6379
29,0.5659
30,0.614
31,0.5629
32,0.6079
33,0.6223
34,0.6548
35,0.6448
36,0.6717
37,0.6867
38,0.6846
39,0.7002
40,0.6152
41,0.6451
42,0.5804
43,0.6174
44,0.5567
45,0.6104
46,0.6097
47,0.6811
48,0.6228
49,0.6631
50,0.7173
51,0.7324
52,0.7236
53,0.663
54,0.6054
55,0.6976
56,0.7038
57,0.7127
58,0.7229
59,0.7276
60,0.6838
61,0.6655
62,0.7262
63,0.7253
64,0.7552
65,0.7139
66,0.696
67,0.7451
68,0.6816
69,0.7321
70,0.7549
71,0.7661
72,0.7785
73,0.7753
74,0.7758
75,0.7741
76,0.7819
77,0.7453
78,0.7596
79,0.7724
80,0.7702
81,0.7907
82,0.7805
83,0.7622
84,0.7749
85,0.7886
86,0.7798
87,0.7853
88,0.7966
89,0.7915
90,0.7901
91,0.7953
92,0.8029
93,0.7951
94,0.7838
95,0.7987
96,0.8008
97,0.7949
98,0.8052
99,0.8026
100,0.8116
101,0.8091
102,0.8077
103,0.8103
104,0.8106
105,0.7986
106,0.8112
107,0.8012
108,0.8045
109,0.7932
110,0.8125
111,0.8072
112,0.8089
113,0.802
114,0.8056
115,0.8101
116,0.8184
117,0.8124
118,0.8115
119,0.7984
120,0.8214
121,0.8265
122,0.8212
123,0.8051
124,0.8215
125,0.8205
126,0.8297
127,0.832
128,0.8169
129,0.813
130,0.8124
131,0.8273
132,0.8309
133,0.8259
134,0.8127
135,0.8222
136,0.8372
137,0.8082
138,0.8219
139,0.8376
140,0.8236
141,0.8314
142,0.8419
143,0.8189
144,0.8342
145,0.8132
146,0.8073
147,0.8362
148,0.8316
149,0.842
150,0.842
151,0.8338
152,0.8465
153,0.8399
154,0.8171
155,0.835
156,0.831
157,0.8185
158,0.8437
159,0.8189
160,0.8401
161,0.8182
162,0.8416
163,0.8338
164,0.8433
165,0.8449
166,0.8346
167,0.8489
168,0.8423
169,0.8407
170,0.8404
171,0.8343
172,0.8426
173,0.8432
174,0.8438
175,0.8366
176,0.8517
177,0.8343
178,0.8393
179,0.8341
180,0.8389
181,0.8356
182,0.8411
183,0.8358
184,0.8436
185,0.8492
186,0.8395
187,0.8499
188,0.8275
189,0.8461
190,0.8388
191,0.8292
192,0.8498
193,0.8488
194,0.8343
195,0.8512
196,0.8361
197,0.8307
198,0.8433
199,0.8507
200,0.8472
201,0.85
202,0.8484
203,0.8495
204,0.8409
205,0.8455
206,0.8491
207,0.845
208,0.8549
209,0.8526
210,0.8486
211,0.8497
212,0.8307
213,0.842
214,0.8472
215,0.8487
216,0.8505
217,0.8494
218,0.8435
219,0.8494
220,0.8496
221,0.8514
222,0.8479
223,0.8515
224,0.8515
225,0.8534
226,0.8449
227,0.8533
228,0.83
229,0.8519
230,0.8539
231,0.852
232,0.8523
233,0.8548
234,0.8547
235,0.846
236,0.8556
237,0.8473
238,0.8493
239,0.8504
240,0.8515
241,0.8498
242,0.8498
243,0.8528
244,0.8517
245,0.8547
246,0.8546
247,0.8523
248,0.8551
249,0.8508
250,0.8538
251,0.8494
252,0.851
253,0.8569
254,0.8518
255,0.8524
256,0.8562
257,0.8497
258,0.8519
259,0.8503
260,0.8472
261,0.8452
262,0.8501
263,0.8531
264,0.854
265,0.8522
266,0.851
267,0.8538
268,0.8572
269,0.8559
270,0.8536
271,0.8536
272,0.8558
273,0.8555
274,0.8535
275,0.8534
276,0.8546
277,0.8564
278,0.8523
279,0.8563
280,0.8531
281,0.8552
282,0.8544
283,0.8563
284,0.8553
285,0.8537
286,0.856
287,0.8547
288,0.8566
289,0.8558
290,0.8551
291,0.8562
292,0.8564
293,0.8577
294,0.8576
295,0.8537
296,0.858
297,0.8587
298,0.858
299,0.8574
300,0.8572
