round,acc
1,0.1
2,0.2229
3,0.3347
4,0.3128
5,0.2616
6,0.4375
7,0.3511
8,0.4971
9,0.3836
10,0.479
11,0.5396
12,0.4563
13,0.5495
14,0.531
15,0.5453
16,0.611
17,0.4937
18,0.4727
19,0.5921
20,0.5541
21,0.6159
22,0.531
23,0.5876
24,0.617
25,0.6458
26,0.6862
27,0.6383
28,0.6379
29,0.5659
30,0.614
31,0.5586
32,0.6163
33,0.6264
34,0.6411
35,0.638
36,0.6732
37,0.6875
38,0.6707
39,0.7055
40,0.6126
41,0.6404
42,0.5811
43,0.6252
44,0.5554
45,0.6187
46,0.6203
47,0.6885
48,0.6011
49,0.6702
50,0.7246
51,0.7163
52,0.6844
53,0.6626
54,0.6134
55,0.6916
56,0.7045
57,0.6921
58,0.7285
59,0.6962
60,0.6841
61,0.6636
62,0.7412
63,0.7429
64,0.7493
65,0.6997
66,0.6268
67,0.7026
68,0.6284
69,0.7001
70,0.7089
71,0.7243
72,0.7518
73,0.7158
74,0.7241
75,0.7066
76,0.7417
77,0.7126
78,0.6819
79,0.7406
80,0.6844
81,0.7319
82,0.7552
83,0.6213
84,0.6867
85,0.7298
86,0.7526
87,0.7164
88,0.7518
89,0.734
90,0.6973
91,0.7337
92,0.7589
93,0.7318
94,0.7258
95,0.7757
96,0.7847
97,0.723
98,0.7632
99,0.7588
100,0.7699
101,0.7345
102,0.737
103,0.7567
104,0.7208
105,0.7353
106,0.7363
107,0.7371
108,0.7848
109,0.7544
110,0.7696
111,0.7357
112,0.719
113,0.7195
114,0.7789
115,0.7385
116,0.7546
117,0.7355
118,0.7289
119,0.667
120,0.7043
121,0.7607
122,0.7952
123,0.7235
124,0.7703
125,0.73
126,0.7749
127,0.7757
128,0.7812
129,0.7769
130,0.6946
131,0.7459
132,0.7496
133,0.7705
134,0.7033
135,0.8079
136,0.8144
137,0.7668
138,0.7568
139,0.8146
140,0.7125
141,0.825
142,0.8003
143,0.7498
144,0.8106
145,0.7437
146,0.6974
147,0.7869
148,0.8143
149,0.8316
150,0.825
151,0.8088
152,0.8206
153,0.7532
154,0.7263
155,0.7835
156,0.7904
157,0.7737
158,0.7936
159,0.7524
160,0.7409
161,0.6905
162,0.8073
163,0.7782
164,0.7911
165,0.791
166,0.7961
167,0.8094
168,0.7985
169,0.7644
170,0.7945
171,0.809
172,0.7969
173,0.7669
174,0.707
175,0.7898
176,0.8012
177,0.7809
178,0.7642
179,0.7871
180,0.7625
181,0.7893
182,0.7931
183,0.7563
184,0.7912
185,0.8013
186,0.8076
187,0.8261
188,0.7774
189,0.7768
190,0.827
191,0.75
192,0.8368
193,0.8294
194,0.7888
195,0.7972
196,0.7957
197,0.7861
198,0.7666
199,0.7997
200,0.7856
201,0.8282
202,0.7956
203,0.8203
204,0.8152
205,0.7607
206,0.8069
207,0.8077
208,0.8314
209,0.827
210,0.8106
211,0.8332
212,0.7842
213,0.8014
214,0.8021
215,0.8121
216,0.7867
217,0.7982
218,0.7814
219,0.8131
220,0.7964
221,0.8283
222,0.8352
223,0.8379
224,0.8305
225,0.8191
226,0.8025
227,0.8256
228,0.7808
229,0.818
230,0.835
231,0.8058
232,0.8026
233,0.8302
234,0.8456
235,0.826
236,0.8434
237,0.8249
238,0.831
239,0.8261
240,0.8385
241,0.8319
242,0.8401
243,0.8284
244,0.83
245,0.8318
246,0.8331
247,0.8288
248,0.8431
249,0.8429
250,0.8447
251,0.8232
252,0.8416
253,0.8253
254,0.8313
255,0.8306
256,0.8381
257,0.838
258,0.8431
259,0.8346
260,0.8397
261,0.8348
262,0.8464
263,0.8412
264,0.8375
265,0.8413
266,0.8402
267,0.8472
268,0.8409
269,0.8461
270,0.8487
271,0.8366
272,0.8515
273,0.8427
274,0.846
275,0.8484
276,0.8515
277,0.847
278,0.8473
279,0.8431
280,0.8484
281,0.8476
282,0.846
283,0.8476
284,0.848
285,0.8419
286,0.8491
287,0.848
288,0.8493
289,0.8499
290,0.8503
291,0.8503
292,0.8514
293,0.8511
294,0.8517
295,0.8511
296,0.8525
297,0.8531
298,0.8526
299,0.8509
300,0.8507
