round,phase,client,pred_class,s_lo,s_hi,geometry_group,visits,correct,confidence_sum,a_visits,a_correct,a_weight,a_wrong_weight
91,2,1,0,0.0,0.6,support,14.0,0.0,6.093895822763443,0.0,0.0,0.0,0.0
91,2,1,0,0.6,0.9,support,27.0,0.0,19.99038076400757,0.0,0.0,0.0,0.0
91,2,1,0,0.9,0.95,support,5.0,0.0,4.5890315771102905,0.0,0.0,0.0,0.0
91,2,1,0,0.95,0.97,support,1.0,0.0,0.9582779407501221,1.0,0.0,0.9995975494384766,0.9995975494384766
91,2,1,0,0.97,0.99,support,3.0,0.0,2.9509305357933044,3.0,0.0,2.999489665031433,2.999489665031433
91,2,1,0,0.99,0.995,support,1.0,0.0,0.993649423122406,1.0,0.0,0.9997629523277283,0.9997629523277283
91,2,1,0,0.995,1.0,support,4.0,0.0,3.9951255321502686,4.0,0.0,3.9995391964912415,3.9995391964912415
91,2,1,1,0.0,0.6,support,83.0,0.0,39.80134201049805,0.0,0.0,0.0,0.0
91,2,1,1,0.6,0.9,support,69.0,4.0,53.65649348497391,0.0,0.0,0.0,0.0
91,2,1,1,0.9,0.95,support,15.0,1.0,13.992689847946167,0.0,0.0,0.0,0.0
91,2,1,1,0.95,0.97,support,11.0,1.0,10.56169217824936,11.0,1.0,10.996039032936096,9.99632215499878
91,2,1,1,0.97,0.99,support,17.0,6.0,16.712117552757263,17.0,6.0,16.99486756324768,10.996644794940948
91,2,1,1,0.99,0.995,support,10.0,2.0,9.927380919456482,10.0,2.0,9.997338593006134,7.997619688510895
91,2,1,1,0.995,1.0,support,202.0,143.0,201.90879088640213,202.0,143.0,201.9784607887268,58.991712272167206
91,2,1,2,0.0,0.6,support,474.0,175.0,233.2124931961298,0.0,0.0,0.0,0.0
91,2,1,2,0.6,0.9,support,916.0,511.0,705.6792660951614,0.0,0.0,0.0,0.0
91,2,1,2,0.9,0.95,support,375.0,239.0,347.93271666765213,0.0,0.0,0.0,0.0
91,2,1,2,0.95,0.97,support,284.0,215.0,272.8077387213707,284.0,215.0,283.8650559782982,68.96684831380844
91,2,1,2,0.97,0.99,support,494.0,396.0,484.74042266607285,494.0,396.0,493.8027616739273,97.96042656898499
91,2,1,2,0.99,0.995,support,317.0,273.0,314.6657150387764,317.0,273.0,316.8934181332588,43.98448848724365
91,2,1,2,0.995,1.0,support,2260.0,2149.0,2258.106055021286,2260.0,2149.0,2259.5932710766792,110.97231870889664
91,2,1,3,0.0,0.6,support,525.0,203.0,259.6872618198395,0.0,0.0,0.0,0.0
91,2,1,3,0.6,0.9,support,1155.0,640.0,884.8323684334755,0.0,0.0,0.0,0.0
91,2,1,3,0.9,0.95,support,399.0,242.0,369.839955329895,0.0,0.0,0.0,0.0
91,2,1,3,0.95,0.97,support,265.0,166.0,254.68749088048935,265.0,166.0,264.85419577360153,98.94715893268585
91,2,1,3,0.97,0.99,support,500.0,345.0,490.961045563221,500.0,345.0,499.7648656964302,154.92787647247314
91,2,1,3,0.99,0.995,support,232.0,160.0,230.28241795301437,232.0,160.0,231.90179604291916,71.96914333105087
91,2,1,3,0.995,1.0,support,1105.0,977.0,1103.6245421767235,1105.0,977.0,1104.6670184135437,127.95983725786209
91,2,1,4,0.0,0.6,support,376.0,210.0,184.80102190375328,0.0,0.0,0.0,0.0
91,2,1,4,0.6,0.9,support,740.0,529.0,567.346598982811,0.0,0.0,0.0,0.0
91,2,1,4,0.9,0.95,support,290.0,235.0,269.1535943746567,0.0,0.0,0.0,0.0
91,2,1,4,0.95,0.97,support,183.0,148.0,175.84562689065933,182.0,147.0,181.90511524677277,34.98228853940964
91,2,1,4,0.97,0.99,support,393.0,332.0,385.7659430503845,393.0,332.0,392.8253096342087,60.97421032190323
91,2,1,4,0.99,0.995,support,261.0,229.0,259.09915548563004,261.0,229.0,260.8999117612839,31.988310873508453
91,2,1,4,0.995,1.0,support,1274.0,1220.0,1272.539945602417,1274.0,1220.0,1273.6547676324844,53.98342418670654
91,2,1,5,0.0,0.6,support,467.0,176.0,234.3686420172453,0.0,0.0,0.0,0.0
91,2,1,5,0.6,0.9,support,984.0,474.0,760.0950642824173,0.0,0.0,0.0,0.0
91,2,1,5,0.9,0.95,support,351.0,215.0,325.2597316503525,0.0,0.0,0.0,0.0
91,2,1,5,0.95,0.97,support,230.0,152.0,220.92293614149094,230.0,152.0,229.87387144565582,77.95719486474991
91,2,1,5,0.97,0.99,support,437.0,311.0,428.8788848519325,437.0,311.0,436.7921190261841,125.93970340490341
