round,acc
1,0.1
2,0.2336
3,0.3538
4,0.3148
5,0.2767
6,0.4379
7,0.3741
8,0.4835
9,0.4048
10,0.4902
11,0.5213
12,0.4442
13,0.5576
14,0.502
15,0.5275
16,0.6178
17,0.4943
18,0.446
19,0.5811
20,0.5373
21,0.6002
22,0.5287
23,0.596
24,0.6143
25,0.6321
26,0.6765
27,0.6187
28,0.6069
29,0.5463
30,0.603
31,0.5652
32,0.6208
33,0.6323
34,0.6795
35,0.627
36,0.6624
37,0.6955
38,0.6963
39,0.6948
40,0.624
41,0.6475
42,0.5837
43,0.6282
44,0.5622
45,0.6265
46,0.6202
47,0.7004
48,0.6261
49,0.6735
50,0.7384
51,0.7377
52,0.6918
53,0.6804
54,0.6249
55,0.6951
56,0.7099
57,0.7244
58,0.7187
59,0.7125
60,0.6857
61,0.6798
62,0.7331
63,0.7253
64,0.7452
65,0.7071
66,0.6656
67,0.7186
68,0.6235
69,0.6973
70,0.7171
71,0.7171
72,0.7425
73,0.7128
74,0.7419
75,0.6864
76,0.7309
77,0.7122
78,0.7102
79,0.7335
80,0.6927
81,0.7484
82,0.7532
83,0.6457
84,0.6981
85,0.7117
86,0.741
87,0.7105
88,0.763
89,0.7304
90,0.7284
91,0.7262
92,0.7649
93,0.7623
94,0.7647
95,0.7788
96,0.7752
97,0.733
98,0.7667
99,0.774
100,0.7863
101,0.7444
102,0.7813
103,0.7626
104,0.747
105,0.751
106,0.7536
107,0.7574
108,0.7838
109,0.7511
110,0.8011
111,0.7569
112,0.7548
113,0.7548
114,0.7999
115,0.7627
116,0.78
117,0.7634
118,0.757
119,0.6842
120,0.7244
121,0.7672
122,0.7938
123,0.7223
124,0.7796
125,0.746
126,0.7948
127,0.7874
128,0.7827
129,0.7695
130,0.7351
131,0.7866
132,0.7685
133,0.7631
134,0.6962
135,0.7736
136,0.8128
137,0.758
138,0.7815
139,0.8142
140,0.7164
141,0.8177
142,0.7967
143,0.7402
144,0.8002
145,0.7631
146,0.6794
147,0.7907
148,0.8065
149,0.8384
150,0.8298
151,0.8116
152,0.8235
153,0.7524
154,0.7222
155,0.7695
156,0.7962
157,0.7649
158,0.7876
159,0.7485
160,0.74
161,0.6595
162,0.8182
163,0.7783
164,0.8035
165,0.7971
166,0.7885
167,0.7916
168,0.7937
169,0.7701
170,0.7838
171,0.8076
172,0.7769
173,0.7533
174,0.6947
175,0.7938
176,0.8007
177,0.778
178,0.7744
179,0.7903
180,0.7353
181,0.7742
182,0.7384
183,0.75
184,0.7952
185,0.7841
186,0.8196
187,0.8186
188,0.7583
189,0.779
190,0.7999
191,0.6808
192,0.8407
193,0.8306
194,0.7609
195,0.7999
196,0.8084
197,0.7657
198,0.7069
199,0.7852
200,0.7934
201,0.7991
202,0.7905
203,0.7943
204,0.7524
205,0.7466
206,0.8099
207,0.7927
208,0.8163
209,0.799
210,0.7694
211,0.83
212,0.7663
213,0.7811
214,0.7491
215,0.8044
216,0.7619
217,0.7621
218,0.6896
219,0.8085
220,0.741
221,0.8138
222,0.842
223,0.8443
224,0.812
225,0.8187
226,0.7812
227,0.7975
228,0.6607
229,0.7983
230,0.7794
231,0.7699
232,0.7287
233,0.7994
234,0.8256
235,0.8081
236,0.8025
237,0.7852
238,0.8163
239,0.7478
240,0.8349
241,0.8079
242,0.8082
243,0.8045
244,0.7485
245,0.8087
246,0.8382
247,0.82
248,0.8117
249,0.8203
250,0.8107
251,0.7665
252,0.8261
253,0.7797
254,0.7333
255,0.8077
256,0.8004
257,0.8155
258,0.8308
259,0.7976
260,0.8396
261,0.7827
262,0.8473
263,0.7326
264,0.7626
265,0.776
266,0.8191
267,0.8332
268,0.8195
269,0.8072
270,0.7882
271,0.8286
272,0.7819
273,0.7638
274,0.7677
275,0.7976
276,0.8184
277,0.7808
278,0.7621
279,0.7847
280,0.8366
281,0.7691
282,0.8134
283,0.8316
284,0.7774
285,0.8183
286,0.7813
287,0.8274
288,0.83
289,0.8162
290,0.8031
291,0.7307
292,0.8135
293,0.8033
294,0.829
295,0.8166
296,0.8124
297,0.7866
298,0.815
299,0.8074
300,0.7809
301,0.8012
302,0.7934
303,0.8281
304,0.7752
305,0.8204
306,0.7827
307,0.759
308,0.7997
309,0.8097
310,0.8134
311,0.8401
312,0.8407
313,0.8391
314,0.8192
315,0.8311
316,0.8005
317,0.7959
318,0.829
319,0.8304
320,0.8228
321,0.8487
322,0.8368
323,0.8306
324,0.8324
325,0.8408
326,0.8292
327,0.8293
328,0.8417
329,0.7721
330,0.8342
331,0.8368
332,0.8241
333,0.8332
334,0.8175
335,0.7826
336,0.8012
337,0.8175
338,0.8235
339,0.8547
340,0.8356
341,0.8215
342,0.7734
343,0.8083
344,0.8333
345,0.8299
346,0.8289
347,0.8234
348,0.8316
349,0.8167
350,0.8071
351,0.8271
352,0.7933
353,0.7778
354,0.8403
355,0.7992
356,0.7796
357,0.7623
358,0.8046
359,0.8338
360,0.8064
361,0.7463
362,0.8247
363,0.8155
364,0.8354
365,0.8385
366,0.8068
367,0.8332
368,0.8362
369,0.8438
370,0.838
371,0.8452
372,0.8275
373,0.8472
374,0.8112
375,0.8353
376,0.8224
377,0.849
378,0.8396
379,0.8427
380,0.8012
381,0.8378
382,0.845
383,0.8353
384,0.8506
385,0.8244
386,0.8243
387,0.8229
388,0.8156
389,0.8422
390,0.8098
391,0.8221
392,0.8277
393,0.8449
394,0.8235
395,0.8321
396,0.8158
397,0.8179
398,0.8365
399,0.8256
400,0.8467
401,0.8375
402,0.8158
403,0.8406
404,0.8028
405,0.8103
406,0.8393
407,0.8191
408,0.8198
409,0.8475
410,0.8456
411,0.8447
412,0.8542
413,0.8477
414,0.8377
415,0.8461
416,0.8442
417,0.8244
418,0.8534
419,0.847
420,0.8448
421,0.8368
422,0.8599
423,0.8553
424,0.8382
425,0.8466
426,0.854
427,0.8412
428,0.8509
429,0.8487
430,0.8539
431,0.8401
432,0.8513
433,0.8526
434,0.8427
435,0.841
436,0.8386
437,0.8393
438,0.8457
439,0.8457
440,0.8343
441,0.8459
442,0.8544
443,0.8555
444,0.8559
445,0.8461
446,0.8536
447,0.8592
448,0.8595
449,0.8529
450,0.8573
451,0.8496
452,0.8595
453,0.8445
454,0.8535
455,0.8542
456,0.8492
457,0.855
458,0.8506
459,0.858
460,0.8538
461,0.8548
462,0.8612
463,0.8588
464,0.861
465,0.8623
466,0.8564
467,0.8577
468,0.8597
469,0.8533
470,0.8531
471,0.8617
472,0.8594
473,0.8593
474,0.8612
475,0.8624
476,0.8594
477,0.857
478,0.8644
479,0.8607
480,0.8635
481,0.8626
482,0.8626
483,0.8633
484,0.8652
485,0.8622
486,0.8587
487,0.8633
488,0.8623
489,0.8642
490,0.8642
491,0.8653
492,0.8647
493,0.8634
494,0.8653
495,0.8636
496,0.8638
497,0.8638
498,0.8624
499,0.864
500,0.865
