round,phase,lr,gate,aux_scale,a_ratio,a_mean_weight,a_effective_mass_per_u,a_wrong_mass_per_u,b_ratio,b_mean_weight,b_effective_mass_per_u,b_wrong_mass_per_u,c_ratio,b_score_only_candidates,b_score_only_accuracy,b_score_only_admitted,L_sup_effective,L_A_effective,L_B_effective,L_proto_effective,loss_reconstructed,loss_observed,u_visits,local_steps,trust_authority_mean,trust_valid_fraction,trust_refreshes
1,1,0.14999851956421026,0.0,0.0,0.05643503289473684,1.0,0.05643503289473684,0.030201480263157894,0.0,0.0,0.0,0.0,0.9435649671052632,0,0.0,0,1.1566589648786345,0.03209354472357135,0.0,0.0,1.1887525096022058,1.1887525113005386,194560,760,0.0,0.0,0
2,1,0.14999407831528622,0.0,0.0,0.09630962171052632,1.0,0.09630962171052632,0.05110505756578947,0.0,0.0,0.0,0.0,0.9036903782894737,0,0.0,0,0.9290602629906253,0.06277598527725499,0.0,0.0,0.9918362482678803,0.991836248102941,194560,760,0.0,0.0,0
3,1,0.14998667642856067,0.0,0.0,0.14676706414473684,1.0,0.14676706414473684,0.07817125822368422,0.0,0.0,0.0,0.0,0.8532329358552632,0,0.0,0,0.7410269465199426,0.0917427626821025,0.0,0.0,0.8327697092020451,0.8327697075903415,194560,760,0.0,0.0,0
4,1,0.14997631419624746,0.0,0.0,0.19462890625,1.0,0.19462890625,0.09581620065789474,0.0,0.0,0.0,0.0,0.80537109375,0,0.0,0,0.6254873219485345,0.11848065378067794,0.0,0.0,0.7439679757292125,0.7439679753231375,194560,760,0.0,0.0,0
5,1,0.14996299202742983,0.0,0.0,0.19302014802631579,1.0,0.19302014802631579,0.08751541940789474,0.0,0.0,0.0,0.0,0.8069798519736842,0,0.0,0,0.6756974773579523,0.11734796789594264,0.0,0.0,0.7930454452538949,0.7930454448257622,194560,760,0.0,0.0,0
6,1,0.14994671044804422,0.0,0.0,0.24406352796052633,1.0,0.24406352796052633,0.11034642269736843,0.0,0.0,0.0,0.0,0.7559364720394737,0,0.0,0,0.4499346706182941,0.15171773026936294,0.0,0.0,0.601652400887657,0.6016524003720597,194560,760,0.0,0.0,0
7,1,0.14992747010085936,0.0,0.0,0.26382606907894735,1.0,0.26382606907894735,0.1313013980263158,0.0,0.0,0.0,0.0,0.7361739309210527,0,0.0,0,0.44260025602324227,0.16206022502921866,0.0,0.0,0.604660481052461,0.6046604817439066,194560,760,0.0,0.0,0
8,1,0.1499052717454513,0.0,0.0,0.3093236019736842,1.0,0.3093236019736842,0.10754009046052632,0.0,0.0,0.0,0.0,0.6906763980263158,0,0.0,0,0.3734205047845056,0.18253944397928487,0.0,0.0,0.5559599487637905,0.555959948779721,194560,760,0.0,0.0,0
9,1,0.14988011625817316,0.0,0.0,0.34927528782894735,1.0,0.34927528782894735,0.1627724095394737,0.0,0.0,0.0,0.0,0.6507247121710527,0,0.0,0,0.2924527747409516,0.1954823048295159,0.0,0.0,0.4879350795704675,0.48793507930087415,194560,760,0.0,0.0,0
10,1,0.14985200463212037,0.0,0.0,0.3819747121710526,1.0,0.3819747121710526,0.1716796875,0.0,0.0,0.0,0.0,0.6180252878289474,0,0.0,0,0.24400565316165357,0.2059541233717219,0.0,0.0,0.4499597765333755,0.44995977768772527,194560,760,0.0,0.0,0
11,1,0.14982093797709187,0.0,0.0,0.36141550164473685,1.0,0.36141550164473685,0.1924342105263158,0.0,0.0,0.0,0.0,0.6385844983552632,0,0.0,0,0.24168893509348363,0.20125222173274349,0.0,0.0,0.44294115682622714,0.4429411568139729,194560,760,0.0,0.0,0
12,1,0.14978691751954604,0.0,0.0,0.4026007401315789,1.0,0.4026007401315789,0.13619449013157894,0.0,0.0,0.0,0.0,0.597399259868421,0,0.0,0,0.2045397850255923,0.21677605227420205,0.0,0.0,0.4213158372997944,0.42131583796519984,194560,760,0.0,0.0,0
13,1,0.14974994460255225,0.0,0.0,0.4039525082236842,1.0,0.4039525082236842,0.19657175164473684,0.0,0.0,0.0,0.0,0.5960474917763158,0,0.0,0,0.19288347260168703,0.21156387040881733,0.0,0.0,0.40444734301050433,0.4044473437494353,194560,760,0.0,0.0,0
14,1,0.1497100206857379,0.0,0.0,0.4193513569078947,1.0,0.4193513569078947,0.20966796875,0.0,0.0,0.0,0.0,0.5806486430921053,0,0.0,0,0.1615999875884307,0.21616069056877965,0.0,0.0,0.37776067815721037,0.37776067711805045,194560,760,0.0,0.0,0
15,1,0.149667147345231,0.0,0.0,0.4400185032894737,1.0,0.4400185032894737,0.1639391447368421,0.0,0.0,0.0,0.0,0.5599814967105263,0,0.0,0,0.16984820927517782,0.22166195477506048,0.0,0.0,0.3915101640502383,0.3915101636201143,194560,760,0.0,0.0,0
16,1,0.1496213262735975,0.0,0.0,0.44275801809210524,1.0,0.44275801809210524,0.1772512335526316,0.0,0.0,0.0,0.0,0.5572419819078948,0,0.0,0,0.14353067420030896,0.22591218231736046,0.0,0.0,0.3694428565176694,0.36944285809601607,194560,760,0.0,0.0,0
17,1,0.14957255927977492,0.0,0.0,0.45260587993421053,1.0,0.45260587993421053,0.20705694901315788,0.0,0.0,0.0,0.0,0.5473941200657895,0,0.0,0,0.14574806823787329,0.2237824970856309,0.0,0.0,0.36953056532350415,0.36953056509557525,194560,760,0.0,0.0,0
18,1,0.14952084828900067,0.0,0.0,0.45435341282894737,1.0,0.45435341282894737,0.16568153782894737,0.0,0.0,0.0,0.0,0.5456465871710526,0,0.0,0,0.17638218562719168,0.22029709558149702,0.0,0.0,0.39667928120868867,0.39667928144335746,194560,760,0.0,0.0,0
19,1,0.14946619534273603,0.0,0.0,0.446484375,1.0,0.446484375,0.20669716282894737,0.0,0.0,0.0,0.0,0.553515625,0,0.0,0,0.12942893940734823,0.21852255334685508,0.0,0.0,0.34795149275420334,0.3479514924711303,194560,760,0.0,0.0,0
20,1,0.14940860259858582,0.0,0.0,0.4875256990131579,1.0,0.4875256990131579,0.2115696957236842,0.0,0.0,0.0,0.0,0.5124743009868421,0,0.0,0,0.12038304607665755,0.22902165091547527,0.0,0.0,0.34940469699213283,0.349404696904515,194560,760,0.0,0.0,0
21,1,0.149348072330213,0.0,0.0,0.5052477384868421,1.0,0.5052477384868421,0.20028268914473685,0.0,0.0,0.0,0.0,0.4947522615131579,0,0.0,0,0.11760351880527052,0.22709066153160837,0.0,0.0,0.3446941803368789,0.3446941804532942,194560,760,0.0,0.0,0
22,1,0.1492846069272488,0.0,0.0,0.5027549342105263,1.0,0.5027549342105263,0.17343236019736843,0.0,0.0,0.0,0.0,0.4972450657894737,0,0.0,0,0.10247646141919847,0.2314727901236007,0.0,0.0,0.3339492515427992,0.3339492522768284,194560,760,0.0,0.0,0
