phase,round,acc,loss,L_sup,L_A,L_B,L_proto,best_acc,best_round,gate,a_ratio,b_ratio,c_ratio,m_a,geom_drop_rate,a_prec,b_prec,hce_rate,proto_a_share,proto_a_dirty,proto_a_unique,proto_lab_mass,proto_a_mass,lab_mult,rel_r,rel_m,rel_alpha,tau0,delta0,eta_B,tau_warmup,cap_a,cap_b,lambda_A_scale,lambda_B_scale,use_a_for_proto,lr,cnt_u,cnt_a,cnt_b,cnt_c,pass_s,geom_drop,a_total,a_correct,b_total,b_correct,hce_hc,hce_den_hc,n_batches
1,1,0.1,1.18875,1.15666,0.03209,0.0,2.06863,0.1,1,0.0,0.05644,0.0,0.94356,0.05644,0.0,0.46485,0.0,0.53515,0.09958,0.5351,5170.04324,97280.0,10758.29297,48.64,0.58643,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.15,194560,10980,0,183580,10980,0,10980,5104,0,0,5876,10980,760
1,2,0.2336,0.99184,0.92906,0.06278,0.0,2.19208,0.2336,2,0.0,0.09631,0.0,0.90369,0.09631,0.0,0.46937,0.0,0.53063,0.15904,0.53031,7078.36362,97280.0,18397.92761,48.64,0.61842,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14999,194560,18738,0,175822,18738,0,18738,8795,0,0,9943,18738,760
1,3,0.3538,0.83277,0.74103,0.09174,0.0,2.22191,0.3538,3,0.0,0.14677,0.0,0.85323,0.14677,0.0,0.46738,0.0,0.53262,0.22384,0.53214,9823.16357,97280.0,28054.44043,48.64,0.67659,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14999,194560,28555,0,166005,28555,0,28555,13346,0,0,15209,28555,760
1,4,0.3148,0.74397,0.62549,0.11848,0.0,2.0207,0.3538,3,0.0,0.19463,0.0,0.80537,0.19463,0.0,0.5077,0.0,0.4923,0.27685,0.49178,11556.45557,97280.0,37241.65527,48.64,0.7123,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14998,194560,37867,0,156693,37867,0,37867,19225,0,0,18642,37867,760
1,5,0.2767,0.79305,0.6757,0.11735,0.0,2.16363,0.3538,3,0.0,0.19302,0.0,0.80698,0.19302,0.0,0.5466,0.0,0.4534,0.27546,0.45275,11355.75781,97280.0,36983.99146,48.64,0.69332,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14996,194560,37554,0,157006,37554,0,37554,20527,0,0,17027,37554,760
1,6,0.4379,0.60165,0.44993,0.15172,0.0,2.13363,0.4379,6,0.0,0.24406,0.0,0.75594,0.24406,0.0,0.54788,0.0,0.45212,0.32463,0.45151,13315.43457,97280.0,46758.75977,48.64,0.74052,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14995,194560,47485,0,147075,47485,0,47485,26016,0,0,21469,47485,760
1,7,0.3741,0.60466,0.4426,0.16206,0.0,2.15726,0.4379,6,0.0,0.26383,0.0,0.73617,0.26383,0.0,0.50232,0.0,0.49768,0.3421,0.49696,13633.51746,97280.0,50585.01123,48.64,0.75181,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14993,194560,51330,0,143230,51330,0,51330,25784,0,0,25546,51330,760
1,8,0.4835,0.55596,0.37342,0.18254,0.0,2.08606,0.4835,8,0.0,0.30932,0.0,0.69068,0.30932,0.0,0.65234,0.0,0.34766,0.37892,0.34653,14656.22083,97280.0,59350.51758,48.64,0.77649,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14991,194560,60182,0,134378,60182,0,60182,39259,0,0,20923,60182,760
1,9,0.4048,0.48794,0.29245,0.19548,0.0,2.08389,0.4835,8,0.0,0.34928,0.0,0.65072,0.34928,0.0,0.53397,0.0,0.46603,0.40817,0.46533,15262.04419,97280.0,67090.44531,48.64,0.79282,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14988,194560,67955,0,126605,67955,0,67955,36286,0,0,31669,67955,760
1,10,0.4902,0.44996,0.24401,0.20595,0.0,1.99492,0.4902,10,0.0,0.38197,0.0,0.61803,0.38197,0.0,0.55055,0.0,0.44945,0.43006,0.44866,15945.04309,97280.0,73405.8252,48.64,0.80885,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14985,194560,74317,0,120243,74317,0,74317,40915,0,0,33402,74317,760
1,11,0.5213,0.44294,0.24169,0.20125,0.0,2.0057,0.5213,11,0.0,0.36142,0.0,0.63858,0.36142,0.0,0.46755,0.0,0.53245,0.41643,0.53161,15763.41748,97280.0,69419.37598,48.64,0.80215,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14982,194560,70317,0,124243,70317,0,70317,32877,0,0,37440,70317,760
1,12,0.4442,0.42132,0.20454,0.21678,0.0,2.05495,0.5213,11,0.0,0.4026,0.0,0.5974,0.4026,0.0,0.66171,0.0,0.33829,0.4431,0.3371,16121.82764,97280.0,77402.57812,48.64,0.81745,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14979,194560,78330,0,116230,78330,0,78330,51832,0,0,26498,78330,760
1,13,0.5576,0.40445,0.19288,0.21156,0.0,1.95428,0.5576,13,0.0,0.40395,0.0,0.59605,0.40395,0.0,0.51338,0.0,0.48662,0.44395,0.48563,16364.51587,97280.0,77668.77734,48.64,0.81898,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14975,194560,78593,0,115967,78593,0,78593,40348,0,0,38245,78593,760
1,14,0.502,0.37776,0.1616,0.21616,0.0,1.89481,0.5576,13,0.0,0.41935,0.0,0.58065,0.41935,0.0,0.50002,0.0,0.49998,0.45327,0.49928,16498.51331,97280.0,80649.48633,48.64,0.82543,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14971,194560,81589,0,112971,81589,0,81589,40796,0,0,40793,81589,760
