round,acc
1,0.1
2,0.2476
3,0.3236
4,0.3095
5,0.2474
6,0.4153
7,0.3587
8,0.4538
9,0.3732
10,0.481
11,0.5006
12,0.4415
13,0.519
14,0.5032
15,0.532
16,0.5999
17,0.4977
18,0.4138
19,0.5762
20,0.5512
21,0.5909
22,0.4953
23,0.5634
24,0.6036
25,0.5991
26,0.6579
27,0.5951
28,0.6051
29,0.5321
30,0.5914
31,0.5398
32,0.5692
33,0.607
34,0.6631
35,0.6145
36,0.6356
37,0.6783
38,0.6771
39,0.6996
40,0.5801
41,0.6267
42,0.5555
43,0.5721
44,0.5225
45,0.5883
46,0.5719
47,0.6705
48,0.6008
49,0.6471
50,0.7116
51,0.7193
52,0.6891
53,0.6438
54,0.5826
55,0.6884
56,0.6929
57,0.6996
58,0.724
59,0.6904
60,0.6621
61,0.6472
62,0.714
63,0.7187
64,0.7498
65,0.6961
66,0.6437
67,0.6997
68,0.5922
69,0.6801
70,0.6947
71,0.7159
72,0.7475
73,0.7018
74,0.7142
75,0.6652
76,0.6956
77,0.6749
78,0.6693
79,0.7255
80,0.668
81,0.721
82,0.7344
83,0.6132
84,0.6692
85,0.7021
86,0.7157
87,0.6996
88,0.7226
89,0.731
90,0.6512
91,0.7258
92,0.721
93,0.7125
94,0.714
95,0.7458
96,0.7736
97,0.686
98,0.7532
99,0.7391
100,0.7652
101,0.7065
102,0.7559
103,0.7372
104,0.7059
105,0.716
106,0.7227
107,0.6933
108,0.7609
109,0.722
110,0.7371
111,0.7304
112,0.6939
113,0.6962
114,0.7579
115,0.7495
116,0.7332
117,0.724
118,0.7117
119,0.6293
120,0.7118
121,0.733
122,0.7863
123,0.72
124,0.7493
125,0.7088
126,0.7603
127,0.7624
128,0.7816
129,0.7596
130,0.6989
131,0.6938
132,0.718
133,0.7643
134,0.6844
135,0.7733
136,0.8034
137,0.7597
138,0.7517
139,0.8119
140,0.7197
141,0.8083
142,0.7687
143,0.7278
144,0.7858
145,0.7388
146,0.6736
147,0.7524
148,0.805
149,0.8186
150,0.8165
151,0.7912
152,0.7962
153,0.7649
154,0.6676
155,0.7664
156,0.7646
157,0.7174
158,0.8005
159,0.7472
160,0.7297
161,0.7059
162,0.8028
163,0.7699
164,0.7599
165,0.7889
166,0.7777
167,0.7955
168,0.8016
169,0.7674
170,0.7782
171,0.7931
172,0.7675
173,0.7556
174,0.6675
175,0.7767
176,0.771
177,0.7415
178,0.7333
179,0.7681
180,0.7234
181,0.7821
182,0.7621
183,0.7425
184,0.7916
185,0.7805
186,0.806
187,0.8079
188,0.7713
189,0.7624
190,0.8102
191,0.6873
192,0.8222
193,0.8224
194,0.7699
195,0.7755
196,0.7839
197,0.7498
198,0.7444
199,0.7848
200,0.7766
201,0.7994
202,0.8003
203,0.7984
204,0.7868
205,0.7503
206,0.8052
207,0.7913
208,0.8169
209,0.8063
210,0.7833
211,0.8277
212,0.7676
213,0.8045
214,0.7666
215,0.7791
216,0.7621
217,0.7672
218,0.7554
219,0.8001
220,0.7888
221,0.8093
222,0.8315
223,0.8287
224,0.8196
225,0.7954
226,0.7913
227,0.7949
228,0.761
229,0.8163
230,0.806
231,0.7959
232,0.7801
233,0.8217
234,0.8368
235,0.8117
236,0.8287
237,0.8077
238,0.8157
239,0.8118
240,0.8297
241,0.8193
242,0.82
243,0.8157
244,0.8022
245,0.822
246,0.827
247,0.8205
248,0.8255
249,0.8278
250,0.832
251,0.8114
252,0.8291
253,0.8141
254,0.8062
255,0.8112
256,0.8189
257,0.8305
258,0.8303
259,0.8196
260,0.8254
261,0.8272
262,0.8371
263,0.8236
264,0.8202
265,0.8337
266,0.8254
267,0.8287
268,0.8341
269,0.8321
270,0.8367
271,0.8305
272,0.8368
273,0.8326
274,0.8382
275,0.8343
276,0.8409
277,0.8273
278,0.8334
279,0.8351
280,0.8341
281,0.8387
282,0.8375
283,0.8386
284,0.8399
285,0.8377
286,0.8388
287,0.8416
288,0.8378
289,0.8418
290,0.8392
291,0.8393
292,0.8414
293,0.8405
294,0.8412
295,0.8405
296,0.8427
297,0.8421
298,0.8412
299,0.8409
300,0.8406
