round,phase,gate,lr,acc,delta_acc,client,fedavg_weight,params_update_norm,params_update_relative,params_distance_to_fused,params_cos_to_fused,bn_mean_update_norm,bn_mean_update_relative,bn_mean_distance_to_fused,bn_mean_cos_to_fused,bn_var_update_norm,bn_var_update_relative,bn_var_distance_to_fused,bn_var_cos_to_fused,local_steps,a_ratio,a_prec
1,1,0.0,0.19999451693655124,0.1,nan,1,0.125,16.7002028416921,0.2980851795516863,14.874156330105885,0.46347363881064135,79.65396785321991,nan,57.589923547895296,0.7050901642788364,905.2105049797059,27.435157201245786,614.2830538958027,0.78746505215786,95,0.0047286184210526315,0.48695652173913045
1,1,0.0,0.19999451693655124,0.1,nan,17,0.125,18.145338696820346,0.32387969144689843,15.624402376505481,0.5084874678770088,55.88380018109735,nan,45.86210864120774,0.6050524798360822,340.99696073994284,10.334949905665432,355.16150030583157,0.6366361297568472,95,0.06907894736842106,0.19940476190476192
1,1,0.0,0.19999451693655124,0.1,nan,2,0.125,18.258966377466237,0.3259078540930918,16.308254254886414,0.45287129581604824,66.62893667678723,nan,54.33441407769754,0.5855598565373779,788.9395775509987,23.911213152438336,554.9122131320412,0.7261542209508066,95,0.027261513157894737,0.2277526395173454
1,1,0.0,0.19999451693655124,0.1,nan,5,0.125,18.731343681030197,0.3343394087684323,15.804188147267087,0.5386791963034746,69.28074488767648,nan,50.075039840648856,0.6924682687800087,526.8552640032232,15.967951002243764,386.05500415652193,0.7002028126686008,95,0.029440789473684212,0.37011173184357543
1,1,0.0,0.19999451693655124,0.1,nan,11,0.125,18.700587494275858,0.33379043558901056,15.881382181734168,0.5291574078335688,73.4436350504571,nan,52.100467345211214,0.7118856361229339,724.2507180360421,21.950620538677267,491.5492301722289,0.7431832099637967,95,0.02113486842105263,0.5817120622568094
1,1,0.0,0.19999451693655124,0.1,nan,0,0.125,20.034818788165097,0.3576053903277373,17.083779446366048,0.526446033767287,72.02164837205575,nan,56.800024964960684,0.6149049090364427,675.4818755494033,20.472532455537173,475.68474397279607,0.710903745614277,95,0.03700657894736842,0.6922222222222222
1,1,0.0,0.19999451693655124,0.1,nan,18,0.125,17.84066211676532,0.31844145971212184,15.19085463800159,0.5244370684477815,61.4477609849893,nan,43.53940550027545,0.7060977262204072,456.37813989316544,13.831927427158881,324.02569051856466,0.7476438301689412,95,0.04555921052631579,0.47382671480144406
1,1,0.0,0.19999451693655124,0.1,nan,6,0.125,17.632308468770717,0.3147225147890297,15.283483755455528,0.49929244870741,63.58642113557254,nan,47.3329376612094,0.6688170922940809,548.7206452324372,16.630647875499896,361.1072626234056,0.7565781156191114,95,0.06426809210526316,0.49584133077415227
2,1,0.0,0.19997806834748455,0.2476,0.14759999999999998,18,0.125,12.738290597467529,0.229485638780763,11.240402711974834,0.47411826306554766,28.868846676658237,0.6425087808358928,25.932693417442607,0.46019433101585755,359.93788495203205,0.7499363433938541,107.7927887679623,0.9587834311133879,95,0.06130756578947368,0.49966465459423204
2,1,0.0,0.19997806834748455,0.2476,0.14759999999999998,7,0.125,12.990456981040754,0.2340285217657721,11.105375604624594,0.5188261902840101,32.09486196531508,0.7143073938282424,26.128559453987364,0.5825008858899205,326.0194073391937,0.6792666524891354,101.2422424320277,0.9505666198884098,95,0.018297697368421052,0.5955056179775281
2,1,0.0,0.19997806834748455,0.2476,0.14759999999999998,15,0.125,12.923371583485197,0.23281995023938856,11.111175487621413,0.5108735948328623,35.8286335385029,0.7974066962797082,31.071994932518894,0.49818786014362326,432.9403091711977,0.902038062514374,366.1195351521292,0.5574736393950784,95,0.0171875,0.23923444976076555
2,1,0.0,0.19997806834748455,0.2476,0.14759999999999998,14,0.125,13.497045343772026,0.2431549232346944,12.1316801229285,0.44241655104954547,32.49163525578138,0.7231380314349698,30.632628684657764,0.36999005945433483,348.4179423033451,0.7259343585313422,107.94864483856853,0.9526809045347587,95,0.12417763157894737,0.3887417218543046
2,1,0.0,0.19997806834748455,0.2476,0.14759999999999998,17,0.125,12.944942820377829,0.23320856510413193,11.26735452729744,0.493305471302716,30.793393301816387,0.685341739133184,25.823053758379555,0.5449604694466268,350.0442492226394,0.7293227950235281,101.19460399884575,0.9599578358866503,95,0.09436677631578948,0.24357298474945535
2,1,0.0,0.19997806834748455,0.2476,0.14759999999999998,3,0.125,13.705924635759157,0.24691797113998162,11.50896742769221,0.5453568950444656,32.056423474387216,0.7134519018087706,26.80971205207131,0.54833281470953,342.65742608635753,0.7139322308075423,110.25315823124618,0.9476623600939382,95,0.11587171052631579,0.38183108587650816
2,1,0.0,0.19997806834748455,0.2476,0.14759999999999998,1,0.125,14.753368608645564,0.265788112888254,12.570145743982252,0.5278992489845001,37.29259478620305,0.8299888069191103,30.72410478797877,0.5786342796321782,339.5543140754207,0.7074668472735649,106.41706008392725,0.9502357305277747,95,0.03149671052631579,0.6044386422976501
2,1,0.0,0.19997806834748455,0.2476,0.14759999999999998,10,0.125,13.18813508738994,0.2375897756217277,11.002796683650125,0.552630362559373,33.3471820236129,0.742179190817065,26.773270498254288,0.6022537636534167,307.9553708228407,0.6416299433280194,139.5103900212629,0.8984558603618573,95,0.07594572368421053,0.7980508933405522
3,1,0.0,0.19995065603657317,0.3236,0.07600000000000001,8,0.125,12.157805204339065,0.21912201888139807,11.299130192660483,0.40016816665242405,28.276541655266836,0.6523323012633164,27.755318946164163,0.32323688155615654,123.70961879722469,0.5793448583480174,84.26516258136877,0.7476677520500457,95,0.21287006578947368,0.31524048676839866
3,1,0.0,0.19995065603657317,0.3236,0.07600000000000001,2,0.125,14.103834982704214,0.2541956170080159,11.92609285386241,0.5370738468636076,29.65207936852573,0.6840655907477298,23.347322540149175,0.6196676362783945,149.53339409104763,0.7002802519339729,104.13537725264057,0.7181166066921154,95,0.08367598684210527,0.2918918918918919
3,1,0.0,0.19995065603657317,0.3236,0.07600000000000001,6,0.125,12.188786857693762,0.21968040605056754,10.62428547863977,0.4937388219025689,30.439528624314843,0.7022318358076634,25.549374934219973,0.5435948253093927,150.19181421172593,0.703363701024323,89.51974213669375,0.8055750042903209,95,0.11435032894736842,0.4469615246314275
3,1,0.0,0.19995065603657317,0.3236,0.07600000000000001,1,0.125,14.163391094508631,0.255269006097245,12.553751124538254,0.4631922748979362,30.043046763544442,0.6930851046480081,27.89411049848244,0.40028824355119025,106.02332389373767,0.4965181217111746,74.20271210789133,0.7677427811647437,95,0.08552631578947369,0.6125
3,1,0.0,0.19995065603657317,0.3236,0.07600000000000001,17,0.125,13.358146854246154,0.24075596359875534,11.147356187441133,0.55312308925259,31.07172082797418,0.7168163419358025,25.916198125942795,0.5520346160602358,129.08351922633994,0.6045113863282328,62.00163319054035,0.877227808809657,95,0.14383223684210528,0.30102915951972553
3,1,0.0,0.19995065603657317,0.3236,0.07600000000000001,4,0.125,14.238008542495399,0.25661384799689996,11.875351317424306,0.5581051221410067,33.64522899171454,0.7761864913423155,25.95801747714813,0.6577602270207008,151.15004754502613,0.7078512062009019,87.41122796729105,0.8201476139091917,95,0.11073190789473684,0.49647233568510957
3,1,0.0,0.19995065603657317,0.3236,0.07600000000000001,5,0.125,12.872590744405844,0.23200471012165289,11.59110711826514,0.4425053792849597,24.876867358579048,0.5739027187301563,24.252489711598702,0.369200109350164,119.01476453041874,0.5573583733308289,85.83567421802047,0.7240377850256489,95,0.10390625,0.46933122279382666
3,1,0.0,0.19995065603657317,0.3236,0.07600000000000001,11,0.125,13.833982281830071,0.24933201970387117,11.416366535309217,0.5709141250462023,40.04439563291767,0.9238135651236652,31.094950434028156,0.6876153630717097,208.97502098046715,0.9786514994169457,139.5885447576386,0.7863449509176212,95,0.11990131578947369,0.7812071330589849
4,1,0.0,0.19991228300988584,0.3095,-0.014100000000000001,6,0.125,12.350791124724468,0.2219930691683061,10.703918255650956,0.500894071630513,25.638185476569504,0.5589450191239581,24.921049051065484,0.3596681968987539,86.17004770633326,0.45574321822515623,71.63619580341661,0.6479034121602687,95,0.16566611842105264,0.47307024075452964
4,1,0.0,0.19991228300988584,0.3095,-0.014100000000000001,16,0.125,13.307745465343071,0.23919336257320292,10.706469538451909,0.6014944642179985,34.11583205178071,0.7437684861137764,26.18248183175458,0.6701394044642137,131.6903002560677,0.6964944646691466,89.2063891254386,0.7424685358469233,95,0.17171052631578948,0.32686781609195403
4,1,0.0,0.19991228300988584,0.3095,-0.014100000000000001,14,0.125,12.778420755904262,0.22967928241037736,11.524272235523567,0.4406398761589349,23.691702283552683,0.516509212325558,22.7900987947167,0.3965767070505764,86.26814636021362,0.4562620504344101,73.39114129719638,0.6308745823176123,95,0.21949013157894737,0.45185462720119896
4,1,0.0,0.19991228300988584,0.3095,-0.014100000000000001,19,0.125,12.210634203248985,0.21947388923486538,10.849011637027045,0.46671665417432734,25.417360638235113,0.5541307570694667,22.93542116593384,0.4644596437191754,93.06468631241151,0.49220814856315537,69.14220626834656,0.700767703751443,95,0.12368421052631579,0.5206117021276596
4,1,0.0,0.19991228300988584,0.3095,-0.014100000000000001,0,0.125,13.39805131899617,0.24081651961746575,11.651444381158873,0.49377527696972323,31.811641110159194,0.693534195894334,26.14981766719478,0.5729977382526588,122.55570937386163,0.6481826909538259,86.45672185145365,0.7090250004718167,95,0.1625,0.7902327935222672
4,1,0.0,0.19991228300988584,0.3095,-0.014100000000000001,10,0.125,13.454276013773226,0.24182710205146252,11.479258611637839,0.5220070468056329,30.43622434975996,0.6635483629208053,25.34194559662858,0.5542684962000913,209.35013936857345,1.107228193453887,170.01066613889412,0.6235626013024486,95,0.14605263157894738,0.7784346846846847
4,1,0.0,0.19991228300988584,0.3095,-0.014100000000000001,8,0.125,13.255279204468602,0.23825033421480143,10.977019189311555,0.5632294046676902,34.59210071358468,0.7541517480853949,28.251179151921335,0.5896604736490945,149.2319401294202,0.7892701288543807,107.09022164880737,0.7113743019816133,95,0.25555098684210525,0.3232502011263073
4,1,0.0,0.19991228300988584,0.3095,-0.014100000000000001,12,0.125,13.471387651949625,0.24213466656606855,11.350200104218777,0.5401125433100266,31.816816692838923,0.6936470301728184,24.470965389866826,0.6556385770866059,110.78294458864542,0.585917926648399,77.46989267627411,0.7163530721842554,95,0.12779605263157895,0.41505791505791506
5,1,0.0,0.1998629534754574,0.2474,-0.06209999999999999,7,0.125,14.832101375853174,0.26539934804363735,11.968305129393274,0.6010227288805943,37.39705440895033,0.8001104030599819,25.815680863357077,0.7333350068242276,311.044108417142,1.7331648939583906,188.31666429397131,0.8632503576288666,95,0.08754111842105264,0.5110380460310004
5,1,0.0,0.1998629534754574,0.2474,-0.06209999999999999,6,0.125,11.542671055341179,0.20653967331675538,10.968768297933797,0.3917778341856916,26.84327892913808,0.5743122570184004,27.00124009613444,0.4205889541483104,85.82051048839325,0.47819936766201016,162.44749288426254,0.2849097481073828,95,0.19366776315789475,0.49278131634819533
