round,phase,lr,gate,aux_scale,a_ratio,a_mean_weight,a_effective_mass_per_u,a_wrong_mass_per_u,b_ratio,b_mean_weight,b_effective_mass_per_u,b_wrong_mass_per_u,c_ratio,b_score_only_candidates,b_score_only_accuracy,b_score_only_admitted,L_sup_effective,L_A_effective,L_B_effective,L_proto_effective,loss_reconstructed,loss_observed,u_visits,local_steps,trust_authority_mean,trust_valid_fraction,trust_refreshes
1,1,0.19999451693655124,0.0,0.0,0.037309827302631576,1.0,0.037309827302631576,0.021741365131578948,0.0,0.0,0.0,0.0,0.9626901726973685,0,0.0,0,1.3133922853752187,0.01920581049416198,0.0,0.0,1.3325980958693806,1.332598095896997,194560,760,0.0,0.0,0
2,1,0.19997806834748455,0.0,0.0,0.06733141447368421,1.0,0.06733141447368421,0.0372327302631579,0.0,0.0,0.0,0.0,0.9326685855263158,0,0.0,0,1.035353573333276,0.041297174956793706,0.0,0.0,1.0766507482900696,1.0766507478921037,194560,760,0.0,0.0,0
3,1,0.19995065603657317,0.0,0.0,0.1218493009868421,1.0,0.1218493009868421,0.0673828125,0.0,0.0,0.0,0.0,0.8781506990131579,0,0.0,0,0.8058351833177241,0.07678836071854496,0.0,0.0,0.8826235440362691,0.8826235435903073,194560,760,0.0,0.0,0
4,1,0.19991228300988584,0.0,0.0,0.1715563322368421,1.0,0.1715563322368421,0.08707853618421052,0.0,0.0,0.0,0.0,0.8284436677631579,0,0.0,0,0.6843329140818433,0.10508245326586324,0.0,0.0,0.7894153673477065,0.78941536628102,194560,760,0.0,0.0,0
5,1,0.19986295347545735,0.0,0.0,0.16920230263157895,1.0,0.16920230263157895,0.07950246710526315,0.0,0.0,0.0,0.0,0.830797697368421,0,0.0,0,0.7470222918708858,0.10409014917402505,0.0,0.0,0.8511124410449108,0.8511124388952004,194560,760,0.0,0.0,0
6,1,0.19980267284282713,0.0,0.0,0.22601768092105262,1.0,0.22601768092105262,0.10531969572368421,0.0,0.0,0.0,0.0,0.7739823190789473,0,0.0,0,0.4883533988638144,0.14443905308025454,0.0,0.0,0.632792451944069,0.6327924524482927,194560,760,0.0,0.0,0
7,1,0.1997314477224458,0.0,0.0,0.23704769736842105,1.0,0.23704769736842105,0.12075966282894737,0.0,0.0,0.0,0.0,0.762952302631579,0,0.0,0,0.4964394809482129,0.15047229415923946,0.0,0.0,0.6469117751074523,0.6469117751050937,194560,760,0.0,0.0,0
8,1,0.1996492859249504,0.0,0.0,0.2902395148026316,1.0,0.2902395148026316,0.10516550164473684,0.0,0.0,0.0,0.0,0.7097604851973685,0,0.0,0,0.406005787285731,0.17910095022403097,0.0,0.0,0.5851067375097619,0.585106737931308,194560,760,0.0,0.0,0
9,1,0.19955619646030798,0.0,0.0,0.3261975740131579,1.0,0.3261975740131579,0.1560289884868421,0.0,0.0,0.0,0.0,0.6738024259868421,0,0.0,0,0.338950822901863,0.18689861982129513,0.0,0.0,0.5258494427231581,0.5258494423996461,194560,760,0.0,0.0,0
10,1,0.19945218953682733,0.0,0.0,0.36670435855263156,1.0,0.36670435855263156,0.1706774259868421,0.0,0.0,0.0,0.0,0.6332956414473684,0,0.0,0,0.27536272326925476,0.2045324506140069,0.0,0.0,0.47989517388326164,0.4798951729347831,194560,760,0.0,0.0,0
11,1,0.19933727656003963,0.0,0.0,0.3475123355263158,1.0,0.3475123355263158,0.19078947368421054,0.0,0.0,0.0,0.0,0.6524876644736842,0,0.0,0,0.2657823021744231,0.1996690069864455,0.0,0.0,0.46545130916086863,0.46545130861432926,194560,760,0.0,0.0,0
12,1,0.1992114701314478,0.0,0.0,0.38702713815789475,1.0,0.38702713815789475,0.13650801809210528,0.0,0.0,0.0,0.0,0.6129728618421053,0,0.0,0,0.21752540852972552,0.21567003411289892,0.0,0.0,0.43319544264262444,0.43319544276516686,194560,760,0.0,0.0,0
13,1,0.19907478404714435,0.0,0.0,0.3916581003289474,1.0,0.3916581003289474,0.1952611019736842,0.0,0.0,0.0,0.0,0.6083418996710527,0,0.0,0,0.20830389942581717,0.2115724127445566,0.0,0.0,0.4198763121703738,0.4198763119939126,194560,760,0.0,0.0,0
14,1,0.19892723329629888,0.0,0.0,0.4074681332236842,1.0,0.4074681332236842,0.2052939967105263,0.0,0.0,0.0,0.0,0.5925318667763158,0,0.0,0,0.18389672110298355,0.21746334061026573,0.0,0.0,0.4013600617132493,0.40136006249016837,194560,760,0.0,0.0,0
15,1,0.19876883405951382,0.0,0.0,0.4211759868421053,1.0,0.4211759868421053,0.1609888980263158,0.0,0.0,0.0,0.0,0.5788240131578948,0,0.0,0,0.18311149168293922,0.22362557767743343,0.0,0.0,0.4067370693603727,0.4067370687660418,194560,760,0.0,0.0,0
16,1,0.1985996037070505,0.0,0.0,0.4286081414473684,1.0,0.4286081414473684,0.17965152138157894,0.0,0.0,0.0,0.0,0.5713918585526315,0,0.0,0,0.15571237700672722,0.2264209977351129,0.0,0.0,0.3821333747418401,0.3821333753239167,194560,760,0.0,0.0,0
17,1,0.1984195607969242,0.0,0.0,0.4325966282894737,1.0,0.4325966282894737,0.20135176809210525,0.0,0.0,0.0,0.0,0.5674033717105263,0,0.0,0,0.16088434282420694,0.22506582651679452,0.0,0.0,0.38595016934100146,0.3859501696142711,194560,760,0.0,0.0,0
18,1,0.19822872507286887,0.0,0.0,0.4320004111842105,1.0,0.4320004111842105,0.16345600328947368,0.0,0.0,0.0,0.0,0.5679995888157895,0,0.0,0,0.1859183462667524,0.220057953575528,0.0,0.0,0.4059762998422804,0.4059763000003601,194560,760,0.0,0.0,0
19,1,0.19802711746217216,0.0,0.0,0.42557565789473684,1.0,0.42557565789473684,0.20001027960526316,0.0,0.0,0.0,0.0,0.5744243421052632,0,0.0,0,0.14499267883549788,0.22041568498274214,0.0,0.0,0.36540836381824005,0.3654083642716471,194560,760,0.0,0.0,0
20,1,0.1978147600733806,0.0,0.0,0.4641087582236842,1.0,0.4641087582236842,0.20456414473684212,0.0,0.0,0.0,0.0,0.5358912417763158,0,0.0,0,0.1323915386309014,0.22917784361266777,0.0,0.0,0.36156938224356916,0.3615693823091294,194560,760,0.0,0.0,0
21,1,0.19759167619387472,0.0,0.0,0.4813887746710526,1.0,0.4813887746710526,0.1914782072368421,0.0,0.0,0.0,0.0,0.5186112253289473,0,0.0,0,0.12540625382680445,0.2279138380367505,0.0,0.0,0.35332009186355495,0.35332009272747916,194560,760,0.0,0.0,0
22,1,0.19735789028731604,0.0,0.0,0.482421875,1.0,0.482421875,0.17255345394736843,0.0,0.0,0.0,0.0,0.517578125,0,0.0,0,0.11332106534452913,0.23096198221962702,0.0,0.0,0.3442830475641562,0.34428304829879813,194560,760,0.0,0.0,0
23,1,0.19711342799096362,0.0,0.0,0.45215357730263156,1.0,0.45215357730263156,0.19786698190789473,0.0,0.0,0.0,0.0,0.5478464226973684,0,0.0,0,0.13235077826110156,0.23532895767375042,0.0,0.0,0.367679735934852,0.36767973674363214,194560,760,0.0,0.0,0
24,1,0.1968583161128631,0.0,0.0,0.5186009457236842,1.0,0.5186009457236842,0.2089124177631579,0.0,0.0,0.0,0.0,0.4813990542763158,0,0.0,0,0.0862259781030987,0.23313803320848628,0.0,0.0,0.319364011311585,0.3193640110720145,194560,760,0.0,0.0,0
25,1,0.19659258262890678,0.0,0.0,0.5096268503289474,1.0,0.5096268503289474,0.13727384868421053,0.0,0.0,0.0,0.0,0.4903731496710526,0,0.0,0,0.11309397120004226,0.23406336061460406,0.0,0.0,0.3471573318146463,0.3471573316541157,194560,760,0.0,0.0,0
26,1,0.19631625667976582,0.0,0.0,0.5085988898026316,1.0,0.5085988898026316,0.1788856907894737,0.0,0.0,0.0,0.0,0.49140111019736843,0,0.0,0,0.08489995175653971,0.23787190468099556,0.0,0.0,0.32277185643753525,0.32277185652208956,194560,760,0.0,0.0,0
27,1,0.19602936856769435,0.0,0.0,0.5201069078947368,1.0,0.5201069078947368,0.2215563322368421,0.0,0.0,0.0,0.0,0.47989309210526315,0,0.0,0,0.07988637231112654,0.2373372234698189,0.0,0.0,0.31722359578094544,0.31722359571017716,194560,760,0.0,0.0,0
28,1,0.19573194975320674,0.0,0.0,0.5283254523026316,1.0,0.5283254523026316,0.22418277138157894,0.0,0.0,0.0,0.0,0.47167454769736844,0,0.0,0,0.08439987533799323,0.23429179287662633,0.0,0.0,0.3186916682146196,0.31869166822809925,194560,760,0.0,0.0,0
29,1,0.19542403285162774,0.0,0.0,0.5031044407894737,1.0,0.5031044407894737,0.17384354440789473,0.0,0.0,0.0,0.0,0.4968955592105263,0,0.0,0,0.10439087599087016,0.23644886084489133,0.0,0.0,0.3408397368357615,0.3408397365949656,194560,760,0.0,0.0,0
30,1,0.19510565162951538,0.0,0.0,0.4994397615131579,1.0,0.4994397615131579,0.22814041940789473,0.0,0.0,0.0,0.0,0.5005602384868421,0,0.0,0,0.11320519530839336,0.2336292208417466,0.0,0.0,0.34683441615013993,0.34683441606007126,194560,760,0.0,0.0,0
31,1,0.1947768410009586,0.0,0.0,0.5210320723684211,1.0,0.5210320723684211,0.18040707236842105,0.0,0.0,0.0,0.0,0.47896792763157897,0,0.0,0,0.10362626329726099,0.23009751090093664,0.0,0.0,0.33372377419819765,0.3337237744739181,194560,760,0.0,0.0,0
32,1,0.19443763702374814,0.0,0.0,0.4761564555921053,1.0,0.4761564555921053,0.20888671875,0.0,0.0,0.0,0.0,0.5238435444078947,0,0.0,0,0.11082208599760442,0.22860477718671685,0.0,0.0,0.33942686318432125,0.33942686323272553,194560,760,0.0,0.0,0
33,1,0.19408807689542254,0.0,0.0,0.51162109375,1.0,0.51162109375,0.20192228618421051,0.0,0.0,0.0,0.0,0.48837890625,0,0.0,0,0.0810259491989487,0.22626877097707046,0.0,0.0,0.30729472017601916,0.30729471990152407,194560,760,0.0,0.0,0
34,1,0.19372819894918913,0.0,0.0,0.531640625,1.0,0.531640625,0.2171412417763158,0.0,0.0,0.0,0.0,0.468359375,0,0.0,0,0.0829680309710583,0.2319094100084744,0.0,0.0,0.3148774409795327,0.314877440800008,194560,760,0.0,0.0,0
35,1,0.19335804264972015,0.0,0.0,0.5490285773026315,1.0,0.5490285773026315,0.22449115953947368,0.0,0.0,0.0,0.0,0.4509714226973684,0,0.0,0,0.06503936827679066,0.23502037828592093,0.0,0.0,0.3000597465627116,0.3000597468920444,194560,760,0.0,0.0,0
36,1,0.19297764858882516,0.0,0.0,0.5427066200657895,1.0,0.5427066200657895,0.20502158717105262,0.0,0.0,0.0,0.0,0.45729337993421054,0,0.0,0,0.06759909246803114,0.23842925518555078,0.0,0.0,0.3060283476535819,0.3060283478937651,194560,760,0.0,0.0,0
37,1,0.19258705848099952,0.0,0.0,0.525647615131579,1.0,0.525647615131579,0.21364103618421051,0.0,0.0,0.0,0.0,0.4743523848684211,0,0.0,0,0.06512736423235191,0.23970142990154655,0.0,0.0,0.30482879413389846,0.3048287942417358,194560,760,0.0,0.0,0
38,1,0.19218631515885007,0.0,0.0,0.5695363898026315,1.0,0.5695363898026315,0.1513620476973684,0.0,0.0,0.0,0.0,0.4304636101973684,0,0.0,0,0.05918375641309754,0.23905251684941745,0.0,0.0,0.298236273262515,0.29823627366047156,194560,760,0.0,0.0,0
39,1,0.19177546256839806,0.0,0.0,0.575,1.0,0.575,0.1650339226973684,0.0,0.0,0.0,0.0,0.425,0,0.0,0,0.05320069741390302,0.23560946929807725,0.0,0.0,0.2888101667119803,0.28881016657932806,194560,760,0.0,0.0,0
40,1,0.1913545457642601,0.0,0.0,0.60146484375,1.0,0.60146484375,0.18497635690789474,0.0,0.0,0.0,0.0,0.39853515625,0,0.0,0,0.05574557571457454,0.23753491653815695,0.0,0.0,0.2932804922527315,0.29328049237006587,194560,760,0.0,0.0,0
