phase,round,acc,loss,L_sup,L_A,L_B,L_proto,best_acc,best_round,gate,a_ratio,b_ratio,c_ratio,m_a,geom_drop_rate,a_prec,b_prec,hce_rate,proto_a_share,proto_a_dirty,proto_a_unique,proto_lab_mass,proto_a_mass,lab_mult,rel_r,rel_m,rel_alpha,tau0,delta0,eta_B,tau_warmup,cap_a,cap_b,lambda_A_scale,lambda_B_scale,use_a_for_proto,lr,cnt_u,cnt_a,cnt_b,cnt_c,pass_s,geom_drop,a_total,a_correct,b_total,b_correct,hce_hc,hce_den_hc,n_batches
1,1,0.1,1.3326,1.31339,0.01921,0.0,2.06977,0.1,1,0.0,0.03731,0.0,0.96269,0.03731,0.0,0.41728,0.0,0.58272,0.06811,0.5827,3374.31898,97280.0,7110.47866,48.64,0.53318,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.19999,194560,7259,0,187301,7259,0,7259,3029,0,0,4230,7259,760
1,2,0.2476,1.07665,1.03535,0.0413,0.0,2.2226,0.2476,2,0.0,0.06733,0.0,0.93267,0.06733,0.0,0.44702,0.0,0.55298,0.11669,0.55261,5233.34859,97280.0,12851.61017,48.64,0.57374,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.19998,194560,13100,0,181460,13100,0,13100,5856,0,0,7244,13100,760
1,3,0.3236,0.88262,0.80584,0.07679,0.0,2.18077,0.3236,3,0.0,0.12185,0.0,0.87815,0.12185,0.0,0.447,0.0,0.553,0.19311,0.55277,8710.06866,97280.0,23281.87134,48.64,0.65497,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.19995,194560,23707,0,170853,23707,0,23707,10597,0,0,13110,23707,760
1,4,0.3095,0.78942,0.68433,0.10508,0.0,2.02075,0.3236,3,0.0,0.17156,0.0,0.82844,0.17156,0.0,0.49242,0.0,0.50758,0.2523,0.5073,10745.45703,97280.0,32825.84473,48.64,0.69306,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.19991,194560,33378,0,161182,33378,0,33378,16436,0,0,16942,33378,760
1,5,0.2474,0.85111,0.74702,0.10409,0.0,2.16258,0.3236,3,0.0,0.1692,0.0,0.8308,0.1692,0.0,0.53013,0.0,0.46987,0.24984,0.46922,10377.93921,97280.0,32398.37817,48.64,0.67437,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.19986,194560,32920,0,161640,32920,0,32920,17452,0,0,15468,32920,760
1,6,0.4153,0.63279,0.48835,0.14444,0.0,2.14154,0.4153,6,0.0,0.22602,0.0,0.77398,0.22602,0.0,0.53402,0.0,0.46598,0.30792,0.46541,12968.45325,97280.0,43281.63965,48.64,0.72961,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.1998,194560,43974,0,150586,43974,0,43974,23483,0,0,20491,43974,760
1,7,0.3587,0.64691,0.49644,0.15047,0.0,2.17376,0.4153,6,0.0,0.23705,0.0,0.76295,0.23705,0.0,0.49057,0.0,0.50943,0.31836,0.50878,13033.20715,97280.0,45433.65137,48.64,0.73582,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.19973,194560,46120,0,148440,46120,0,46120,22625,0,0,23495,46120,760
1,8,0.4538,0.58511,0.40601,0.1791,0.0,2.10497,0.4538,8,0.0,0.29024,0.0,0.70976,0.29024,0.0,0.63766,0.0,0.36234,0.36397,0.36133,14345.13049,97280.0,55669.89111,48.64,0.76725,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.19965,194560,56469,0,138091,56469,0,56469,36008,0,0,20461,56469,760
1,9,0.3732,0.52585,0.33895,0.1869,0.0,2.10084,0.4538,8,0.0,0.3262,0.0,0.6738,0.3262,0.0,0.52167,0.0,0.47833,0.39171,0.47759,14932.57837,97280.0,62644.85791,48.64,0.7806,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.19956,194560,63465,0,131095,63465,0,63465,33108,0,0,30357,63465,760
1,10,0.481,0.4799,0.27536,0.20453,0.0,1.98844,0.481,10,0.0,0.3667,0.0,0.6333,0.3667,0.0,0.53456,0.0,0.46544,0.42005,0.46465,15756.20837,97280.0,70457.19482,48.64,0.80139,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.19945,194560,71346,0,123214,71346,0,71346,38139,0,0,33207,71346,760
1,11,0.5006,0.46545,0.26578,0.19967,0.0,2.00261,0.5006,11,0.0,0.34751,0.0,0.65249,0.34751,0.0,0.45099,0.0,0.54901,0.4069,0.54827,15483.90002,97280.0,66739.37695,48.64,0.79457,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.19934,194560,67612,0,126948,67612,0,67612,30492,0,0,37120,67612,760
