round,phase,gate,lr,acc,delta_acc,params_global_norm,params_global_relative,params_local_mean_norm,params_local_rms_norm,params_disagreement_rms,params_disagreement_relative,params_retained_ratio,bn_mean_global_norm,bn_mean_global_relative,bn_mean_local_mean_norm,bn_mean_local_rms_norm,bn_mean_disagreement_rms,bn_mean_disagreement_relative,bn_mean_retained_ratio,bn_var_global_norm,bn_var_global_relative,bn_var_local_mean_norm,bn_var_local_rms_norm,bn_var_disagreement_rms,bn_var_disagreement_relative,bn_var_retained_ratio
1,1,0.0,0.19999451693655124,0.1,nan,9.241089490246676,0.16494600970213583,18.25552855812323,18.27804914321564,15.769887271720458,0.8627773756464514,0.5062077200791117,44.931443021059366,nan,67.74336439273195,68.1057414786602,51.1816114733194,0.7515021547684978,0.663259692278879,455.8152195212951,13.814866413384639,620.8542107481148,644.7748959561252,456.03414300455785,0.7072765175330112,0.7341743224581635
2,1,0.0,0.19997806834748455,0.2476,0.14759999999999998,6.786207258354846,0.12225636522154887,13.34269195724225,13.356704744941052,11.504301434415343,0.861312850295106,0.5086085536638186,17.234068392317358,0.38356365239014806,32.846696377784646,32.9421981424616,28.074459946187638,0.8522339591540621,0.5246819404332349,311.04772718779185,0.6480729173014628,350.9408629966283,352.62498484606886,166.1134955703378,0.47107693075931983,0.886325190323534
3,1,0.0,0.19995065603657317,0.3236,0.07600000000000001,6.74345359295426,0.12153831556651297,13.364568320277892,13.389091613357445,11.56691862098372,0.8639061524864122,0.504576985305429,16.51124277917198,0.38090998291682476,31.006176152854657,31.280632188434176,26.56796556941477,0.8493423473467431,0.532514641527373,111.24551947514824,0.5209742002990251,142.2101879094985,145.261315125435,93.40922814814824,0.6430426990660809,0.7822612508320715
4,1,0.0,0.19991228300988584,0.3095,-0.014100000000000001,6.73765526834776,0.12110258824022449,13.028323217301052,13.03711907255672,11.161114343943698,0.8561028154937977,0.5171544454316611,16.205035281659487,0.35329035916716284,29.689982914560094,29.94956812931089,25.186771401480566,0.8409727743897217,0.5458081713382351,84.52553975331054,0.44704560963775425,123.63923926194084,129.54789497440373,98.17377444925052,0.757818368786678,0.6836465531321783
5,1,0.0,0.1998629534754574,0.2474,-0.06209999999999999,7.266352541179556,0.13002103870621307,13.838624609879282,13.971379890967178,11.933129285617138,0.8541124340432675,0.5250776537425667,22.950567245135872,0.4910276464064512,35.172699207773746,36.05163904572112,27.80273602269676,0.7711920111991857,0.6525108326080195,164.529236136798,0.9167712500751332,215.46501564008375,254.5098933425847,194.17881676561387,0.7629519395705306,0.7636006970692184
6,1,0.0,0.19980267284282716,0.4153,0.1679,6.496232569573891,0.11571092806176796,12.805803622470503,12.842023471375178,11.077749197515844,0.8626171118755627,0.5072881609846703,19.6607162079581,0.4092261981720619,29.40152651374833,29.986529922516056,22.64173591304014,0.7550635559214568,0.6686971235580109,163.11776223464852,0.6166542498512031,177.39192748069496,177.8827412482316,70.95678448366994,0.39889639650117176,0.9195331746558769
7,1,0.0,0.19973144772244583,0.3587,-0.056599999999999984,6.300363977973837,0.11150648828232108,12.688833767737947,12.785485593097953,11.125378835798934,0.8701569255848052,0.49652821475152875,14.354009272873187,0.3016502868797656,24.784134551145314,25.109256051621337,20.601872632183166,0.8204891690071748,0.5791612066683952,54.49997956105198,0.31046159294933456,75.34441656301878,76.6890347336359,53.95331673908396,0.7035336528420271,0.7233446358359903
8,1,0.0,0.19964928592495046,0.4538,0.09509999999999996,5.856611114071413,0.1031931191071452,12.334835361636754,12.378760917957568,10.905678631972771,0.8809992134311414,0.47480253626135777,13.509507908408965,0.29372778361266444,23.199468748974,23.612785238691067,19.366383548316918,0.8201651500469268,0.5823197097565618,44.35662909412361,0.27152410291609586,64.17671835087589,67.10326512105661,50.352137377123476,0.7503679185548793,0.6911638711660337
9,1,0.0,0.19955619646030803,0.3732,-0.0806,5.453968457681394,0.0956131719370106,11.770939643290415,11.818812254839024,10.485158558562082,0.8871583990404028,0.4633418081274612,10.80642820212073,0.23127279188925057,19.90030919549714,20.062047453133502,16.902865345992808,0.8425294270427389,0.5430281557919667,34.32189294268042,0.21731648082595761,49.35684599241325,50.34490064675022,36.83227861847608,0.7315989930522113,0.69538262124683
10,1,0.0,0.19945218953682733,0.481,0.1078,4.650375820920169,0.08126149500568025,10.899009270399985,10.992911384615983,9.960828512532022,0.9061137822389519,0.4266787655231991,8.290024011153177,0.18330193628734184,16.661586149985943,16.851810342328445,14.671707889093366,0.8706309643327109,0.49755311028177057,27.233563896755125,0.17878388785646251,36.625301198408586,36.77143655237594,24.707722946421228,0.6719270516186774,0.7435724214040991
11,1,0.0,0.19933727656003963,0.5006,0.019600000000000062,4.853572750478871,0.08462754521827083,11.209335105187602,11.30065314477877,10.205272771917263,0.9030692864538007,0.4329938131863567,7.742880760748962,0.17332406837280967,16.01753781722364,16.233689212333424,14.268162631296358,0.8789229881557808,0.4834001860400199,16.641763505102933,0.11321479842692377,28.10203056993909,28.339657385849925,22.938784842318178,0.8094235060785026,0.5921907836405504
12,1,0.0,0.1992114701314478,0.4415,-0.05910000000000004,4.707098107050371,0.08197678490577072,10.879086753302534,10.910520646013987,9.842900339451996,0.9021476296869451,0.43267401150390217,7.051817156708746,0.1622451830179733,15.035838029413132,15.097168793716744,13.349021729339258,0.8842069603735871,0.46900060661161486,16.23733580863487,0.11110659274665595,26.66187175535642,26.780396892622687,21.296445112721678,0.7952251491309414,0.6090095983367244
13,1,0.0,0.19907478404714435,0.519,0.07750000000000001,4.405144448824239,0.07658154135424698,10.559124988330995,10.682171517569301,9.731571820040614,0.9110106315026671,0.41718839900961613,6.396160368688183,0.14780208876776754,13.831449202412696,13.948978038568445,12.396092962624746,0.8886739177845125,0.46243602352040347,14.19426195465433,0.09670192849048058,24.24101654914827,24.43413065212922,19.888428998909298,0.8139609827770237,0.5855473068085116
14,1,0.0,0.19892723329629883,0.5032,-0.015800000000000036,4.199404031993653,0.07299687999545935,10.615841179842764,10.644026234349598,9.780608361044392,0.9188823989818017,0.39557901826634645,5.454679968498582,0.127410656100707,12.758534144523686,12.866507031022014,11.653045465061522,0.9056883454822079,0.4275318705667987,17.008820622181517,0.11372316907105849,24.513892783151448,24.55363498399028,17.708218032628608,0.7212055585323683,0.6938441304545391
15,1,0.0,0.19876883405951376,0.532,0.028800000000000048,4.081904423720234,0.07092235534437416,10.352851747483221,10.3921771098423,9.556955620277433,0.9196297868351532,0.3942782648957129,5.320950039670275,0.12516589789935081,12.22154799412277,12.31243337709568,11.103310592418268,0.9017966028610808,0.43537447483977243,11.901254634405294,0.07651323372143393,21.570873007244167,22.022141299345318,18.52929786313648,0.8413940139275796,0.5517280005500234
16,1,0.0,0.19859960370705051,0.5999,0.06789999999999996,3.8555020197062686,0.06692113412709125,9.97534724013051,10.100374215387305,9.33555907526686,0.9242785342591271,0.3865030386306458,5.046351441636267,0.12004005636085072,11.304707649879981,11.47549531692119,10.306373264329743,0.8981201228963496,0.446393803177196,13.692080073110215,0.08663966516924303,20.817223434475622,21.209785085655334,16.198205881678238,0.7637138149331583,0.6577284485708415
17,1,0.0,0.19841956079692416,0.4977,-0.10220000000000001,4.410966453037926,0.0765936858607322,10.709770367750789,10.73789690879615,9.790087043293097,0.9117322625134688,0.41186377499934146,5.255428395557158,0.12675652519177472,11.65512150521383,11.712363271094963,10.467087672212072,0.8936785369391576,0.45091150643141575,10.769906161834417,0.06636761488051193,20.063766636697803,20.295346300206674,17.202038625919855,0.8475853711224766,0.5367838630128218
18,1,0.0,0.1982287250728689,0.4138,-0.08389999999999997,5.229356483084902,0.09069602876359624,11.322791813823489,11.436854277328868,10.171305998728421,0.88934472295331,0.4618433835991416,5.759198443025955,0.1373076758035275,12.462447525120934,12.65959442461604,11.273728914008606,0.890528443161443,0.4621241879989435,14.23786664028879,0.08436526612869376,24.070391554843376,25.023037179870197,20.57754709242692,0.8223441041353902,0.591509556786744
19,1,0.0,0.1980271174621722,0.5762,0.16240000000000004,4.023105181735419,0.06973207633694702,9.889762963532922,9.952381748118073,9.102995485544987,0.9146549756560837,0.4067949046473652,4.770998364628608,0.11325865566223907,10.336803627618782,10.407374386858788,9.249379290841276,0.8887332142601027,0.46155451302964046,12.331857421305141,0.06990397928874169,19.728179184520254,19.796375379312725,15.486181424519977,0.7822735792686113,0.6250884740027783
20,1,0.0,0.19781476007338059,0.5512,-0.025000000000000022,4.020882436486572,0.06971589848629187,10.204330449448676,10.246999967032801,9.425153176469633,0.9197963508141644,0.39403687056251824,4.2134478690056305,0.1022150547325412,10.097137622661794,10.135559212316924,9.218265462045162,0.9094974701388899,0.4172913182394445,7.952797862712091,0.045357743879998705,16.770908077935424,16.90484422002929,14.91733058956922,0.8824293436490108,0.47420198272836267
21,1,0.0,0.19759167619387474,0.5909,0.03969999999999996,3.9581984293251615,0.06863986921566018,10.21513037754558,10.252894161772067,9.458039098005548,0.9224750542407687,0.3874838874328895,4.238614560981017,0.10264965297823807,9.873048707330096,9.922725680167911,8.971880086202676,0.9041749591177708,0.42931162264338085,7.982233277735842,0.045165462798309505,16.86089285439094,17.10129620699936,15.124095075608396,0.8843829667962994,0.47341699794130987
