round,acc
1,0.1007
2,0.244
3,0.3258
4,0.324
5,0.3015
6,0.4436
7,0.3626
8,0.498
9,0.3973
10,0.4952
11,0.525
12,0.4734
13,0.5654
14,0.5521
15,0.5269
16,0.6256
17,0.5002
18,0.453
19,0.5793
20,0.5442
21,0.6223
22,0.5251
23,0.5976
24,0.6123
25,0.6265
26,0.6566
27,0.6211
28,0.6118
29,0.5518
30,0.618
31,0.5537
32,0.5947
33,0.6525
34,0.6652
35,0.6484
36,0.6572
37,0.6794
38,0.6807
39,0.6998
40,0.6407
41,0.6362
42,0.6278
43,0.6388
44,0.5934
45,0.6328
46,0.6512
47,0.6827
48,0.6173
49,0.6645
50,0.7238
51,0.7074
52,0.6782
53,0.6809
54,0.5949
55,0.6955
56,0.7064
57,0.7184
58,0.7291
59,0.701
60,0.6861
61,0.6624
62,0.7213
63,0.7281
64,0.7464
65,0.7095
66,0.675
67,0.7222
68,0.6217
69,0.7054
70,0.6911
71,0.7188
72,0.7439
73,0.7261
74,0.7156
75,0.6985
76,0.7285
77,0.7153
78,0.6667
79,0.7395
80,0.6917
81,0.7359
82,0.737
83,0.667
84,0.6985
85,0.7199
86,0.7385
87,0.715
88,0.7246
89,0.7344
90,0.6926
91,0.7335
92,0.7583
93,0.7082
94,0.7336
95,0.7605
96,0.7802
97,0.724
98,0.7427
99,0.7553
100,0.7676
101,0.7248
102,0.7655
103,0.7488
104,0.6986
105,0.7133
106,0.7281
107,0.7251
108,0.7788
109,0.7393
110,0.76
111,0.7405
112,0.7144
113,0.7421
114,0.771
115,0.7387
116,0.7452
117,0.707
118,0.7112
119,0.6603
120,0.7284
121,0.7658
122,0.7925
123,0.733
124,0.7667
125,0.7437
126,0.7792
127,0.7742
128,0.7915
129,0.7734
130,0.7171
131,0.7603
132,0.7739
133,0.7787
134,0.7043
135,0.7698
136,0.8074
137,0.7731
138,0.7576
139,0.8058
140,0.7623
141,0.8074
142,0.7777
143,0.7422
144,0.8009
145,0.7474
146,0.7093
147,0.7658
148,0.8031
149,0.8087
150,0.8177
151,0.8048
152,0.805
153,0.7779
154,0.7176
155,0.7689
156,0.7822
157,0.7506
158,0.7769
159,0.7656
160,0.7421
161,0.7213
162,0.7941
163,0.7911
164,0.7943
165,0.7876
166,0.7784
167,0.8024
168,0.8025
169,0.7779
170,0.7911
171,0.7854
172,0.7888
173,0.7848
174,0.7433
175,0.804
176,0.8062
177,0.7864
178,0.7583
179,0.7885
180,0.7547
181,0.7805
182,0.7933
183,0.758
184,0.7738
185,0.7999
186,0.7987
187,0.8177
188,0.7696
189,0.7839
190,0.8111
191,0.7611
192,0.8174
193,0.816
194,0.769
195,0.7926
196,0.7893
197,0.7659
198,0.7641
199,0.7934
200,0.7936
201,0.8046
202,0.7996
203,0.8064
204,0.7846
205,0.7823
206,0.7988
207,0.809
208,0.8183
209,0.8068
210,0.8
211,0.819
212,0.7675
213,0.8002
214,0.7904
215,0.802
216,0.7933
217,0.7824
218,0.7858
219,0.7959
220,0.8031
221,0.8022
222,0.818
223,0.8243
224,0.8091
225,0.8071
226,0.7995
227,0.8044
228,0.7726
229,0.812
230,0.8089
231,0.8045
232,0.7925
233,0.8219
234,0.8249
235,0.8008
236,0.8203
237,0.7989
238,0.8109
239,0.8117
240,0.8243
241,0.8135
242,0.8185
243,0.8156
244,0.8144
245,0.8198
246,0.8236
247,0.8128
248,0.8205
249,0.8244
250,0.8236
251,0.806
252,0.8103
253,0.8101
254,0.8095
255,0.8143
256,0.8186
257,0.8176
258,0.8257
259,0.8123
260,0.8156
261,0.8192
262,0.8247
263,0.8138
264,0.8126
265,0.8282
266,0.8251
267,0.8229
268,0.8249
269,0.8235
270,0.8297
271,0.8197
272,0.8305
273,0.8216
274,0.823
275,0.8287
276,0.8303
277,0.8221
278,0.8269
279,0.824
280,0.822
281,0.8264
282,0.8292
283,0.8285
284,0.8277
285,0.8263
286,0.8281
287,0.8296
288,0.8292
289,0.8299
290,0.8282
291,0.8279
292,0.8308
293,0.8315
294,0.8314
295,0.8285
296,0.8305
297,0.8297
298,0.8299
299,0.8311
300,0.8303
