round,acc
1,0.1
2,0.2229
3,0.3347
4,0.3128
5,0.2616
6,0.4375
7,0.3511
8,0.4971
9,0.3836
10,0.479
11,0.5396
12,0.4563
13,0.5495
14,0.531
15,0.5453
16,0.611
17,0.4937
18,0.4727
19,0.5921
20,0.5541
21,0.6159
22,0.531
23,0.5876
24,0.617
25,0.6458
26,0.6862
27,0.6383
28,0.6379
29,0.5659
30,0.614
31,0.5568
32,0.6141
33,0.6301
34,0.6588
35,0.6356
36,0.6817
37,0.6935
38,0.6767
39,0.7013
40,0.6146
41,0.6429
42,0.5955
43,0.6255
44,0.5591
45,0.6133
46,0.6146
47,0.6872
48,0.6144
49,0.6612
50,0.7211
51,0.7255
52,0.6962
53,0.6585
54,0.6149
55,0.6872
56,0.709
57,0.7157
58,0.7295
59,0.6977
60,0.6783
61,0.6728
62,0.7385
63,0.7323
64,0.7408
65,0.6923
66,0.6226
67,0.7018
68,0.632
69,0.7012
70,0.6984
71,0.7434
72,0.7554
73,0.7198
74,0.7315
75,0.7118
76,0.7483
77,0.7006
78,0.7081
79,0.7507
80,0.6974
81,0.7414
82,0.7411
83,0.6094
84,0.6937
85,0.744
86,0.7589
87,0.7195
88,0.7477
89,0.7421
90,0.7012
91,0.7134
92,0.7702
93,0.7403
94,0.7413
95,0.7887
96,0.7835
97,0.746
98,0.7543
99,0.7775
100,0.7817
101,0.7637
102,0.7656
103,0.7647
104,0.7515
105,0.7639
106,0.7605
107,0.7441
108,0.7898
109,0.7647
110,0.7736
111,0.7427
112,0.7272
113,0.7348
114,0.7949
115,0.7744
116,0.772
117,0.7485
118,0.7625
119,0.6962
120,0.7315
121,0.7633
122,0.7978
123,0.7336
124,0.7777
125,0.7696
126,0.8069
127,0.7982
128,0.7846
129,0.7717
130,0.7409
131,0.766
132,0.7832
133,0.7688
134,0.7345
135,0.7958
136,0.813
137,0.7709
138,0.7907
139,0.8267
140,0.7574
141,0.8234
142,0.7969
143,0.7591
144,0.8034
145,0.7616
146,0.7171
147,0.8136
148,0.8248
149,0.8347
150,0.8273
151,0.8299
152,0.8255
153,0.7615
154,0.7655
155,0.8037
156,0.8211
157,0.7943
158,0.8088
159,0.7727
160,0.7558
161,0.7089
162,0.8226
163,0.7857
164,0.8125
165,0.8016
166,0.8151
167,0.8232
168,0.8085
169,0.7843
170,0.8111
171,0.8181
172,0.8015
173,0.7801
174,0.794
175,0.8158
176,0.8264
177,0.8103
178,0.7844
179,0.8021
180,0.7761
181,0.7988
182,0.7953
183,0.7813
184,0.8173
185,0.8239
186,0.8235
187,0.8202
188,0.7813
189,0.7929
190,0.8202
191,0.7713
192,0.8453
193,0.8404
194,0.8221
195,0.8215
196,0.8208
197,0.8186
198,0.7877
199,0.8153
200,0.8046
201,0.8404
202,0.8236
203,0.8338
204,0.8251
205,0.7841
206,0.8337
207,0.833
208,0.8453
209,0.8338
210,0.8221
211,0.8358
212,0.8114
213,0.8139
214,0.824
215,0.8247
216,0.8147
217,0.8276
218,0.8209
219,0.8255
220,0.814
221,0.8352
222,0.8382
223,0.8451
224,0.8407
225,0.8422
226,0.8416
227,0.828
228,0.8084
229,0.8328
230,0.8395
231,0.8335
232,0.8313
233,0.848
234,0.8549
235,0.8374
236,0.8521
237,0.8362
238,0.839
239,0.8429
240,0.8453
241,0.8452
242,0.8454
243,0.8414
244,0.8395
245,0.8448
246,0.8509
247,0.8427
248,0.8524
249,0.8532
250,0.8525
251,0.8455
252,0.8449
253,0.8453
254,0.8492
255,0.848
256,0.8521
257,0.8519
258,0.8506
259,0.8454
260,0.8493
261,0.8493
262,0.8518
263,0.8552
264,0.8524
265,0.8523
266,0.8536
267,0.8522
268,0.8547
269,0.8535
270,0.8588
271,0.8541
272,0.8571
273,0.8555
274,0.8537
275,0.8563
276,0.8569
277,0.8556
278,0.8525
279,0.8587
280,0.8552
281,0.8562
282,0.8584
283,0.8568
284,0.8603
285,0.856
286,0.8583
287,0.8584
288,0.857
289,0.8594
290,0.8578
291,0.8581
292,0.8585
293,0.8598
294,0.8586
295,0.859
296,0.8584
297,0.8582
298,0.8579
299,0.8592
300,0.8578
