round,phase,lr,gate,aux_scale,a_ratio,a_mean_weight,a_effective_mass_per_u,a_wrong_mass_per_u,b_ratio,b_mean_weight,b_effective_mass_per_u,b_wrong_mass_per_u,c_ratio,b_score_only_candidates,b_score_only_accuracy,b_score_only_admitted,L_sup_effective,L_A_effective,L_B_effective,L_proto_effective,loss_reconstructed,loss_observed,u_visits,local_steps,trust_authority_mean,trust_valid_fraction,trust_refreshes,trusted_weight_gate
1,1,0.1499958877024134,0.0,0.0,0.05389597039473684,1.0,0.05389597039473684,0.02872121710526316,0.0,0.0,0.0,0.0,0.9461040296052632,0,0.0,0,1.1554591883954248,0.031703642137946235,0.0,0.0,1.187162830533371,1.1871628301708321,194560,760,0.0,0.0,0,0.0
2,1,0.14998355126061344,0.0,0.0,0.09188939144736842,1.0,0.09188939144736842,0.04904913651315789,0.0,0.0,0.0,0.0,0.9081106085526316,0,0.0,0,0.9444903954079277,0.06102767757461391,0.0,0.0,1.0055180729825415,1.0055180719808527,194560,760,0.0,0.0,0,0.0
3,1,0.14996299202742983,0.0,0.0,0.14249074835526315,1.0,0.14249074835526315,0.07471731085526316,0.0,0.0,0.0,0.0,0.8575092516447368,0,0.0,0,0.7477427407314903,0.08963844274473894,0.0,0.0,0.8373811834762293,0.8373811825717751,194560,760,0.0,0.0,0,0.0
4,1,0.14993421225741438,0.0,0.0,0.19288137335526315,1.0,0.19288137335526315,0.09500925164473684,0.0,0.0,0.0,0.0,0.8071186266447369,0,0.0,0,0.6312946542509292,0.11625495128350131,0.0,0.0,0.7475496055344305,0.7475496047813641,194560,760,0.0,0.0,0,0.0
5,1,0.149897215106593,0.0,0.0,0.1875,1.0,0.1875,0.0844006990131579,0.0,0.0,0.0,0.0,0.8125,0,0.0,0,0.6868470145242387,0.11310764059874265,0.0,0.0,0.7999546551229814,0.799954655217497,194560,760,0.0,0.0,0,0.0
6,1,0.14985200463212037,0.0,0.0,0.2379677220394737,1.0,0.2379677220394737,0.10770970394736842,0.0,0.0,0.0,0.0,0.7620322779605263,0,0.0,0,0.45530760703902495,0.14793022270637027,0.0,0.0,0.6032378297453952,0.6032378292397449,194560,760,0.0,0.0,0,0.0
7,1,0.14979858579183433,0.0,0.0,0.25628083881578945,1.0,0.25628083881578945,0.12670641447368422,0.0,0.0,0.0,0.0,0.7437191611842106,0,0.0,0,0.446736195056062,0.1562769216343602,0.0,0.0,0.6030131166904222,0.6030131168859569,194560,760,0.0,0.0,0,0.0
8,1,0.14973696444371284,0.0,0.0,0.30703125,1.0,0.30703125,0.10691817434210527,0.0,0.0,0.0,0.0,0.69296875,0,0.0,0,0.3704472061491718,0.18063670493368256,0.0,0.0,0.5510839110828544,0.5510839100534979,194560,760,0.0,0.0,0,0.0
9,1,0.149667147345231,0.0,0.0,0.3442485608552632,1.0,0.3442485608552632,0.15990439967105263,0.0,0.0,0.0,0.0,0.6557514391447369,0,0.0,0,0.30352499693828194,0.18792449882511345,0.0,0.0,0.49144949576339536,0.4914494954637791,194560,760,0.0,0.0,0,0.0
10,1,0.14958914215262048,0.0,0.0,0.3825349506578947,1.0,0.3825349506578947,0.17369449013157895,0.0,0.0,0.0,0.0,0.6174650493421052,0,0.0,0,0.25334192971257785,0.20324513347035175,0.0,0.0,0.45658706318292963,0.4565870634623264,194560,760,0.0,0.0,0,0.0
11,1,0.1495029574200297,0.0,0.0,0.3623252467105263,1.0,0.3623252467105263,0.1939710115131579,0.0,0.0,0.0,0.0,0.6376747532894737,0,0.0,0,0.2501651401190381,0.20186643005275218,0.0,0.0,0.4520315701717903,0.45203157092787716,194560,760,0.0,0.0,0,0.0
12,1,0.14940860259858582,0.0,0.0,0.40475431743421053,1.0,0.40475431743421053,0.13753083881578948,0.0,0.0,0.0,0.0,0.5952456825657895,0,0.0,0,0.19742668504385572,0.21608487191168885,0.0,0.0,0.41351155695554453,0.41351155613205937,194560,760,0.0,0.0,0,0.0
13,1,0.14930608803535828,0.0,0.0,0.41200143914473686,1.0,0.41200143914473686,0.20215871710526315,0.0,0.0,0.0,0.0,0.5879985608552631,0,0.0,0,0.1868385466599935,0.21707826805742164,0.0,0.0,0.40391681471741514,0.4039168148056457,194560,760,0.0,0.0,0,0.0
14,1,0.14919542497222416,0.0,0.0,0.4238486842105263,1.0,0.4238486842105263,0.20865542763157896,0.0,0.0,0.0,0.0,0.5761513157894737,0,0.0,0,0.16360495967398347,0.21663399346564946,0.0,0.0,0.38023895313963296,0.38023895295827015,194560,760,0.0,0.0,0,0.0
15,1,0.14907662554463533,0.0,0.0,0.4431640625,1.0,0.4431640625,0.16240748355263157,0.0,0.0,0.0,0.0,0.5568359375,0,0.0,0,0.16176077296075067,0.223062912972742,0.0,0.0,0.3848236859334927,0.3848236867275677,194560,760,0.0,0.0,0,0.0
16,1,0.1489497027802879,0.0,0.0,0.4493626644736842,1.0,0.4493626644736842,0.1822522615131579,0.0,0.0,0.0,0.0,0.5506373355263158,0,0.0,0,0.14320190574875788,0.22596491058602144,0.0,0.0,0.3691668163347793,0.3691668160651859,194560,760,0.0,0.0,0,0.0
17,1,0.1488146705976931,0.0,0.0,0.4582082648026316,1.0,0.4582082648026316,0.20933388157894736,0.0,0.0,0.0,0.0,0.5417917351973685,0,0.0,0,0.1494623319196858,0.22577159540041497,0.0,0.0,0.37523392732010075,0.37523392780046716,194560,760,0.0,0.0,0,0.0
18,1,0.1486715438046516,0.0,0.0,0.4541221217105263,1.0,0.4541221217105263,0.16237150493421051,0.0,0.0,0.0,0.0,0.5458778782894737,0,0.0,0,0.1751150564027117,0.2182757145186004,0.0,0.0,0.3933907709213121,0.39339077141331996,194560,760,0.0,0.0,0,0.0
19,1,0.14852033809662915,0.0,0.0,0.44879728618421055,1.0,0.44879728618421055,0.20782277960526316,0.0,0.0,0.0,0.0,0.5512027138157894,0,0.0,0,0.12980293404237417,0.22207645308226348,0.0,0.0,0.3518793871246376,0.3518793865450119,194560,760,0.0,0.0,0,0.0
20,1,0.14836107005503543,0.0,0.0,0.48155838815789476,1.0,0.48155838815789476,0.2056897615131579,0.0,0.0,0.0,0.0,0.5184416118421052,0,0.0,0,0.122704286291264,0.22581551918073706,0.0,0.0,0.34851980547200107,0.3485198060540777,194560,760,0.0,0.0,0,0.0
21,1,0.14819375714540606,0.0,0.0,0.5043225740131579,1.0,0.5043225740131579,0.19431537828947368,0.0,0.0,0.0,0.0,0.4956774259868421,0,0.0,0,0.11412102822091823,0.22321168553868406,0.0,0.0,0.3373327137596023,0.33733271321183755,194560,760,0.0,0.0,0,0.0
22,1,0.14801841771548702,0.0,0.0,0.5011204769736842,1.0,0.5011204769736842,0.1669973273026316,0.0,0.0,0.0,0.0,0.4988795230263158,0,0.0,0,0.10154003708402773,0.22587922047823666,0.0,0.0,0.3274192575622644,0.32741925759535084,194560,760,0.0,0.0,0,0.0
23,1,0.1478350709932227,0.0,0.0,0.4723889802631579,1.0,0.4723889802631579,0.19767166940789474,0.0,0.0,0.0,0.0,0.5276110197368421,0,0.0,0,0.11776052847333056,0.23182056232502585,0.0,0.0,0.3495810907983564,0.3495810907922293,194560,760,0.0,0.0,0,0.0
24,1,0.14764373708464731,0.0,0.0,0.5345343338815789,1.0,0.5345343338815789,0.20624486019736843,0.0,0.0,0.0,0.0,0.46546566611842105,0,0.0,0,0.0790472082665043,0.22576501074394112,0.0,0.0,0.3048122190104454,0.3048122187586207,194560,760,0.0,0.0,0,0.0
25,1,0.1474444369716801,0.0,0.0,0.5336040296052632,1.0,0.5336040296052632,0.13865131578947368,0.0,0.0,0.0,0.0,0.46639597039473685,0,0.0,0,0.10206503458811264,0.23161650161798064,0.0,0.0,0.3336815362060933,0.33368153693644625,194560,760,0.0,0.0,0,0.0
26,1,0.14723719250982437,0.0,0.0,0.535387541118421,1.0,0.535387541118421,0.18333675986842105,0.0,0.0,0.0,0.0,0.4646124588815789,0,0.0,0,0.07033674075317226,0.233387413179796,0.0,0.0,0.30372415393296825,0.3037241543790227,194560,760,0.0,0.0,0,0.0
27,1,0.14702202642577075,0.0,0.0,0.5413805509868421,1.0,0.5413805509868421,0.22081620065789473,0.0,0.0,0.0,0.0,0.4586194490131579,0,0.0,0,0.06897052747050399,0.23061050459938615,0.0,0.0,0.2995810320698901,0.2995810322855648,194560,760,0.0,0.0,0,0.0
28,1,0.14679896231490497,0.0,0.0,0.5532329358552631,1.0,0.5532329358552631,0.23042763157894736,0.0,0.0,0.0,0.0,0.4467670641447368,0,0.0,0,0.07134339876448441,0.23239991432546,0.0,0.0,0.3037433130899444,0.30374331264511534,194560,760,0.0,0.0,0,0.0
29,1,0.14656802463872076,0.0,0.0,0.5315224095394737,1.0,0.5315224095394737,0.16749588815789473,0.0,0.0,0.0,0.0,0.46847759046052634,0,0.0,0,0.08673749261897204,0.23187901539433944,0.0,0.0,0.3186165080133115,0.3186165079474449,194560,760,0.0,0.0,0,0.0
30,1,0.14632923872213652,0.0,0.0,0.5287571957236842,1.0,0.5287571957236842,0.22862356085526317,0.0,0.0,0.0,0.0,0.47124280427631576,0,0.0,0,0.08769048632637254,0.23584052928184207,0.0,0.0,0.3235310156082146,0.3235310158643283,194560,760,0.0,0.0,0,0.0
31,1,0.14608263075071895,0.0,0.0,0.5485300164473684,0.9998057495472914,0.5484234642433493,0.1831589982440499,0.0,0.0,0.0,0.0,0.45146998355263157,0,0.0,0,0.09133741397373868,0.22867106418860586,0.0,0.0,0.32000847816234457,0.32000847919599007,194560,760,0.0013187197668134774,0.9777909128289474,40,0.0027390523158633555
32,1,0.14582822776781112,0.0,0.0,0.5061472039473685,0.9991182105460559,0.5057008886807843,0.21860449220740089,0.0,0.0,0.0,0.0,0.4938527960526316,0,0.0,0,0.09846197037626744,0.22519850320133725,0.0,0.0,0.3236604735776047,0.3236604737510022,194560,760,0.005085150080451154,0.9744654605263158,40,0.010926199633097156
33,1,0.14556605767156694,0.0,0.0,0.531481291118421,0.9980211270385229,0.5304295571618959,0.2019303295883889,0.0,0.0,0.0,0.0,0.4685187088815789,0,0.0,0,0.06848250365675133,0.22240804052470545,0.0,0.0,0.29089054418145677,0.29089054369220607,194560,760,0.011628408146728027,0.9667146381578947,40,0.024471741852423234
34,1,0.14529614921189185,0.0,0.0,0.5481342516447368,0.9968697965304399,0.5464184799084538,0.22017605632886683,0.0,0.0,0.0,0.0,0.45186574835526316,0,0.0,0,0.07427030289453748,0.22464220884599184,0.0,0.0,0.29891251174052935,0.29891251178556366,194560,760,0.0206640367604498,0.9633172286184211,40,0.04322727117869957
35,1,0.14501853198729012,0.0,0.0,0.5710423519736842,0.994454088654154,0.5678754017149147,0.2265947421228415,0.0,0.0,0.0,0.0,0.4289576480263158,0,0.0,0,0.05644209596058844,0.22941884228861645,0.0,0.0,0.2858609382492049,0.2858609382847422,194560,760,0.03235516670331555,0.9648591694078947,40,0.06698729810778065
36,1,0.14473323644161884,0.0,0.0,0.5632144325657895,0.9939322284633074,0.5597969760628123,0.20542634364805723,0.0,0.0,0.0,0.0,0.43678556743421054,0,0.0,0,0.05871440761961582,0.23251320490319477,0.0,0.0,0.2912276125228106,0.2912276125660068,194560,760,0.04545882877550627,0.9638826069078947,40,0.09549150281252627
37,1,0.14444029386074964,0.0,0.0,0.5378443667763158,0.9902764037095545,0.5326145852866926,0.21643192844808493,0.0,0.0,0.0,0.0,0.4621556332236842,0,0.0,0,0.05899134325568172,0.22774633530919489,0.0,0.0,0.2867376785648766,0.2867376785529287,194560,760,0.06004291104250833,0.9609015213815789,40,0.12842758726130288
38,1,0.14413973636913752,0.0,0.0,0.5953176398026315,0.9889172973237592,0.5887199114027776,0.1499561818524901,0.0,0.0,0.0,0.0,0.4046823601973684,0,0.0,0,0.049057406348507165,0.23220128377801494,0.0,0.0,0.2812586901265221,0.2812586900631064,194560,760,0.07997652169709143,0.9811831825657895,40,0.16543469682057088
39,1,0.14383159692629857,0.0,0.0,0.597496916118421,0.9832479325012213,0.5874876074492932,0.1576737507175973,0.0,0.0,0.0,0.0,0.40250308388157896,0,0.0,0,0.04722432440612465,0.22588821480932988,0.0,0.0,0.27311253921545453,0.2731125391039409,194560,760,0.09851578389245429,0.9605365953947368,40,0.2061073738537634
40,1,0.14351590932319505,0.0,0.0,0.6149928042763158,0.9850984356746534,0.6058284494437669,0.1726779233443698,0.0,0.0,0.0,0.0,0.3850071957236842,0,0.0,0,0.049090346896494004,0.22434564244590308,0.0,0.0,0.2734359893423971,0.2734359893555704,194560,760,0.11932462216109822,0.9467310855263158,40,0.24999999999999997
41,1,0.14319270817853014,0.0,0.0,0.6224609375,0.9760194128023049,0.6075339587111223,0.16908091100815095,0.0,0.0,0.0,0.0,0.3775390625,0,0.0,0,0.054980214492197296,0.22305029488511777,0.0,0.0,0.27803050937731505,0.2780305094428753,194560,760,0.1442462008544489,0.9642526726973685,40,0.2966316784620998
42,1,0.14286202893495145,0.0,0.0,0.5673673930921053,0.9724879960257763,0.5517579791185103,0.19992399357602392,0.0,0.0,0.0,0.0,0.43263260690789473,0,0.0,0,0.06548469862471776,0.22226430404147035,0.0,0.0,0.2877490026661881,0.2877490023935312,194560,760,0.16503792999214248,0.9658768503289473,40,0.3454915028125263
43,1,0.14252390785516453,0.0,0.0,0.56494140625,0.9659000136607914,0.5456769120144217,0.1872116810789234,0.0,0.0,0.0,0.0,0.43505859375,0,0.0,0,0.058001299332643516,0.22301611212131225,0.0,0.0,0.28101741145395576,0.2810174115394291,194560,760,0.18791187574204646,0.9532020970394737,40,0.39604415459112036
44,1,0.14217838201795596,0.0,0.0,0.5647769325657894,0.9646050357621591,0.5447866732352659,0.19964642822865006,0.0,0.0,0.0,0.0,0.4352230674342105,0,0.0,0,0.06330753462450382,0.21308851327354972,0.0,0.0,0.27639604789805355,0.27639604770627463,194560,760,0.20897754931724385,0.9414268092105263,40,0.4477357683661733
45,1,0.14182548931412758,0.0,0.0,0.5676295230263158,0.952576239436018,0.5407103964372685,0.23759763166308404,0.0,0.0,0.0,0.0,0.4323704769736842,0,0.0,0,0.06266007453837358,0.21981113972632507,0.0,0.0,0.2824712142646987,0.2824712143524697,194560,760,0.23797189922709214,0.9523951480263158,40,0.49999999999999994
46,1,0.14146526844234109,0.0,0.0,0.6070055509868421,0.946708614726736,0.5746573843061924,0.17693719384750645,0.0,0.0,0.0,0.0,0.3929944490131579,0,0.0,0,0.05024413379188014,0.21110892355638114,0.0,0.0,0.2613530573482613,0.26135305707391937,194560,760,0.2697884267686229,0.9587993421052632,40,0.5522642316338265
