round,phase,client,pred_class,s_lo,s_hi,geometry_group,visits,correct,confidence_sum,a_visits,a_correct,a_weight,a_wrong_weight
91,2,1,0,0.0,0.6,unknown,29.0,0.0,13.672173336148262,0.0,0.0,0.0,0.0
91,2,1,0,0.6,0.9,unknown,33.0,0.0,24.77009791135788,0.0,0.0,0.0,0.0
91,2,1,0,0.9,0.95,unknown,8.0,0.0,7.366498708724976,0.0,0.0,0.0,0.0
91,2,1,0,0.95,0.97,unknown,3.0,0.0,2.9044450521469116,3.0,0.0,3.0,3.0
91,2,1,0,0.97,0.99,unknown,3.0,0.0,2.9391866326332092,3.0,0.0,3.0,3.0
91,2,1,0,0.995,1.0,unknown,6.0,0.0,5.987013638019562,6.0,0.0,6.0,6.0
91,2,1,1,0.0,0.6,oppose,45.0,0.0,21.164902240037918,0.0,0.0,0.0,0.0
91,2,1,1,0.6,0.9,oppose,56.0,2.0,40.02630251646042,0.0,0.0,0.0,0.0
91,2,1,1,0.9,0.95,oppose,11.0,1.0,10.187600195407867,0.0,0.0,0.0,0.0
91,2,1,1,0.95,0.97,oppose,10.0,4.0,9.625131607055664,10.0,4.0,6.575994789600372,3.5831316113471985
91,2,1,1,0.97,0.99,oppose,11.0,8.0,10.833368420600891,11.0,8.0,7.769205451011658,1.9041095972061157
91,2,1,1,0.99,0.995,oppose,6.0,2.0,5.951188623905182,6.0,2.0,3.9790453910827637,2.48483806848526
91,2,1,1,0.995,1.0,support,67.0,67.0,66.99907875061035,67.0,67.0,67.0,0.0
91,2,1,1,0.995,1.0,oppose,77.0,69.0,76.94906681776047,77.0,69.0,61.42665237188339,5.401933073997498
91,2,1,2,0.0,0.6,support,84.0,32.0,41.98016056418419,0.0,0.0,0.0,0.0
91,2,1,2,0.0,0.6,oppose,389.0,149.0,188.9395853281021,0.0,0.0,0.0,0.0
91,2,1,2,0.6,0.9,support,241.0,133.0,190.3746885061264,0.0,0.0,0.0,0.0
91,2,1,2,0.6,0.9,oppose,725.0,386.0,554.3759745955467,0.0,0.0,0.0,0.0
91,2,1,2,0.9,0.95,support,116.0,80.0,107.48610055446625,0.0,0.0,0.0,0.0
91,2,1,2,0.9,0.95,oppose,257.0,172.0,238.20213115215302,0.0,0.0,0.0,0.0
91,2,1,2,0.95,0.97,support,82.0,58.0,78.74761760234833,82.0,58.0,82.0,24.0
91,2,1,2,0.95,0.97,oppose,167.0,137.0,160.4811607003212,167.0,137.0,107.42081183195114,19.17938756942749
91,2,1,2,0.97,0.99,support,206.0,167.0,202.30176132917404,206.0,167.0,206.0,39.0
91,2,1,2,0.97,0.99,oppose,272.0,206.0,266.9217452406883,272.0,206.0,179.34519761800766,38.87257099151611
91,2,1,2,0.99,0.995,support,147.0,126.0,145.96432781219482,147.0,126.0,147.0,21.0
91,2,1,2,0.99,0.995,oppose,152.0,125.0,150.8912451863289,152.0,125.0,110.98371714353561,19.01966667175293
91,2,1,2,0.995,1.0,support,1813.0,1739.0,1811.904236137867,1813.0,1739.0,1813.0,74.0
91,2,1,2,0.995,1.0,oppose,429.0,385.0,428.3281637430191,429.0,385.0,317.88515400886536,30.991329431533813
91,2,1,3,0.0,0.6,support,42.0,25.0,21.686730355024338,0.0,0.0,0.0,0.0
91,2,1,3,0.0,0.6,oppose,543.0,222.0,268.19638377428055,0.0,0.0,0.0,0.0
91,2,1,3,0.6,0.9,support,238.0,135.0,186.31026196479797,0.0,0.0,0.0,0.0
91,2,1,3,0.6,0.9,oppose,942.0,466.0,716.2034148573875,0.0,0.0,0.0,0.0
91,2,1,3,0.9,0.95,support,153.0,104.0,142.18570733070374,0.0,0.0,0.0,0.0
