round,acc
1,0.1
2,0.2229
3,0.3347
4,0.3128
5,0.2616
6,0.4375
7,0.3511
8,0.4971
9,0.3836
10,0.479
11,0.5396
12,0.4563
13,0.5495
14,0.531
15,0.5453
16,0.611
17,0.4937
18,0.4727
19,0.5921
20,0.5541
21,0.6159
22,0.531
23,0.5876
24,0.617
25,0.6458
26,0.6862
27,0.6383
28,0.6379
29,0.5659
30,0.614
31,0.5609
32,0.6099
33,0.6246
34,0.6609
35,0.6663
36,0.6776
37,0.7128
38,0.7092
39,0.7126
40,0.6754
41,0.6881
42,0.6991
43,0.7054
44,0.679
45,0.7386
46,0.7253
47,0.7499
48,0.718
49,0.7189
50,0.7563
51,0.7492
52,0.7333
53,0.7395
54,0.7371
55,0.7493
56,0.7498
57,0.7449
58,0.7507
59,0.7492
60,0.7523
61,0.7533
62,0.7655
63,0.7683
64,0.7654
65,0.7467
66,0.7803
67,0.7722
68,0.7485
69,0.7659
70,0.7631
71,0.7574
72,0.7735
73,0.7797
74,0.7712
75,0.7721
76,0.7815
77,0.7647
78,0.7462
79,0.7742
80,0.7809
81,0.7832
82,0.7693
83,0.7538
84,0.7764
85,0.7779
86,0.7725
87,0.7756
88,0.7705
89,0.7734
90,0.7664
91,0.7758
92,0.7938
93,0.7643
94,0.7693
95,0.7799
96,0.7864
97,0.7798
98,0.7764
99,0.7992
100,0.7983
101,0.7972
102,0.7975
103,0.7879
104,0.7812
105,0.7995
106,0.7938
107,0.7862
108,0.7966
109,0.7931
110,0.7912
111,0.7935
112,0.797
113,0.7858
114,0.7911
115,0.7983
116,0.8047
117,0.7828
118,0.7766
119,0.7656
120,0.7912
121,0.7762
122,0.8115
123,0.7721
124,0.8006
125,0.8032
126,0.8088
127,0.815
128,0.7954
129,0.8055
130,0.7936
131,0.8101
132,0.8094
133,0.7816
134,0.7516
135,0.7791
136,0.8147
137,0.7701
138,0.8021
139,0.8187
140,0.7783
141,0.8045
142,0.8025
143,0.7767
144,0.8108
145,0.7868
146,0.7617
147,0.8148
148,0.8092
149,0.8255
150,0.8227
151,0.8154
152,0.8257
153,0.7977
154,0.8003
155,0.8125
156,0.8148
157,0.7917
158,0.8125
159,0.7855
160,0.7906
161,0.7465
162,0.8224
163,0.8058
164,0.8279
165,0.8266
166,0.8133
167,0.8242
168,0.8177
169,0.81
170,0.8034
171,0.8272
172,0.8117
173,0.8059
174,0.8013
175,0.8179
176,0.8152
177,0.815
178,0.7994
179,0.8151
180,0.7944
181,0.8035
182,0.7982
183,0.7951
184,0.8199
185,0.8208
186,0.814
187,0.8132
188,0.7769
189,0.7909
190,0.8145
191,0.733
192,0.8308
193,0.8236
194,0.806
195,0.821
196,0.8135
197,0.7905
198,0.77
199,0.8008
200,0.8044
201,0.8235
202,0.8095
203,0.8286
204,0.8091
205,0.7728
206,0.82
207,0.8186
208,0.8297
209,0.8222
210,0.8047
211,0.8239
212,0.7796
213,0.7857
214,0.7896
215,0.807
216,0.7939
217,0.8194
218,0.7951
219,0.7881
220,0.7918
221,0.8188
222,0.8299
223,0.8365
224,0.8347
225,0.8227
226,0.8235
227,0.8179
228,0.7689
229,0.817
230,0.8008
231,0.7983
232,0.7897
233,0.8307
234,0.839
235,0.8164
236,0.8343
237,0.8192
238,0.8325
239,0.8243
240,0.8345
241,0.8339
242,0.8329
243,0.8309
244,0.8224
245,0.8307
246,0.8366
247,0.8282
248,0.8357
249,0.8377
250,0.8401
251,0.8241
252,0.8307
253,0.8374
254,0.833
255,0.8332
256,0.8424
257,0.8384
258,0.8426
259,0.831
260,0.8357
261,0.8348
262,0.8465
263,0.8439
264,0.8351
265,0.8408
266,0.8415
267,0.8438
268,0.8419
269,0.8434
270,0.8484
271,0.8414
272,0.8447
273,0.8421
274,0.8439
275,0.8451
276,0.8451
277,0.8432
278,0.8436
279,0.845
280,0.8424
281,0.8484
282,0.8478
283,0.8491
284,0.8491
285,0.8439
286,0.8489
287,0.8485
288,0.8483
289,0.8506
290,0.8478
291,0.8501
292,0.8491
293,0.8498
294,0.8505
295,0.8497
296,0.8494
297,0.8503
298,0.8499
299,0.8496
300,0.8492
