round,acc
1,0.1
2,0.2229
3,0.3347
4,0.3128
5,0.2616
6,0.4375
7,0.3511
8,0.4971
9,0.3836
10,0.479
11,0.5396
12,0.4563
13,0.5495
14,0.531
15,0.5453
16,0.611
17,0.4937
18,0.4727
19,0.5921
20,0.5541
21,0.6159
22,0.531
23,0.5876
24,0.617
25,0.6458
26,0.6862
27,0.6383
28,0.6379
29,0.5659
30,0.614
31,0.5598
32,0.6058
33,0.6226
34,0.6545
35,0.6384
36,0.6695
37,0.7049
38,0.6896
39,0.6986
40,0.6136
41,0.6401
42,0.5645
43,0.614
44,0.5681
45,0.614
46,0.6051
47,0.6812
48,0.6223
49,0.6609
50,0.7112
51,0.7282
52,0.6947
53,0.6738
54,0.6158
55,0.6984
56,0.7128
57,0.7184
58,0.7277
59,0.7122
60,0.6819
61,0.67
62,0.7356
63,0.7373
64,0.7496
65,0.7106
66,0.6652
67,0.7128
68,0.632
69,0.7006
70,0.7127
71,0.7275
72,0.7492
73,0.7125
74,0.7311
75,0.6996
76,0.7373
77,0.7132
78,0.6931
79,0.7472
80,0.7007
81,0.7354
82,0.7522
83,0.6135
84,0.6837
85,0.7357
86,0.7548
87,0.7201
88,0.7593
89,0.7474
90,0.6953
91,0.7192
92,0.7722
93,0.7346
94,0.7429
95,0.7788
96,0.7903
97,0.7504
98,0.761
99,0.7743
100,0.7882
101,0.759
102,0.7589
103,0.7672
104,0.7425
105,0.7641
106,0.7599
107,0.7406
108,0.789
109,0.7574
110,0.7683
111,0.7435
112,0.736
113,0.7465
114,0.8023
115,0.7676
116,0.7601
117,0.7427
118,0.757
119,0.6939
120,0.7432
121,0.7704
122,0.8087
123,0.757
124,0.789
125,0.7747
126,0.8016
127,0.7969
128,0.8089
129,0.7726
130,0.7168
131,0.7456
132,0.78
133,0.7947
134,0.7419
135,0.8043
136,0.8007
137,0.7827
138,0.7981
139,0.8288
140,0.7604
141,0.8197
142,0.7887
143,0.7527
144,0.8175
145,0.7576
146,0.7061
147,0.8091
148,0.8243
149,0.8358
150,0.8316
151,0.8211
152,0.8246
153,0.7783
154,0.7555
155,0.8132
156,0.8219
157,0.7904
158,0.8095
159,0.7802
160,0.7739
161,0.7382
162,0.8077
163,0.7886
164,0.8089
165,0.8114
166,0.808
167,0.8104
168,0.8067
169,0.7976
170,0.8126
171,0.8239
172,0.8113
173,0.7953
174,0.794
175,0.822
176,0.8193
177,0.8155
178,0.785
179,0.8038
180,0.7777
181,0.8024
182,0.7868
183,0.7806
184,0.8181
185,0.8211
186,0.8205
187,0.8188
188,0.7822
189,0.7957
190,0.8215
191,0.7781
192,0.8397
193,0.8248
194,0.8071
195,0.8135
196,0.8173
197,0.8119
198,0.7957
199,0.816
200,0.8128
201,0.8427
202,0.8225
203,0.8374
204,0.8244
205,0.7836
206,0.8329
207,0.8406
208,0.8408
209,0.8289
210,0.8292
211,0.8345
212,0.8034
213,0.8222
214,0.8232
215,0.8356
216,0.8156
217,0.8325
218,0.8211
219,0.8308
220,0.8172
221,0.834
222,0.8405
223,0.8479
224,0.8409
225,0.8384
226,0.8384
227,0.8288
228,0.8029
229,0.8311
230,0.84
231,0.8355
232,0.8219
233,0.8456
234,0.851
235,0.8311
236,0.8514
237,0.8323
238,0.8403
239,0.8421
240,0.8445
241,0.8474
242,0.8479
243,0.8369
244,0.8425
245,0.8463
246,0.8423
247,0.8392
248,0.8533
249,0.8514
250,0.8532
251,0.8435
252,0.8485
253,0.8405
254,0.8482
255,0.8455
256,0.8516
257,0.8494
258,0.8527
259,0.8469
260,0.8507
261,0.8481
262,0.8517
263,0.8521
264,0.8526
265,0.8521
266,0.8488
267,0.8546
268,0.8535
269,0.8556
270,0.8573
271,0.8507
272,0.8568
273,0.8511
274,0.8546
275,0.855
276,0.8568
277,0.8549
278,0.8529
279,0.8559
280,0.8547
281,0.8569
282,0.8565
283,0.8586
284,0.8592
285,0.8557
286,0.8578
287,0.8589
288,0.8569
289,0.8588
290,0.8575
291,0.8586
292,0.8591
293,0.8592
294,0.8584
295,0.8583
296,0.8581
297,0.8591
298,0.859
299,0.8587
300,0.859
