round,phase,lr,gate,aux_scale,a_ratio,a_mean_weight,a_effective_mass_per_u,a_wrong_mass_per_u,b_ratio,b_mean_weight,b_effective_mass_per_u,b_wrong_mass_per_u,c_ratio,b_score_only_candidates,b_score_only_accuracy,b_score_only_admitted,L_sup_effective,L_A_effective,L_B_effective,L_proto_effective,loss_reconstructed,loss_observed,u_visits,local_steps,trust_authority_mean,trust_valid_fraction,trust_refreshes,trusted_weight_gate
1,1,0.1499958877024134,0.0,0.0,0.05389597039473684,1.0,0.05389597039473684,0.02872121710526316,0.0,0.0,0.0,0.0,0.9461040296052632,0,0.0,0,1.1554591883954248,0.031703642137946235,0.0,0.0,1.187162830533371,1.1871628301708321,194560,760,0.0,0.0,0,0.0
2,1,0.14998355126061344,0.0,0.0,0.09188939144736842,1.0,0.09188939144736842,0.04904913651315789,0.0,0.0,0.0,0.0,0.9081106085526316,0,0.0,0,0.9444903954079277,0.06102767757461391,0.0,0.0,1.0055180729825415,1.0055180719808527,194560,760,0.0,0.0,0,0.0
3,1,0.14996299202742983,0.0,0.0,0.14249074835526315,1.0,0.14249074835526315,0.07471731085526316,0.0,0.0,0.0,0.0,0.8575092516447368,0,0.0,0,0.7477427407314903,0.08963844274473894,0.0,0.0,0.8373811834762293,0.8373811825717751,194560,760,0.0,0.0,0,0.0
4,1,0.14993421225741438,0.0,0.0,0.19288137335526315,1.0,0.19288137335526315,0.09500925164473684,0.0,0.0,0.0,0.0,0.8071186266447369,0,0.0,0,0.6312946542509292,0.11625495128350131,0.0,0.0,0.7475496055344305,0.7475496047813641,194560,760,0.0,0.0,0,0.0
5,1,0.149897215106593,0.0,0.0,0.1875,1.0,0.1875,0.0844006990131579,0.0,0.0,0.0,0.0,0.8125,0,0.0,0,0.6868470145242387,0.11310764059874265,0.0,0.0,0.7999546551229814,0.799954655217497,194560,760,0.0,0.0,0,0.0
6,1,0.14985200463212037,0.0,0.0,0.2379677220394737,1.0,0.2379677220394737,0.10770970394736842,0.0,0.0,0.0,0.0,0.7620322779605263,0,0.0,0,0.45530760703902495,0.14793022270637027,0.0,0.0,0.6032378297453952,0.6032378292397449,194560,760,0.0,0.0,0,0.0
7,1,0.14979858579183433,0.0,0.0,0.25628083881578945,1.0,0.25628083881578945,0.12670641447368422,0.0,0.0,0.0,0.0,0.7437191611842106,0,0.0,0,0.446736195056062,0.1562769216343602,0.0,0.0,0.6030131166904222,0.6030131168859569,194560,760,0.0,0.0,0,0.0
8,1,0.14973696444371284,0.0,0.0,0.30703125,1.0,0.30703125,0.10691817434210527,0.0,0.0,0.0,0.0,0.69296875,0,0.0,0,0.3704472061491718,0.18063670493368256,0.0,0.0,0.5510839110828544,0.5510839100534979,194560,760,0.0,0.0,0,0.0
9,1,0.149667147345231,0.0,0.0,0.3442485608552632,1.0,0.3442485608552632,0.15990439967105263,0.0,0.0,0.0,0.0,0.6557514391447369,0,0.0,0,0.30352499693828194,0.18792449882511345,0.0,0.0,0.49144949576339536,0.4914494954637791,194560,760,0.0,0.0,0,0.0
10,1,0.14958914215262048,0.0,0.0,0.3825349506578947,1.0,0.3825349506578947,0.17369449013157895,0.0,0.0,0.0,0.0,0.6174650493421052,0,0.0,0,0.25334192971257785,0.20324513347035175,0.0,0.0,0.45658706318292963,0.4565870634623264,194560,760,0.0,0.0,0,0.0
11,1,0.1495029574200297,0.0,0.0,0.3623252467105263,1.0,0.3623252467105263,0.1939710115131579,0.0,0.0,0.0,0.0,0.6376747532894737,0,0.0,0,0.2501651401190381,0.20186643005275218,0.0,0.0,0.4520315701717903,0.45203157092787716,194560,760,0.0,0.0,0,0.0
12,1,0.14940860259858582,0.0,0.0,0.40475431743421053,1.0,0.40475431743421053,0.13753083881578948,0.0,0.0,0.0,0.0,0.5952456825657895,0,0.0,0,0.19742668504385572,0.21608487191168885,0.0,0.0,0.41351155695554453,0.41351155613205937,194560,760,0.0,0.0,0,0.0
13,1,0.14930608803535828,0.0,0.0,0.41200143914473686,1.0,0.41200143914473686,0.20215871710526315,0.0,0.0,0.0,0.0,0.5879985608552631,0,0.0,0,0.1868385466599935,0.21707826805742164,0.0,0.0,0.40391681471741514,0.4039168148056457,194560,760,0.0,0.0,0,0.0
14,1,0.14919542497222416,0.0,0.0,0.4238486842105263,1.0,0.4238486842105263,0.20865542763157896,0.0,0.0,0.0,0.0,0.5761513157894737,0,0.0,0,0.16360495967398347,0.21663399346564946,0.0,0.0,0.38023895313963296,0.38023895295827015,194560,760,0.0,0.0,0,0.0
15,1,0.14907662554463533,0.0,0.0,0.4431640625,1.0,0.4431640625,0.16240748355263157,0.0,0.0,0.0,0.0,0.5568359375,0,0.0,0,0.16176077296075067,0.223062912972742,0.0,0.0,0.3848236859334927,0.3848236867275677,194560,760,0.0,0.0,0,0.0
16,1,0.1489497027802879,0.0,0.0,0.4493626644736842,1.0,0.4493626644736842,0.1822522615131579,0.0,0.0,0.0,0.0,0.5506373355263158,0,0.0,0,0.14320190574875788,0.22596491058602144,0.0,0.0,0.3691668163347793,0.3691668160651859,194560,760,0.0,0.0,0,0.0
17,1,0.1488146705976931,0.0,0.0,0.4582082648026316,1.0,0.4582082648026316,0.20933388157894736,0.0,0.0,0.0,0.0,0.5417917351973685,0,0.0,0,0.1494623319196858,0.22577159540041497,0.0,0.0,0.37523392732010075,0.37523392780046716,194560,760,0.0,0.0,0,0.0
18,1,0.1486715438046516,0.0,0.0,0.4541221217105263,1.0,0.4541221217105263,0.16237150493421051,0.0,0.0,0.0,0.0,0.5458778782894737,0,0.0,0,0.1751150564027117,0.2182757145186004,0.0,0.0,0.3933907709213121,0.39339077141331996,194560,760,0.0,0.0,0,0.0
19,1,0.14852033809662915,0.0,0.0,0.44879728618421055,1.0,0.44879728618421055,0.20782277960526316,0.0,0.0,0.0,0.0,0.5512027138157894,0,0.0,0,0.12980293404237417,0.22207645308226348,0.0,0.0,0.3518793871246376,0.3518793865450119,194560,760,0.0,0.0,0,0.0
20,1,0.14836107005503543,0.0,0.0,0.48155838815789476,1.0,0.48155838815789476,0.2056897615131579,0.0,0.0,0.0,0.0,0.5184416118421052,0,0.0,0,0.122704286291264,0.22581551918073706,0.0,0.0,0.34851980547200107,0.3485198060540777,194560,760,0.0,0.0,0,0.0
21,1,0.14819375714540606,0.0,0.0,0.5043225740131579,1.0,0.5043225740131579,0.19431537828947368,0.0,0.0,0.0,0.0,0.4956774259868421,0,0.0,0,0.11412102822091823,0.22321168553868406,0.0,0.0,0.3373327137596023,0.33733271321183755,194560,760,0.0,0.0,0,0.0
22,1,0.14801841771548702,0.0,0.0,0.5011204769736842,1.0,0.5011204769736842,0.1669973273026316,0.0,0.0,0.0,0.0,0.4988795230263158,0,0.0,0,0.10154003708402773,0.22587922047823666,0.0,0.0,0.3274192575622644,0.32741925759535084,194560,760,0.0,0.0,0,0.0
23,1,0.1478350709932227,0.0,0.0,0.4723889802631579,1.0,0.4723889802631579,0.19767166940789474,0.0,0.0,0.0,0.0,0.5276110197368421,0,0.0,0,0.11776052847333056,0.23182056232502585,0.0,0.0,0.3495810907983564,0.3495810907922293,194560,760,0.0,0.0,0,0.0
24,1,0.14764373708464731,0.0,0.0,0.5345343338815789,1.0,0.5345343338815789,0.20624486019736843,0.0,0.0,0.0,0.0,0.46546566611842105,0,0.0,0,0.0790472082665043,0.22576501074394112,0.0,0.0,0.3048122190104454,0.3048122187586207,194560,760,0.0,0.0,0,0.0
25,1,0.1474444369716801,0.0,0.0,0.5336040296052632,1.0,0.5336040296052632,0.13865131578947368,0.0,0.0,0.0,0.0,0.46639597039473685,0,0.0,0,0.10206503458811264,0.23161650161798064,0.0,0.0,0.3336815362060933,0.33368153693644625,194560,760,0.0,0.0,0,0.0
26,1,0.14723719250982437,0.0,0.0,0.535387541118421,1.0,0.535387541118421,0.18333675986842105,0.0,0.0,0.0,0.0,0.4646124588815789,0,0.0,0,0.07033674075317226,0.233387413179796,0.0,0.0,0.30372415393296825,0.3037241543790227,194560,760,0.0,0.0,0,0.0
27,1,0.14702202642577075,0.0,0.0,0.5413805509868421,1.0,0.5413805509868421,0.22081620065789473,0.0,0.0,0.0,0.0,0.4586194490131579,0,0.0,0,0.06897052747050399,0.23061050459938615,0.0,0.0,0.2995810320698901,0.2995810322855648,194560,760,0.0,0.0,0,0.0
28,1,0.14679896231490497,0.0,0.0,0.5532329358552631,1.0,0.5532329358552631,0.23042763157894736,0.0,0.0,0.0,0.0,0.4467670641447368,0,0.0,0,0.07134339876448441,0.23239991432546,0.0,0.0,0.3037433130899444,0.30374331264511534,194560,760,0.0,0.0,0,0.0
29,1,0.14656802463872076,0.0,0.0,0.5315224095394737,1.0,0.5315224095394737,0.16749588815789473,0.0,0.0,0.0,0.0,0.46847759046052634,0,0.0,0,0.08673749261897204,0.23187901539433944,0.0,0.0,0.3186165080133115,0.3186165079474449,194560,760,0.0,0.0,0,0.0
30,1,0.14632923872213652,0.0,0.0,0.5287571957236842,1.0,0.5287571957236842,0.22862356085526317,0.0,0.0,0.0,0.0,0.47124280427631576,0,0.0,0,0.08769048632637254,0.23584052928184207,0.0,0.0,0.3235310156082146,0.3235310158643283,194560,760,0.0,0.0,0,0.0
31,1,0.14608263075071895,0.0,0.0,0.5485145970394737,0.9999823142514874,0.548504896148255,0.18223180968412442,0.0,0.0,0.0,0.0,0.4514854029605263,0,0.0,0,0.09092346297050091,0.2285876601836399,0.0,0.0,0.3195111231541408,0.3195111226878668,194560,760,0.0013184472668064317,0.9764237253289474,40,0.0027390523158633555
32,1,0.14582822776781112,0.0,0.0,0.5017835115131579,0.9999068274445186,0.5017367590610918,0.21678094110500656,0.0,0.0,0.0,0.0,0.4982164884868421,0,0.0,0,0.09950688276501177,0.22582565437218077,0.0,0.0,0.32533253713719257,0.32533253700913567,194560,760,0.005077098181171,0.9757041529605263,40,0.010926199633097156
33,1,0.14556605767156694,0.0,0.0,0.5288445723684211,0.9998109848870138,0.5287446127518227,0.20218934381478712,0.0,0.0,0.0,0.0,0.47115542763157897,0,0.0,0,0.07012952601408438,0.2247005402159534,0.0,0.0,0.29483006623003777,0.29483006637739506,194560,760,0.011594783926480695,0.9644171463815789,40,0.024471741852423234
34,1,0.14529614921189185,0.0,0.0,0.5469058388157895,0.9997311565160478,0.5467588067446885,0.21946706250432488,0.0,0.0,0.0,0.0,0.45309416118421053,0,0.0,0,0.0730673412204181,0.22680562874792437,0.0,0.0,0.29987296996834245,0.29987296950268116,194560,760,0.02052876344440799,0.9609220805921053,40,0.04322727117869957
35,1,0.14501853198729012,0.0,0.0,0.5671669407894737,0.999576080859617,0.5669265078674806,0.2246312324570394,0.0,0.0,0.0,0.0,0.43283305921052634,0,0.0,0,0.056437504265494154,0.23079335143495547,0.0,0.0,0.2872308557004496,0.28723085581472046,194560,760,0.032489141476291575,0.9653114720394737,40,0.06698729810778065
36,1,0.14473323644161884,0.0,0.0,0.5623355263157894,0.9994779036874205,0.5620419330110675,0.20838604524094415,0.0,0.0,0.0,0.0,0.4376644736842105,0,0.0,0,0.05949606366890581,0.23568511955243976,0.0,0.0,0.29518118322134557,0.2951811835169792,194560,760,0.04576336501019174,0.9656301398026316,40,0.09549150281252627
37,1,0.14444029386074964,0.0,0.0,0.5392526726973684,0.9990142848735116,0.5387211231808914,0.21933827387953275,0.0,0.0,0.0,0.0,0.46074732730263157,0,0.0,0,0.05888031375208429,0.22994227275056275,0.0,0.0,0.288822586502647,0.288822586520722,194560,760,0.060075663816870045,0.9607935855263158,40,0.12842758726130288
38,1,0.14413973636913752,0.0,0.0,0.5938013980263158,0.9990265000880791,0.5932233324176387,0.15276092150934825,0.0,0.0,0.0,0.0,0.40619860197368424,0,0.0,0,0.04882974540171409,0.23519510325828666,0.0,0.0,0.2840248486600008,0.2840248480439186,194560,760,0.08075762695975994,0.9812397203947368,40,0.16543469682057088
39,1,0.14383159692629857,0.0,0.0,0.5968081825657895,0.9985881762547081,0.5959655946022586,0.16368531732219516,0.0,0.0,0.0,0.0,0.4031918174342105,0,0.0,0,0.0460418650921814,0.2329436251011334,0.0,0.0,0.2789854901933148,0.2789854902578028,194560,760,0.09825830636546015,0.9614977384868421,40,0.2061073738537634
40,1,0.14351590932319505,0.0,0.0,0.6159025493421053,0.9988071839260078,0.6151678908812372,0.18320256373599955,0.0,0.0,0.0,0.0,0.38409745065789475,0,0.0,0,0.05025056632447032,0.2304532732030279,0.0,0.0,0.2807038395274982,0.2807038391695211,194560,760,0.11965268875325197,0.9529348273026316,40,0.24999999999999997
41,1,0.14319270817853014,0.0,0.0,0.6198961759868421,0.9978158463669263,0.618542227501932,0.17434396615962644,0.0,0.0,0.0,0.0,0.3801038240131579,0,0.0,0,0.054796438975149374,0.23104199605356707,0.0,0.0,0.2858384350287164,0.28583843538439585,194560,760,0.1444554651254102,0.9643863075657895,40,0.2966316784620998
42,1,0.14286202893495145,0.0,0.0,0.5655427631578948,0.9978431582676215,0.5643229769248711,0.2090249051021314,0.0,0.0,0.0,0.0,0.43445723684210524,0,0.0,0,0.06645609396938724,0.23276927805456676,0.0,0.0,0.299225372023954,0.2992253722524957,194560,760,0.1647303673095609,0.9648283305921053,40,0.3454915028125263
43,1,0.14252390785516453,0.0,0.0,0.5590152138157894,0.9968936861452464,0.5572787371120955,0.19893421611601586,0.0,0.0,0.0,0.0,0.44098478618421055,0,0.0,0,0.06086074696673007,0.22965718382283262,0.0,0.0,0.2905179307895627,0.29051793084332816,194560,760,0.188706253312136,0.9572574013157895,40,0.39604415459112036
44,1,0.14217838201795596,0.0,0.0,0.5624383223684211,0.9969526097000344,0.5607243532805066,0.21137038451668463,0.0,0.0,0.0,0.0,0.43756167763157894,0,0.0,0,0.06374831244190174,0.22216878787271285,0.0,0.0,0.2859171003146146,0.28591709996720677,194560,760,0.2093496824075517,0.9418071546052632,40,0.4477357683661733
45,1,0.14182548931412758,0.0,0.0,0.5667660361842105,0.9954344364331273,0.5641784298184671,0.25975358828068956,0.0,0.0,0.0,0.0,0.4332339638157895,0,0.0,0,0.06305509249612345,0.23375493812521822,0.0,0.0,0.2968100306213417,0.2968100307215201,194560,760,0.2384495534002781,0.9586245888157895,40,0.49999999999999994
46,1,0.14146526844234109,0.0,0.0,0.6058490953947369,0.9951462544614476,0.6029084580509286,0.19729537371864642,0.0,0.0,0.0,0.0,0.39415090460526314,0,0.0,0,0.051477209407695276,0.22550730501350605,0.0,0.0,0.2769845144212013,0.27698451411959374,194560,760,0.27245534197672416,0.9663394325657895,40,0.5522642316338265
