round,phase,client,pred_class,s_lo,s_hi,geometry_group,visits,correct,confidence_sum,a_visits,a_correct,a_weight,a_wrong_weight
91,2,1,0,0.0,0.6,unknown,18.0,0.0,8.52322393655777,0.0,0.0,0.0,0.0
91,2,1,0,0.6,0.9,unknown,29.0,0.0,22.357186377048492,0.0,0.0,0.0,0.0
91,2,1,0,0.9,0.95,unknown,6.0,0.0,5.607127070426941,0.0,0.0,0.0,0.0
91,2,1,0,0.95,0.97,unknown,2.0,0.0,1.9197920560836792,2.0,0.0,2.0,2.0
91,2,1,0,0.97,0.99,unknown,2.0,0.0,1.9605661034584045,2.0,0.0,2.0,2.0
91,2,1,0,0.995,1.0,unknown,6.0,0.0,5.990751385688782,6.0,0.0,6.0,6.0
91,2,1,1,0.0,0.6,oppose,49.0,3.0,22.453500479459763,0.0,0.0,0.0,0.0
91,2,1,1,0.6,0.9,oppose,56.0,8.0,41.87316930294037,0.0,0.0,0.0,0.0
91,2,1,1,0.9,0.95,oppose,8.0,3.0,7.4787967801094055,0.0,0.0,0.0,0.0
91,2,1,1,0.95,0.97,oppose,7.0,4.0,6.7137574553489685,7.0,4.0,6.670559406280518,2.823196232318878
91,2,1,1,0.97,0.99,oppose,10.0,3.0,9.817992389202118,10.0,3.0,9.342389464378357,6.406720519065857
91,2,1,1,0.99,0.995,oppose,3.0,2.0,2.98246306180954,3.0,2.0,2.8777233958244324,0.9414610862731934
91,2,1,1,0.995,1.0,support,67.0,66.0,66.99935674667358,67.0,66.0,67.0,1.0
91,2,1,1,0.995,1.0,oppose,77.0,70.0,76.95725935697556,77.0,70.0,75.87839156389236,6.708693325519562
91,2,1,2,0.0,0.6,support,132.0,51.0,65.72010070085526,0.0,0.0,0.0,0.0
91,2,1,2,0.0,0.6,oppose,321.0,105.0,156.7877612709999,0.0,0.0,0.0,0.0
91,2,1,2,0.6,0.9,support,299.0,166.0,230.15223836898804,0.0,0.0,0.0,0.0
91,2,1,2,0.6,0.9,oppose,665.0,320.0,510.1672127842903,0.0,0.0,0.0,0.0
91,2,1,2,0.9,0.95,support,122.0,81.0,112.98060119152069,0.0,0.0,0.0,0.0
91,2,1,2,0.9,0.95,oppose,219.0,134.0,202.96326106786728,0.0,0.0,0.0,0.0
91,2,1,2,0.95,0.97,support,97.0,69.0,93.26414358615875,97.0,69.0,97.0,28.0
91,2,1,2,0.95,0.97,oppose,136.0,91.0,130.63992404937744,136.0,91.0,128.94835871458054,42.53108727931976
91,2,1,2,0.97,0.99,support,255.0,202.0,250.42680782079697,255.0,202.0,255.0,53.0
91,2,1,2,0.97,0.99,oppose,280.0,212.0,274.9133852124214,280.0,212.0,268.2923814058304,64.63915836811066
