round,acc
1,0.1
2,0.2229
3,0.3347
4,0.3128
5,0.2616
6,0.4375
7,0.3511
8,0.4971
9,0.3836
10,0.479
11,0.5396
12,0.4563
13,0.5495
14,0.531
15,0.5453
16,0.611
17,0.4937
18,0.4727
19,0.5921
20,0.5541
21,0.6159
22,0.531
23,0.5876
24,0.617
25,0.6458
26,0.6862
27,0.6383
28,0.6379
29,0.5659
30,0.614
31,0.5586
32,0.6163
33,0.6264
34,0.6411
35,0.638
36,0.6732
37,0.6875
38,0.6707
39,0.7055
40,0.6126
41,0.6404
42,0.5811
43,0.6252
44,0.5554
45,0.6187
46,0.6203
47,0.6885
48,0.6011
49,0.6702
50,0.7246
51,0.7163
52,0.6844
53,0.6626
54,0.6134
55,0.6916
56,0.7045
57,0.6921
58,0.7285
59,0.6962
60,0.6841
61,0.6636
62,0.7412
63,0.7429
64,0.7493
65,0.6997
66,0.6268
67,0.7026
68,0.6284
69,0.7001
70,0.7089
71,0.7243
72,0.7518
73,0.7158
74,0.7241
75,0.7066
76,0.7417
77,0.7126
78,0.6819
79,0.7406
80,0.6844
81,0.7319
82,0.7552
83,0.6213
84,0.6867
85,0.7298
86,0.7526
87,0.7164
88,0.7518
89,0.734
90,0.6973
91,0.7349
92,0.761
93,0.7414
94,0.734
95,0.7855
96,0.7806
97,0.7278
98,0.7668
99,0.7746
100,0.7895
101,0.7754
102,0.7486
103,0.7595
104,0.74
105,0.758
106,0.7517
107,0.7461
108,0.795
109,0.7737
110,0.7747
111,0.7435
112,0.7282
113,0.7379
114,0.7862
115,0.7687
116,0.7731
117,0.7628
118,0.7598
119,0.7066
120,0.7389
121,0.7846
122,0.8017
123,0.739
124,0.7849
125,0.7637
126,0.802
127,0.7982
128,0.7986
129,0.7822
130,0.7286
131,0.7633
132,0.7959
133,0.7753
134,0.7303
135,0.8105
136,0.811
137,0.7795
138,0.7934
139,0.8292
140,0.7655
141,0.8297
142,0.8036
143,0.7669
144,0.8139
145,0.772
146,0.725
147,0.8128
148,0.8205
149,0.8353
150,0.8196
151,0.8194
152,0.8229
153,0.7723
154,0.7565
155,0.814
156,0.8247
157,0.7982
158,0.8064
159,0.7724
160,0.7713
161,0.7249
162,0.8195
163,0.7876
164,0.8116
165,0.8087
166,0.811
167,0.8143
168,0.8076
169,0.7905
170,0.8147
171,0.8206
172,0.8217
173,0.788
174,0.8174
175,0.8184
176,0.815
177,0.819
178,0.8065
179,0.8075
180,0.7797
181,0.8033
182,0.7925
183,0.7899
184,0.815
185,0.8295
186,0.828
187,0.8164
188,0.7827
189,0.7784
190,0.8277
191,0.7856
192,0.8438
193,0.8333
194,0.8153
195,0.816
196,0.8232
197,0.81
198,0.7776
199,0.8118
200,0.8127
201,0.8411
202,0.8194
203,0.8278
204,0.8184
205,0.7939
206,0.8299
207,0.8332
208,0.8434
209,0.8257
210,0.8276
211,0.8366
212,0.8066
213,0.8199
214,0.8258
215,0.8395
216,0.8228
217,0.8364
218,0.8243
219,0.8295
220,0.8292
221,0.8299
222,0.8393
223,0.8442
224,0.8395
225,0.835
226,0.8347
227,0.8278
228,0.8048
229,0.8312
230,0.8407
231,0.8267
232,0.8316
233,0.8461
234,0.8515
235,0.8338
236,0.8491
237,0.8337
238,0.8392
239,0.8411
240,0.8438
241,0.8446
242,0.8437
243,0.842
244,0.8406
245,0.843
246,0.8443
247,0.8408
248,0.853
249,0.8502
250,0.8477
251,0.8376
252,0.8436
253,0.8424
254,0.8442
255,0.8455
256,0.8504
257,0.8484
258,0.8465
259,0.846
260,0.8451
261,0.8467
262,0.8496
263,0.8509
264,0.8483
265,0.8488
266,0.8485
267,0.8517
268,0.8523
269,0.8508
270,0.8534
271,0.8492
272,0.8546
273,0.8517
274,0.8541
275,0.8534
276,0.8564
277,0.8544
278,0.8513
279,0.8539
280,0.8526
281,0.8544
282,0.8552
283,0.8565
284,0.8573
285,0.8542
286,0.8551
287,0.8564
288,0.8553
289,0.8562
290,0.8545
291,0.8544
292,0.8564
293,0.8564
294,0.8564
295,0.8547
296,0.8583
297,0.8578
298,0.8575
299,0.8571
300,0.8564
301,0.8568
302,0.856
303,0.8559
304,0.8577
305,0.8569
306,0.8542
307,0.8573
308,0.8573
309,0.8568
310,0.8571
311,0.8561
312,0.8561
313,0.8581
314,0.858
315,0.8567
316,0.8548
317,0.8562
318,0.8584
319,0.8555
320,0.8562
321,0.8552
322,0.8577
323,0.8572
324,0.8575
325,0.8578
326,0.8559
327,0.855
328,0.8584
329,0.8541
330,0.8557
331,0.8563
332,0.8582
333,0.8571
334,0.8553
335,0.8566
336,0.8579
337,0.8573
338,0.8579
339,0.856
340,0.857
341,0.857
342,0.857
343,0.8556
344,0.8563
345,0.8577
346,0.8571
347,0.8579
348,0.8584
349,0.8562
350,0.8577
351,0.857
352,0.859
353,0.8573
354,0.8579
355,0.8595
356,0.8569
357,0.856
358,0.8568
359,0.8558
360,0.8551
361,0.8579
362,0.8586
363,0.8577
364,0.8567
365,0.858
366,0.8568
367,0.8577
368,0.8571
369,0.8558
370,0.8565
371,0.8571
372,0.8566
373,0.8552
374,0.8569
375,0.8585
376,0.8577
377,0.8562
378,0.8562
379,0.8567
380,0.8589
381,0.8571
382,0.8562
383,0.8547
384,0.8586
385,0.8581
386,0.8578
387,0.8585
388,0.8562
389,0.8578
390,0.8568
391,0.8575
392,0.857
393,0.8578
