round,acc
1,0.1007
2,0.244
3,0.3258
4,0.324
5,0.3015
6,0.4436
7,0.3626
8,0.498
9,0.3973
10,0.4952
11,0.525
12,0.4734
13,0.5654
14,0.5521
15,0.5269
16,0.6256
17,0.5002
18,0.453
19,0.5793
20,0.5442
21,0.6223
22,0.5251
23,0.5976
24,0.6123
25,0.6265
26,0.6566
27,0.6211
28,0.6118
29,0.5518
30,0.618
31,0.5537
32,0.5947
33,0.6525
34,0.6652
35,0.6484
36,0.6572
37,0.6794
38,0.6807
39,0.6998
40,0.6407
41,0.6362
42,0.6278
43,0.6388
44,0.5934
45,0.6328
46,0.6512
47,0.6827
48,0.6173
49,0.6645
50,0.7238
51,0.7074
52,0.6782
53,0.6809
54,0.5949
55,0.6955
56,0.7064
57,0.7184
58,0.7291
59,0.701
60,0.6861
61,0.6624
62,0.7213
63,0.7281
64,0.7464
65,0.7095
66,0.675
67,0.7222
68,0.6217
69,0.7054
70,0.6911
71,0.7188
72,0.7439
73,0.7261
74,0.7156
75,0.6985
76,0.7285
77,0.7153
78,0.6667
79,0.7395
80,0.6917
81,0.7359
82,0.737
83,0.667
84,0.6985
85,0.7199
86,0.7385
87,0.715
88,0.7246
89,0.7344
90,0.6926
91,0.7297
92,0.762
93,0.7295
94,0.7364
95,0.7592
96,0.7766
97,0.7198
98,0.7341
99,0.768
100,0.7782
101,0.7446
102,0.7646
103,0.7543
104,0.7157
105,0.7339
106,0.7433
107,0.729
108,0.7812
109,0.7473
110,0.7687
111,0.7465
112,0.7332
113,0.7533
114,0.7942
115,0.7796
116,0.7637
117,0.7293
118,0.7329
119,0.6835
120,0.7487
121,0.7759
122,0.7895
123,0.7465
124,0.7768
125,0.7635
126,0.7988
127,0.8003
128,0.7851
129,0.7677
130,0.7343
131,0.782
132,0.7898
133,0.7902
134,0.7235
135,0.7958
136,0.8053
137,0.7939
138,0.7848
139,0.8139
140,0.7731
141,0.8058
142,0.8035
143,0.7517
144,0.8069
145,0.7721
146,0.7379
147,0.795
148,0.8167
149,0.8113
150,0.8183
151,0.8053
152,0.8112
153,0.7839
154,0.7599
155,0.8013
156,0.8034
157,0.7908
158,0.7954
159,0.773
160,0.7634
161,0.7405
162,0.8148
163,0.8132
164,0.8178
165,0.8073
166,0.8039
167,0.8183
168,0.8132
169,0.7982
170,0.8122
171,0.804
172,0.8106
173,0.8034
174,0.7925
175,0.813
176,0.8147
177,0.7921
178,0.776
179,0.8003
180,0.7753
181,0.8005
182,0.7979
183,0.7787
184,0.8051
185,0.8168
186,0.8166
187,0.8105
188,0.7754
189,0.7951
190,0.8165
191,0.7867
192,0.8217
193,0.8218
194,0.7931
195,0.8137
196,0.8091
197,0.801
198,0.7971
199,0.8056
200,0.8103
201,0.8219
202,0.8101
203,0.8236
204,0.7969
205,0.8056
206,0.818
207,0.8253
208,0.8218
209,0.8176
210,0.8127
211,0.8245
212,0.7996
213,0.8117
214,0.8132
215,0.8175
216,0.8128
217,0.8043
218,0.8022
219,0.8114
220,0.8192
221,0.8138
222,0.8269
223,0.8303
224,0.8221
225,0.8203
226,0.8197
227,0.8223
228,0.8105
229,0.8235
230,0.8224
231,0.8197
232,0.8181
233,0.8299
234,0.8294
235,0.8167
236,0.8293
237,0.8137
238,0.8221
239,0.8236
240,0.8268
241,0.8269
242,0.827
243,0.8254
244,0.8286
245,0.8286
246,0.8311
247,0.8241
248,0.8316
249,0.8296
250,0.8289
251,0.8204
252,0.8221
253,0.826
254,0.8244
255,0.8269
256,0.8296
257,0.8279
258,0.8315
259,0.8254
260,0.8274
261,0.8294
262,0.8301
263,0.8285
264,0.8295
265,0.8327
266,0.8316
267,0.8314
268,0.8338
269,0.8314
270,0.8313
271,0.8315
272,0.8372
273,0.8315
274,0.831
275,0.8335
276,0.8351
277,0.8351
278,0.8315
279,0.8345
280,0.8308
281,0.8326
282,0.8341
283,0.8342
284,0.8353
285,0.8316
286,0.8333
287,0.8326
288,0.8338
289,0.8347
290,0.8346
291,0.8339
292,0.8335
293,0.8339
294,0.8338
295,0.8315
296,0.8353
297,0.8363
298,0.836
299,0.8343
300,0.834
