round,acc
1,0.1
2,0.2439
3,0.3112
4,0.305
5,0.2881
6,0.4311
7,0.3312
8,0.4141
9,0.3562
10,0.4316
11,0.4901
12,0.4668
13,0.5594
14,0.5059
15,0.5575
16,0.5951
17,0.5137
18,0.5288
19,0.6147
20,0.5629
21,0.619
22,0.5474
23,0.5893
24,0.599
25,0.6117
26,0.6409
27,0.584
28,0.5827
29,0.5054
30,0.5764
31,0.5763
32,0.59
33,0.5686
34,0.6454
35,0.6139
36,0.6346
37,0.6631
38,0.6583
39,0.6674
40,0.5507
41,0.5851
42,0.5987
43,0.5929
44,0.5406
45,0.5765
46,0.5489
47,0.6551
48,0.5661
49,0.6195
50,0.6773
51,0.6774
52,0.6702
53,0.6601
54,0.5684
55,0.6078
56,0.6521
57,0.632
58,0.6817
59,0.6917
60,0.6591
61,0.6306
62,0.696
63,0.6665
64,0.7045
65,0.6373
66,0.5593
67,0.6279
68,0.5655
69,0.6238
70,0.6397
71,0.6669
72,0.6918
73,0.6201
74,0.6836
75,0.6425
76,0.6879
77,0.6549
78,0.6566
79,0.6868
80,0.6214
81,0.6699
82,0.6593
83,0.5345
84,0.6254
85,0.6785
86,0.6928
87,0.6535
88,0.7035
89,0.6716
90,0.6168
91,0.6572
92,0.6749
93,0.7023
94,0.6845
95,0.7158
96,0.7273
97,0.6596
98,0.6974
99,0.6894
100,0.7229
101,0.6868
102,0.6881
103,0.7027
104,0.6775
105,0.6531
106,0.6711
107,0.6714
108,0.7363
109,0.6559
110,0.726
111,0.6982
112,0.6823
113,0.7025
114,0.72
115,0.7097
116,0.6823
117,0.705
118,0.7015
119,0.6786
120,0.6775
121,0.7322
122,0.7502
123,0.7255
124,0.7222
125,0.6933
126,0.7257
127,0.7201
128,0.7559
129,0.7185
130,0.6958
131,0.69
132,0.6857
133,0.7268
134,0.6784
135,0.7851
136,0.7838
137,0.7651
138,0.7178
139,0.741
140,0.6926
141,0.7859
142,0.775
143,0.7148
144,0.7655
145,0.6835
146,0.6821
147,0.7314
148,0.7954
149,0.7842
150,0.7865
151,0.7682
152,0.7798
153,0.7728
154,0.7048
155,0.7176
156,0.7177
157,0.7325
158,0.7622
159,0.7488
160,0.7479
161,0.7068
162,0.7556
163,0.7459
164,0.7517
165,0.7333
166,0.7599
167,0.7843
168,0.7716
169,0.769
170,0.7439
171,0.7725
172,0.7618
173,0.7482
174,0.6415
175,0.739
176,0.7494
177,0.7127
178,0.7492
179,0.7501
180,0.7471
181,0.7348
182,0.764
183,0.7575
184,0.7773
185,0.7745
186,0.7701
187,0.8063
188,0.7798
189,0.7976
190,0.8009
191,0.7706
192,0.7945
193,0.8081
194,0.7619
195,0.7754
196,0.7703
197,0.7706
198,0.7541
199,0.7445
200,0.7665
201,0.772
202,0.7802
203,0.7755
204,0.7672
205,0.7762
206,0.7893
207,0.7969
208,0.798
209,0.7862
210,0.7806
211,0.7988
212,0.7781
213,0.7947
214,0.7945
215,0.7817
216,0.7478
217,0.767
218,0.7756
219,0.7885
220,0.7729
221,0.8039
222,0.8058
223,0.8032
224,0.7992
225,0.8019
226,0.7863
227,0.7968
228,0.7817
229,0.7898
230,0.7928
231,0.7877
232,0.7896
233,0.8056
234,0.8059
235,0.7934
236,0.8091
237,0.7885
238,0.7978
239,0.7949
240,0.807
241,0.7998
242,0.8024
243,0.8007
244,0.7883
245,0.8052
246,0.8029
247,0.8013
248,0.8058
249,0.8035
250,0.8011
251,0.7955
252,0.8008
253,0.7942
254,0.7925
255,0.8081
256,0.7975
257,0.7996
258,0.8077
259,0.7997
260,0.8028
261,0.8024
262,0.8061
263,0.7889
264,0.7838
265,0.7965
266,0.7996
267,0.8051
268,0.7983
269,0.8017
270,0.8067
271,0.8042
272,0.8034
273,0.8028
274,0.7995
275,0.8072
276,0.8095
277,0.8047
278,0.8023
279,0.8007
280,0.8067
281,0.8039
282,0.8011
283,0.8045
284,0.803
285,0.7995
286,0.8067
287,0.8052
