round,client,fedavg_weight,L_sup,L_A,L_B,L_proto,L_feature,loss,a_count,b_count,c_count,a_correct,b_correct,c_correct,a_wrong_weight,u_visits,geometry_mix,geometry_valid,target_entropy,teacher_correct,fused_correct,correction_good,correction_bad,feature_std,steps
1,1,0.125,127.44842857122421,0.0,0.0,0.0,0.0,127.44842857122421,0.0,2370.0,21950.0,0.0,477.0,3957.0,0.0,24320.0,0.0,0.0,39394.40589904785,4434.0,4434.0,0.0,0.0,2.7192995995283127,95
1,17,0.125,94.48606535792351,0.0,0.0,0.0,0.0,94.48606535792351,0.0,129.0,24191.0,0.0,10.0,1518.0,0.0,24320.0,0.0,0.0,40157.92120361328,1528.0,1528.0,0.0,0.0,2.731867553666234,95
1,2,0.125,96.73289179801941,0.0,0.0,0.0,0.0,96.73289179801941,0.0,9.0,24311.0,0.0,0.0,4665.0,0.0,24320.0,0.0,0.0,41199.15963745117,4665.0,4665.0,0.0,0.0,2.7449799571186304,95
1,5,0.125,110.69396662712097,0.0,0.0,0.0,0.0,110.69396662712097,0.0,2462.0,21858.0,0.0,99.0,2823.0,0.0,24320.0,0.0,0.0,34000.4860534668,2922.0,2922.0,0.0,0.0,2.773679096251726,95
1,11,0.125,113.76720952987671,0.0,0.0,0.0,0.0,113.76720952987671,0.0,401.0,23919.0,0.0,84.0,3531.0,0.0,24320.0,0.0,0.0,47006.02801513672,3615.0,3615.0,0.0,0.0,2.70755578763783,95
1,0,0.125,107.88284105062485,0.0,0.0,0.0,0.0,107.88284105062485,0.0,16.0,24304.0,0.0,7.0,1641.0,0.0,24320.0,0.0,0.0,48250.59716796875,1648.0,1648.0,0.0,0.0,2.7415136229246855,95
1,18,0.125,103.405209004879,0.0,0.0,0.0,0.0,103.405209004879,0.0,234.0,24086.0,0.0,93.0,2290.0,0.0,24320.0,0.0,0.0,41393.71667480469,2383.0,2383.0,0.0,0.0,2.7490912117064,95
1,6,0.125,112.86314451694489,0.0,0.0,0.0,0.0,112.86314451694489,0.0,652.0,23668.0,0.0,146.0,4398.0,0.0,24320.0,0.0,0.0,41017.36895751953,4544.0,4544.0,0.0,0.0,2.8427904210984707,95
2,18,0.125,72.01101860404015,0.0,0.0,0.0,0.0,72.01101860404015,3.0,16646.0,7671.0,2.0,1862.0,522.0,0.0,24320.0,0.0,0.0,31261.389068603516,2386.0,2386.0,0.0,0.0,2.808538790792227,95
2,7,0.125,106.54083979129791,0.0,0.0,0.0,0.0,106.54083979129791,0.0,24.0,24296.0,0.0,12.0,2339.0,0.0,24320.0,0.0,0.0,42381.344787597656,2351.0,2351.0,0.0,0.0,3.0190938115119934,95
