round,phase,acc,lr,ramp,loss,L_sup,L_A,L_B,L_proto,L_feature,a_ratio,a_prec,b_ratio,b_prec,c_ratio,c_prec,a_wrong_weight,geometry_mix,geometry_valid,target_entropy,teacher_correct,fused_correct,correction_good,correction_bad,feature_std,global_valid_classes,global_prototypes,prototype_upload_bytes,update_norm_mean,clip_fraction,clip_cap,seconds,steps,u_visits,best_acc,best_round
1,main,0.1,0.1499958877024134,0.0,1.1411575742850177,1.1411575742850177,0.0,0.0,0.0,0.0,0.0,0.0,0.032241981907894735,0.1460226366969552,0.9677580180921053,0.13183597380594517,0.0,0.0,0.0,1.7085715646022244,0.13229337993421053,0.13229337993421053,0.0,0.0,0.028961549013068803,10,30,247120,14.760445832984406,0.0,29.806563668653357,127.33317995071411,760,194560.0,0.1,1
2,main,0.2439,0.1499835512606134,0.0,0.9225934873678182,0.9225934873678182,0.0,0.0,0.0,0.0,1.5419407894736843e-05,0.6666666666666666,0.14522512335526316,0.1354804459387719,0.8547594572368421,0.12904835780688145,0.0,0.0,0.0,1.5723434952528854,0.12999074835526317,0.12999074835526317,0.0,0.0,0.03135635568025081,10,30,247120,12.222518716532722,0.0,29.806563668653357,131.20952081680298,760,194560.0,0.2439,2
3,main,0.3112,0.14996299202742985,0.0,0.7522928114980459,0.7522928114980459,0.0,0.0,0.0,0.0,0.0005242598684210526,0.696078431372549,0.13346011513157896,0.24994223214973427,0.866015625,0.15753270184934595,0.0,0.0,0.0,1.5720036145887877,0.17014802631578949,0.17014802631578949,0.0,0.0,0.03175569325440416,10,30,247120,11.882576717500312,0.0,29.269768222363567,132.83446955680847,760,194560.0,0.3112,3
4,main,0.305,0.14993421225741438,0.0,0.6376113530346438,0.6376113530346438,0.0,0.0,0.0,0.0,0.0023180509868421053,0.6762749445676275,0.23482216282894736,0.27957624707247136,0.7628597861842106,0.1820215331958874,0.0,0.0,0.0,1.4679959705785701,0.20607524671052632,0.20607524671052632,0.0,0.0,0.032511642646338594,10,30,247120,11.629623005068,0.0,28.73173262210709,132.5655746459961,760,194560.0,0.3112,3
5,main,0.2881,0.149897215106593,0.0,0.7159227299258897,0.7159227299258897,0.0,0.0,0.0,0.0,0.0030736019736842105,0.6722408026755853,0.15502158717105263,0.34047279599482777,0.8419048108552631,0.17218454099791822,0.0,0.0,0.0,1.5363677014645778,0.19980982730263158,0.19980982730263158,0.0,0.0,0.034022028670695266,10,30,247120,12.273253616253815,0.0,28.277989600958016,135.33698177337646,760,194560.0,0.3112,3
6,main,0.4311,0.14985200463212037,0.0,0.4593172506772374,0.4593172506772374,0.0,0.0,0.0,0.0,0.004564144736842106,0.46734234234234234,0.33289473684210524,0.31676136363636365,0.6625411184210527,0.18496710730466084,0.0,0.0,0.0,1.2981214830357777,0.23012952302631579,0.23012952302631579,0.0,0.0,0.033656897258601694,10,30,247120,10.830589891770234,0.0,27.980768024463906,135.4101700782776,760,194560.0,0.4311,6
7,main,0.3312,0.14979858579183433,0.0,0.46738276524150646,0.46738276524150646,0.0,0.0,0.0,0.0,0.009426398026315789,0.6145038167938931,0.2802014802631579,0.24334140435835352,0.7103721217105263,0.15079227262860864,0.0,0.0,0.0,1.3567949786782265,0.18109580592105262,0.18109580592105262,0.0,0.0,0.034050355635975534,10,30,247120,10.791304483543295,0.0,27.36748585673177,135.79033946990967,760,194560.0,0.4311,6
8,main,0.4141,0.14973696444371282,0.0,0.4015826613777072,0.4015826613777072,0.0,0.0,0.0,0.0,0.028644120065789473,0.6140319397093128,0.34907997532894736,0.377342933286217,0.6222759046052632,0.2305938713141158,0.0,0.0,0.0,1.2513550476808297,0.2928042763157895,0.2928042763157895,0.0,0.0,0.034266410836655846,10,30,247120,10.68503667901085,0.0,26.850669783629577,134.56316089630127,760,194560.0,0.4311,6
9,main,0.3562,0.14966714734523098,0.0,0.3262783300266356,0.3262783300266356,0.0,0.0,0.0,0.0,0.05801295230263158,0.5299902542748295,0.4040398848684211,0.30103040325658315,0.5379471628289474,0.20009936653831822,0.0,0.0,0.0,1.1260258874610851,0.26001747532894737,0.26001747532894737,0.0,0.0,0.03379233117754522,10,30,247120,10.198851479216627,0.0,26.36408562227839,133.95814108848572,760,194560.0,0.4311,6
10,main,0.4316,0.14958914215262048,0.0,0.30848040656174386,0.30848040656174386,0.0,0.0,0.0,0.0,0.09165296052631579,0.5088043965903993,0.4870168585526316,0.3646495134770036,0.4213301809210526,0.23627003684094958,0.0,0.0,0.0,0.9402724231152157,0.32377158717105264,0.32377158717105264,0.0,0.0,0.03400124806028448,10,30,247120,9.614722187920007,0.0,25.790794057289403,136.02706027030945,760,194560.0,0.4316,10
11,main,0.4901,0.14950295742002973,0.02,0.29744713305691745,0.2692929923705953,0.0026289357493588365,0.020662157801224997,0.003620928294013107,0.0012421191881003325,0.09443873355263158,0.5404919995646021,0.4909796463815789,0.33290761580738026,0.41458162006578947,0.22926817173107203,0.0008679070723684213,0.005278798264426817,1.0,0.9132566390068908,0.3095497532894737,0.3095446134868421,8.73766447368421e-05,9.251644736842106e-05,0.02465068208249776,10,30,247120,9.206924043033425,0.0,25.168254033396472,133.72126984596252,760,194560.0,0.4901,11
12,main,0.4668,0.14940860259858585,0.04,0.25711686245508886,0.20479164669339203,0.004229751345770924,0.040327896920375916,0.007109072889005275,0.0006584940913231357,0.09578022203947369,0.7067883015830426,0.5485248766447368,0.39999625190918375,0.35569490131578946,0.24505808912779609,0.0011233552631578947,0.010540330167369622,1.0,0.8438001236241115,0.37413137335526314,0.3742701480263158,0.00024157072368421052,0.00010279605263157894,0.02046517062883236,10,30,247120,8.575640937330002,0.0,24.61313344039676,133.3121964931488,760,194560.0,0.4901,11
13,main,0.5594,0.14930608803535828,0.06,0.25143667993282803,0.18103611136688605,0.006965498819217349,0.05240686663647035,0.010248471955817781,0.000779731212778164,0.11772203947368422,0.5715158924205379,0.5543688322368421,0.3796936713085724,0.32790912828947366,0.2413241794413618,0.0030265213815789476,0.01737216028115271,1.0,0.8127399312822442,0.3568770559210526,0.35690275493421053,0.0002826891447368421,0.00025699013157894735,0.01848325893822077,10,30,247120,7.834638798905212,0.0,23.794218414011944,133.9946472644806,760,194560.0,0.5594,13
14,main,0.5059,0.14919542497222413,0.08,0.2487517373489314,0.16321732240214357,0.008653893347725802,0.062339736562908483,0.013749225819973569,0.0007915602025413567,0.12380756578947369,0.5501909664563268,0.58251953125,0.4014735077425332,0.29367290296052634,0.24530514377723717,0.004455180921052632,0.02156842392869294,1.0,0.7615944185539296,0.37386410361842104,0.3740234375,0.0003083881578947368,0.00014905427631578948,0.017140782598749196,10,30,247120,7.722721674985655,0.0,23.01651731291431,134.8359739780426,760,194560.0,0.5594,13
15,main,0.5575,0.14907662554463533,0.1,0.24927722569555044,0.15237234990529128,0.01274257910018174,0.06641519538273936,0.016941141949868517,0.0008059591567296976,0.15134148848684212,0.7280692817116658,0.5571032072368421,0.4455669342190239,0.29155530427631576,0.26113706478624943,0.004115439967105263,0.02778217857458482,1.0,0.7660280862921163,0.4344006990131579,0.4345497532894737,0.0003597861842105263,0.00021073190789473685,0.016181117650366537,10,30,247120,7.471115571252602,0.0,22.309314281860885,134.67600774765015,760,194560.0,0.5594,13
16,main,0.5951,0.14894970278028788,0.12,0.26361188449357686,0.14864718361610646,0.014017391267445514,0.08003435770147725,0.020112465885712912,0.0008004854368137833,0.1401881167763158,0.7038680109990834,0.5746247944078947,0.410746071073981,0.28518708881578947,0.25278448617669325,0.00498170230263158,0.034260094428042835,1.0,0.7741324120446256,0.4067639802631579,0.40678967927631576,0.000390625,0.00036492598684210526,0.01539838663302362,10,30,247120,7.3499691226646595,0.0,21.59136389999461,134.6322522163391,760,194560.0,0.5951,16
17,main,0.5137,0.14881467059769313,0.14,0.2597955670795943,0.13876011864110632,0.014068472910204084,0.08267379806033875,0.023467630613595247,0.0008255467781533585,0.14046052631578948,0.5952868852459017,0.5721576891447369,0.42282988528463245,0.28738178453947366,0.2629442169084113,0.007958470394736844,0.03840050966920037,1.0,0.7816337828573428,0.40106907894736843,0.40110505756578946,0.000493421052631579,0.00045744243421052633,0.014829248622500974,10,30,247120,7.442826290379428,0.0,20.906122107627123,134.4108109474182,760,194560.0,0.5951,16
18,main,0.5288,0.14867154380465167,0.16,0.2494074326596762,0.12486329413307096,0.014402667714909369,0.08332280083314368,0.02597920031188742,0.0008394702547536183,0.12355057565789473,0.7444462933688327,0.5752826891447368,0.45988010042259686,0.3011667351973684,0.2712176806894786,0.005051809210526316,0.04828686974942684,1.0,0.8276728668495228,0.43798828125,0.4382195723684211,0.0007247121710526316,0.000493421052631579,0.014594237597071026,10,30,247120,7.382429187182956,0.0,20.351749544162274,135.09227108955383,760,194560.0,0.5951,16
19,main,0.6147,0.14852033809662912,0.18,0.23313428087061958,0.10270767104750696,0.016862549126304464,0.08381962446789992,0.028920935689912816,0.0008235013328406861,0.13209292763157895,0.7335019455252918,0.6120219983552632,0.4580978374973756,0.2558850740131579,0.2585718589936728,0.006336451480263157,0.05670289270775883,1.0,0.7704362819853582,0.44334395559210527,0.44342105263157894,0.0005705180921052632,0.000493421052631579,0.014434818421049338,10,30,247120,6.606370172775667,0.0,19.8486101960396,136.7066249847412,760,194560.0,0.6147,19
