round,acc
1,0.1
2,0.2229
3,0.3347
4,0.3128
5,0.2616
6,0.4375
7,0.3511
8,0.4971
9,0.3836
10,0.479
11,0.5396
12,0.4563
13,0.5495
14,0.531
15,0.5453
16,0.611
17,0.4937
18,0.4727
19,0.5921
20,0.5541
21,0.6159
22,0.531
23,0.5876
24,0.617
25,0.6458
26,0.6862
27,0.6383
28,0.6379
29,0.5659
30,0.614
31,0.5553
32,0.609
33,0.6064
34,0.6314
35,0.6515
36,0.6626
37,0.6961
38,0.687
39,0.701
40,0.6195
41,0.6464
42,0.6039
43,0.627
44,0.5874
45,0.6252
46,0.6125
47,0.6888
48,0.616
49,0.6663
50,0.7142
51,0.7178
52,0.7086
53,0.657
54,0.6254
55,0.6937
56,0.7095
57,0.719
58,0.7331
59,0.7096
60,0.6866
61,0.6585
62,0.7205
63,0.724
64,0.7567
65,0.7108
66,0.7109
67,0.7451
68,0.6763
69,0.738
70,0.7516
71,0.7581
72,0.7762
73,0.7797
74,0.7728
75,0.7713
76,0.7782
77,0.7462
78,0.756
79,0.7674
80,0.7718
81,0.7882
82,0.7779
83,0.7445
84,0.7776
85,0.791
86,0.7827
87,0.7818
88,0.7936
89,0.784
90,0.7949
91,0.7901
92,0.8032
93,0.7904
94,0.7847
95,0.7966
96,0.7978
97,0.7853
98,0.7987
99,0.8108
100,0.806
101,0.8153
102,0.8011
103,0.7966
104,0.8102
105,0.8016
106,0.8126
107,0.8078
108,0.8091
109,0.7983
110,0.8089
111,0.7974
112,0.8069
113,0.802
114,0.8074
115,0.8133
116,0.8162
117,0.8071
118,0.8037
119,0.8
120,0.8129
121,0.8236
122,0.8181
123,0.7983
124,0.8173
125,0.814
126,0.831
127,0.8297
128,0.8164
129,0.8144
130,0.812
131,0.8306
132,0.826
133,0.8163
134,0.808
135,0.8271
136,0.8328
137,0.8178
138,0.8241
139,0.8378
140,0.8219
141,0.8283
142,0.843
143,0.8059
144,0.8368
145,0.8157
146,0.82
147,0.8297
148,0.8339
149,0.8371
150,0.8432
151,0.831
152,0.8452
153,0.8378
154,0.8236
155,0.8322
156,0.8271
157,0.8181
158,0.8401
159,0.8255
160,0.8303
161,0.8254
162,0.8427
163,0.8331
164,0.8439
165,0.8445
166,0.8267
167,0.8422
168,0.8358
169,0.8436
170,0.8445
171,0.8352
172,0.8436
173,0.8399
174,0.8367
175,0.8408
176,0.8532
177,0.8316
178,0.8416
179,0.8366
180,0.8398
181,0.8313
182,0.8406
183,0.832
184,0.8418
185,0.8483
186,0.838
187,0.8461
188,0.8215
189,0.8464
190,0.8387
191,0.8235
192,0.8478
193,0.8496
194,0.8389
195,0.8476
196,0.836
197,0.8274
198,0.8422
199,0.846
200,0.8474
201,0.8515
202,0.8447
203,0.8493
204,0.8453
205,0.8427
206,0.8466
207,0.8378
208,0.8503
209,0.849
210,0.8473
211,0.8463
212,0.8288
213,0.8367
214,0.848
215,0.8452
216,0.8495
217,0.851
218,0.8488
219,0.8497
220,0.8466
221,0.8502
222,0.847
223,0.8522
224,0.8538
225,0.854
226,0.8405
227,0.8491
228,0.8373
229,0.8506
230,0.857
231,0.8518
232,0.8517
233,0.8499
234,0.8519
235,0.8494
236,0.8541
237,0.8477
238,0.8456
239,0.8486
240,0.849
241,0.8526
242,0.849
243,0.8512
244,0.8544
245,0.8508
246,0.8533
247,0.8522
248,0.856
249,0.8508
250,0.8514
251,0.8525
252,0.8499
253,0.8532
254,0.8548
255,0.8532
256,0.8546
257,0.8506
258,0.853
259,0.8542
260,0.8473
261,0.8478
262,0.8494
263,0.8511
264,0.8525
265,0.8525
266,0.8492
267,0.8527
268,0.8528
269,0.8546
270,0.8553
271,0.8547
272,0.8558
273,0.8572
274,0.856
275,0.8555
276,0.856
277,0.8558
278,0.853
279,0.8583
280,0.8555
281,0.8548
282,0.8549
283,0.8552
284,0.8567
285,0.8559
286,0.8569
287,0.8553
288,0.857
289,0.8581
290,0.8562
291,0.8549
292,0.8555
293,0.856
294,0.8566
295,0.8543
296,0.8552
297,0.8573
298,0.8576
299,0.8559
300,0.8555
