round,client,epoch,cls,support_n,query_n,votes,trust,radius,margin_floor,distance_scale,margin_scale
31,17,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,1,2,24.0,23.0,22.0,0.7218462228775024,0.2906171381473541,-0.0029724708292633295,0.06483881920576096,0.06874646991491318
31,17,1,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,1,4,26.0,26.0,26.0,0.6646841764450073,0.23959380388259888,-0.012857764959335327,0.05000000074505806,0.06293872743844986
31,17,1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,1,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,1,7,21.0,21.0,22.0,0.5655964612960815,0.2085024118423462,-0.007717132568359375,0.09335984289646149,0.07923571020364761
31,17,1,8,22.0,22.0,22.0,0.8513404726982117,0.19433782994747162,0.07562614977359772,0.05073095113039017,0.10378362238407135
31,17,1,9,30.0,29.0,29.0,0.8830264210700989,0.13915587961673737,0.14076487720012665,0.05000000074505806,0.07414630800485611
31,17,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,2,2,24.0,23.0,24.0,0.7975777983665466,0.3124614655971527,0.060333382338285446,0.06587857007980347,0.07139884680509567
31,17,2,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,2,4,26.0,26.0,23.0,0.8568788766860962,0.27788007259368896,0.003567516803741455,0.05714687332510948,0.07757781445980072
31,17,2,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,2,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,2,7,21.0,21.0,20.0,0.8388698697090149,0.16666823625564575,0.07445800304412842,0.08547722548246384,0.08038072288036346
31,17,2,8,22.0,22.0,25.0,0.7004380822181702,0.17472834885120392,0.16236433386802673,0.05000000074505806,0.07411360740661621
31,17,2,9,30.0,29.0,29.0,0.8830264210700989,0.11995512247085571,0.17021195590496063,0.05000000074505806,0.08820481598377228
31,17,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,3,2,24.0,23.0,23.0,0.8568788766860962,0.258182555437088,0.06989328563213348,0.0543740913271904,0.0714668333530426
31,17,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,3,4,26.0,26.0,25.0,0.8668035268783569,0.24939179420471191,0.04220205545425415,0.05839361250400543,0.08211339265108109
31,17,3,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,3,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,3,7,21.0,21.0,22.0,0.7820151448249817,0.1540297269821167,0.10039210319519043,0.08067667484283447,0.07853050529956818
31,17,3,8,22.0,22.0,22.0,0.8513404726982117,0.16852281987667084,0.19434130191802979,0.05000000074505806,0.051705922931432724
31,17,3,9,30.0,29.0,29.0,0.8830264210700989,0.14265474677085876,0.1809760332107544,0.05000000074505806,0.09635796397924423
31,17,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,4,2,24.0,23.0,23.0,0.8568788766860962,0.2411453127861023,0.07543929666280746,0.05352945625782013,0.07443387806415558
31,17,4,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,4,4,26.0,26.0,25.0,0.8668035268783569,0.25873059034347534,0.06180790066719055,0.05589219927787781,0.06225604936480522
31,17,4,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,4,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,4,7,21.0,21.0,22.0,0.7820151448249817,0.1869177222251892,0.1258055567741394,0.08864713460206985,0.07829023152589798
31,17,4,8,22.0,22.0,22.0,0.8513404726982117,0.1916285753250122,0.14611463248729706,0.05000000074505806,0.06686386466026306
31,17,4,9,30.0,29.0,29.0,0.8830264210700989,0.14489227533340454,0.1698673814535141,0.05000000074505806,0.08775319159030914
31,17,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,5,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,5,2,24.0,23.0,23.0,0.8568788766860962,0.248432919383049,0.09795588254928589,0.06030302122235298,0.07305752485990524
31,17,5,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,5,4,26.0,26.0,26.0,0.8712669610977173,0.24869218468666077,0.06515005230903625,0.05390243977308273,0.06657671183347702
31,17,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,5,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,5,7,21.0,21.0,21.0,0.8453561663627625,0.1918478012084961,0.09566307067871094,0.09491648524999619,0.0756145566701889
31,17,5,8,22.0,22.0,22.0,0.8513404726982117,0.1769637018442154,0.20399531722068787,0.05000000074505806,0.05000000074505806
31,17,5,9,30.0,29.0,29.0,0.8830264210700989,0.15316134691238403,0.15255141258239746,0.05000000074505806,0.07006233185529709
31,5,1,0,3.0,3.0,3.0,0.046117737889289856,0.46608880162239075,-0.08747854083776474,0.07058096677064896,0.07290366291999817
31,5,1,1,23.0,22.0,20.0,0.6989618539810181,0.20678383111953735,-0.006263028830289841,0.05000000074505806,0.06039721146225929
31,5,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,5,1,3,28.0,28.0,28.0,0.6440821290016174,0.27598434686660767,-0.011091821826994419,0.0643976479768753,0.05854865536093712
31,5,1,4,28.0,28.0,25.0,0.7503347992897034,0.3153938353061676,-0.016886800527572632,0.081358402967453,0.07121362537145615
31,5,1,5,21.0,20.0,20.0,0.5312950015068054,0.2816373407840729,-0.02601168118417263,0.06229737401008606,0.051168493926525116
31,5,1,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,5,1,7,8.0,8.0,11.0,0.4343497157096863,0.20900721848011017,0.06178794428706169,0.06029900163412094,0.05000000074505806
31,5,1,8,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
