round,phase,client,pred_class,s_lo,s_hi,geometry_group,visits,correct,confidence_sum,a_visits,a_correct,a_weight,a_wrong_weight
91,2,1,0,0.0,0.6,unknown,68.0,0.0,30.49770101904869,0.0,0.0,0.0,0.0
91,2,1,0,0.6,0.9,unknown,63.0,0.0,47.42268544435501,0.0,0.0,0.0,0.0
91,2,1,0,0.9,0.95,unknown,9.0,0.0,8.268929183483124,0.0,0.0,0.0,0.0
91,2,1,0,0.95,0.97,unknown,6.0,0.0,5.773002803325653,6.0,0.0,6.0,6.0
91,2,1,0,0.97,0.99,unknown,10.0,0.0,9.80813443660736,10.0,0.0,10.0,10.0
91,2,1,0,0.99,0.995,unknown,6.0,0.0,5.9551461935043335,6.0,0.0,6.0,6.0
91,2,1,0,0.995,1.0,unknown,13.0,0.0,12.979129374027252,13.0,0.0,13.0,13.0
91,2,1,1,0.0,0.6,oppose,119.0,3.0,53.01392601430416,0.0,0.0,0.0,0.0
91,2,1,1,0.6,0.9,oppose,81.0,7.0,60.83124965429306,0.0,0.0,0.0,0.0
91,2,1,1,0.9,0.95,oppose,16.0,1.0,14.834864020347595,0.0,0.0,0.0,0.0
91,2,1,1,0.95,0.97,oppose,8.0,2.0,7.707859814167023,8.0,2.0,4.7990076541900635,3.429054379463196
91,2,1,1,0.97,0.99,oppose,10.0,5.0,9.780445754528046,10.0,5.0,6.316765248775482,3.250332832336426
91,2,1,1,0.99,0.995,oppose,7.0,3.0,6.956027984619141,7.0,3.0,5.051966369152069,2.983944535255432
91,2,1,1,0.995,1.0,support,42.0,42.0,41.999266147613525,42.0,42.0,42.0,0.0
91,2,1,1,0.995,1.0,oppose,106.0,99.0,105.93044519424438,106.0,99.0,77.74620711803436,3.9245508909225464
91,2,1,2,0.0,0.6,support,68.0,33.0,32.78906852006912,0.0,0.0,0.0,0.0
91,2,1,2,0.0,0.6,oppose,501.0,222.0,238.17172481119633,0.0,0.0,0.0,0.0
91,2,1,2,0.6,0.9,support,195.0,143.0,154.10448116064072,0.0,0.0,0.0,0.0
91,2,1,2,0.6,0.9,oppose,710.0,411.0,546.181744992733,0.0,0.0,0.0,0.0
91,2,1,2,0.9,0.95,support,98.0,74.0,91.06451559066772,0.0,0.0,0.0,0.0
91,2,1,2,0.9,0.95,oppose,195.0,139.0,180.92517340183258,0.0,0.0,0.0,0.0
91,2,1,2,0.95,0.97,support,78.0,69.0,74.97992765903473,78.0,69.0,78.0,9.0
91,2,1,2,0.95,0.97,oppose,136.0,114.0,130.54805314540863,136.0,114.0,80.10946238040924,12.797156155109406
91,2,1,2,0.97,0.99,support,203.0,194.0,199.2749999165535,203.0,194.0,203.0,9.0
91,2,1,2,0.97,0.99,oppose,277.0,220.0,271.7127659916878,277.0,220.0,177.4724943637848,33.6467502117157
91,2,1,2,0.99,0.995,support,124.0,118.0,123.12268167734146,124.0,118.0,124.0,6.0
91,2,1,2,0.99,0.995,oppose,144.0,126.0,142.9645699262619,144.0,126.0,99.59409439563751,10.9254469871521
91,2,1,2,0.995,1.0,support,1573.0,1538.0,1571.972079694271,1573.0,1538.0,1573.0,35.0
91,2,1,2,0.995,1.0,oppose,484.0,446.0,483.25570291280746,484.0,446.0,357.949809551239,27.985830068588257
91,2,1,3,0.0,0.6,support,49.0,18.0,24.052935376763344,0.0,0.0,0.0,0.0
91,2,1,3,0.0,0.6,oppose,679.0,284.0,323.6878124475479,0.0,0.0,0.0,0.0
91,2,1,3,0.6,0.9,support,231.0,135.0,179.538660466671,0.0,0.0,0.0,0.0
91,2,1,3,0.6,0.9,oppose,980.0,478.0,742.633192896843,0.0,0.0,0.0,0.0
91,2,1,3,0.9,0.95,support,133.0,100.0,123.33508044481277,0.0,0.0,0.0,0.0
91,2,1,3,0.9,0.95,oppose,284.0,169.0,262.7985689043999,0.0,0.0,0.0,0.0
91,2,1,3,0.95,0.97,support,101.0,67.0,97.13538461923599,101.0,67.0,101.0,34.0
91,2,1,3,0.95,0.97,oppose,141.0,83.0,135.38617306947708,141.0,83.0,99.98590791225433,41.150796711444855
91,2,1,3,0.97,0.99,support,221.0,161.0,217.00493663549423,221.0,161.0,221.0,60.0
91,2,1,3,0.97,0.99,oppose,204.0,140.0,200.0567609667778,204.0,140.0,149.12504589557648,47.295698404312134
91,2,1,3,0.99,0.995,support,133.0,104.0,132.05348962545395,133.0,104.0,133.0,29.0
91,2,1,3,0.99,0.995,oppose,85.0,61.0,84.3954746723175,85.0,61.0,63.522251665592194,17.52091348171234
91,2,1,3,0.995,1.0,support,1070.0,951.0,1069.0267060995102,1070.0,951.0,1070.0,119.0
