round,acc
1,0.1
2,0.2229
3,0.3347
4,0.3128
5,0.2616
6,0.4375
7,0.3511
8,0.4971
9,0.3836
10,0.479
11,0.5396
12,0.4563
13,0.5495
14,0.531
15,0.5453
16,0.611
17,0.4937
18,0.4727
19,0.5921
20,0.5541
21,0.6159
22,0.531
23,0.5876
24,0.617
25,0.6458
26,0.6862
27,0.6383
28,0.6379
29,0.5659
30,0.614
31,0.5585
32,0.6067
33,0.6315
34,0.6581
35,0.6537
36,0.6676
37,0.6921
38,0.676
39,0.7003
40,0.6219
41,0.6435
42,0.5799
43,0.6229
44,0.551
45,0.6086
46,0.6139
47,0.6977
48,0.6148
49,0.6593
50,0.722
51,0.7237
52,0.7179
53,0.6787
54,0.5959
55,0.6942
56,0.7064
57,0.7261
58,0.72
59,0.7046
60,0.6715
61,0.674
62,0.7318
63,0.7288
64,0.7494
65,0.7157
66,0.7042
67,0.7527
68,0.702
69,0.7451
70,0.7549
71,0.7646
72,0.7809
73,0.786
74,0.7693
75,0.7726
76,0.7879
77,0.7609
78,0.7587
79,0.7746
80,0.7809
81,0.7902
82,0.7781
83,0.7584
84,0.7716
85,0.795
86,0.7788
87,0.7887
88,0.7962
89,0.787
90,0.7942
91,0.79
92,0.8011
93,0.7881
94,0.775
95,0.7988
96,0.8047
97,0.7974
98,0.7968
99,0.798
100,0.8092
101,0.8135
102,0.8042
103,0.8076
104,0.8098
105,0.8027
106,0.8077
107,0.8101
108,0.8165
109,0.7946
110,0.8087
111,0.8034
112,0.8138
113,0.8086
114,0.813
115,0.8107
116,0.8148
117,0.8122
118,0.8199
119,0.802
120,0.8239
121,0.8278
122,0.8197
123,0.8137
124,0.8256
125,0.8194
126,0.8342
127,0.8313
128,0.8217
129,0.8258
130,0.8089
131,0.8261
132,0.8335
133,0.8288
134,0.8199
135,0.8293
136,0.8337
137,0.8127
138,0.8299
139,0.8409
140,0.8293
141,0.8293
142,0.8457
143,0.8273
144,0.839
145,0.8181
146,0.829
147,0.8397
148,0.8459
149,0.8465
150,0.846
151,0.8378
152,0.8476
153,0.838
154,0.8295
155,0.8383
156,0.834
157,0.83
158,0.8441
159,0.8226
160,0.8438
161,0.8316
162,0.8409
163,0.8356
164,0.8483
165,0.8485
166,0.8283
167,0.8479
168,0.8431
169,0.8484
170,0.8499
171,0.8413
172,0.8415
173,0.8424
174,0.8496
175,0.8464
176,0.8539
177,0.8413
178,0.8507
179,0.8421
180,0.8337
181,0.8411
182,0.8439
183,0.8382
184,0.847
185,0.8512
186,0.8407
187,0.8553
188,0.836
189,0.8491
190,0.8413
191,0.8361
192,0.8425
193,0.8496
194,0.8399
195,0.8542
196,0.8368
197,0.8265
198,0.847
199,0.8453
200,0.8447
201,0.8511
202,0.8403
203,0.8466
204,0.8473
205,0.8477
206,0.8507
207,0.8485
208,0.8528
209,0.85
210,0.8434
211,0.8523
212,0.8285
213,0.841
214,0.8506
215,0.8517
216,0.8551
217,0.8475
218,0.8511
219,0.8514
220,0.8512
221,0.8509
222,0.8524
223,0.8583
224,0.8537
225,0.8577
226,0.8477
227,0.8509
228,0.8435
229,0.845
230,0.8563
231,0.8453
232,0.8548
233,0.8556
234,0.8559
235,0.8491
236,0.8544
237,0.8517
238,0.8431
239,0.8457
240,0.8521
241,0.8507
242,0.8497
243,0.8527
244,0.8553
245,0.8562
246,0.8541
247,0.8524
248,0.8545
249,0.8537
250,0.8548
251,0.8496
252,0.8492
253,0.853
254,0.8524
255,0.8533
256,0.8518
257,0.846
258,0.8512
259,0.8481
260,0.8478
261,0.8467
262,0.8487
263,0.8522
264,0.8516
265,0.8534
266,0.8514
267,0.8518
268,0.854
269,0.8536
270,0.8556
271,0.8536
272,0.856
273,0.8536
274,0.8514
275,0.855
276,0.8559
277,0.8578
278,0.8521
279,0.854
280,0.8547
281,0.8545
282,0.8564
283,0.8547
284,0.8559
285,0.8545
286,0.8544
287,0.8558
288,0.8553
289,0.8573
290,0.8576
291,0.8563
292,0.8567
293,0.8596
294,0.8587
295,0.8563
296,0.8573
297,0.8564
298,0.8572
299,0.8564
300,0.8559
