round,phase,client,pred_class,s_lo,s_hi,geometry_group,visits,correct,confidence_sum,a_visits,a_correct,a_weight,a_wrong_weight
91,2,1,0,0.0,0.6,unknown,55.0,0.0,25.777045398950577,0.0,0.0,0.0,0.0
91,2,1,0,0.6,0.9,unknown,61.0,0.0,45.19081813097,0.0,0.0,0.0,0.0
91,2,1,0,0.9,0.95,unknown,14.0,0.0,12.938735008239746,0.0,0.0,0.0,0.0
91,2,1,0,0.95,0.97,unknown,11.0,0.0,10.557373344898224,11.0,0.0,11.0,11.0
91,2,1,0,0.97,0.99,unknown,10.0,0.0,9.840753495693207,10.0,0.0,10.0,10.0
91,2,1,0,0.99,0.995,unknown,4.0,0.0,3.972398519515991,4.0,0.0,4.0,4.0
91,2,1,0,0.995,1.0,unknown,9.0,0.0,8.981211543083191,9.0,0.0,9.0,9.0
91,2,1,1,0.0,0.6,oppose,96.0,2.0,44.629904836416245,0.0,0.0,0.0,0.0
91,2,1,1,0.6,0.9,oppose,80.0,8.0,59.844446897506714,0.0,0.0,0.0,0.0
91,2,1,1,0.9,0.95,oppose,14.0,3.0,12.922298848628998,0.0,0.0,0.0,0.0
91,2,1,1,0.95,0.97,oppose,5.0,3.0,4.8099218010902405,5.0,3.0,3.230913758277893,1.2877491116523743
91,2,1,1,0.97,0.99,oppose,15.0,4.0,14.71252590417862,15.0,4.0,9.67269778251648,7.245929419994354
91,2,1,1,0.99,0.995,oppose,9.0,3.0,8.930166900157928,9.0,3.0,6.154148697853088,3.9630143642425537
91,2,1,1,0.995,1.0,support,58.0,58.0,57.989098727703094,58.0,58.0,58.0,0.0
91,2,1,1,0.995,1.0,oppose,87.0,83.0,86.95146650075912,87.0,83.0,69.66607058048248,2.2649500370025635
91,2,1,2,0.0,0.6,support,56.0,34.0,27.281967252492905,0.0,0.0,0.0,0.0
91,2,1,2,0.0,0.6,oppose,505.0,215.0,236.9895595908165,0.0,0.0,0.0,0.0
91,2,1,2,0.6,0.9,support,181.0,124.0,143.48230081796646,0.0,0.0,0.0,0.0
