phase,round,acc,loss,L_sup,L_A,L_B,L_proto,best_acc,best_round,gate,a_ratio,b_ratio,c_ratio,m_a,geom_drop_rate,a_prec,b_prec,hce_rate,proto_a_share,proto_a_dirty,proto_a_unique,proto_lab_mass,proto_a_mass,lab_mult,rel_r,rel_m,rel_alpha,tau0,delta0,eta_B,tau_warmup,cap_a,cap_b,lambda_A_scale,lambda_B_scale,use_a_for_proto,lr,cnt_u,cnt_a,cnt_b,cnt_c,pass_s,geom_drop,a_total,a_correct,b_total,b_correct,hce_hc,hce_den_hc,n_batches
3,226,0.8473,0.25048,0.00391,0.1425,0.07522,0.21451,0.854,224,1.0,0.73034,0.18934,0.08032,0.73034,0.0,0.90494,0.59344,0.09506,0.56882,0.07419,15924.73364,97280.0,128335.95996,48.64,0.78215,-0.8071,0.55733,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.02141,194560,142095,36838,15627,142095,0,142095,128588,36838,21861,13507,142095,760
3,227,0.8495,0.27218,0.00514,0.15032,0.08688,0.22016,0.854,224,1.0,0.69673,0.2124,0.09087,0.69673,0.0,0.86553,0.56119,0.13447,0.55524,0.10227,15772.99683,97280.0,121446.93457,48.64,0.76468,-0.9947,0.57368,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.02087,194560,135556,41325,17679,135556,0,135556,117328,41325,23191,18228,135556,760
3,228,0.8399,0.27297,0.00433,0.15308,0.08782,0.2012,0.854,224,1.0,0.70137,0.21053,0.0881,0.70137,0.0,0.88284,0.58479,0.11716,0.56266,0.0899,16119.2019,97280.0,125153.96777,48.64,0.78797,-0.80998,0.61333,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.02033,194560,136459,40960,17141,136459,0,136459,120472,40960,23953,15987,136459,760
3,229,0.8481,0.26782,0.00531,0.14778,0.08683,0.20036,0.854,224,1.0,0.71133,0.2026,0.08607,0.71133,0.0,0.89836,0.58724,0.10164,0.5665,0.0804,16023.09338,97280.0,127125.4043,48.64,0.79246,-0.73825,0.60012,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01979,194560,138397,39418,16745,138397,0,138397,124330,39418,23148,14067,138397,760
3,230,0.8549,0.27034,0.00478,0.14661,0.08917,0.21817,0.8549,230,1.0,0.71023,0.20113,0.08865,0.71023,0.0,0.88975,0.58314,0.11025,0.56207,0.08719,15856.33826,97280.0,124857.15723,48.64,0.7752,-0.85737,0.56897,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01926,194560,138182,39131,17247,138182,0,138182,122948,39131,22819,15234,138182,760
3,231,0.8485,0.24989,0.00404,0.14167,0.07558,0.21692,0.8549,230,1.0,0.73439,0.18648,0.07913,0.73439,0.0,0.90492,0.60609,0.09508,0.57229,0.07404,16035.46606,97280.0,130165.90137,48.64,0.79143,-0.79387,0.57939,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01874,194560,142883,36282,15395,142883,0,142883,129298,36282,21990,13585,142883,760
3,232,0.8513,0.25326,0.00375,0.14217,0.07911,0.21475,0.8549,230,1.0,0.7211,0.19646,0.08244,0.7211,0.0,0.90544,0.59611,0.09456,0.56795,0.07265,16021.5885,97280.0,127879.97656,48.64,0.78783,-0.79357,0.58348,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01823,194560,140298,38223,16039,140298,0,140298,127032,38223,22785,13266,140298,760
3,233,0.8534,0.25121,0.00406,0.14052,0.07787,0.21928,0.8549,230,1.0,0.72372,0.194,0.08229,0.72372,0.0,0.89545,0.58571,0.10455,0.5662,0.0804,15860.66541,97280.0,126972.0293,48.64,0.77888,-0.87238,0.56636,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01772,194560,140806,37744,16010,140806,0,140806,126085,37744,22107,14721,140806,760
3,234,0.8545,0.25651,0.00382,0.14499,0.08036,0.19837,0.8549,230,1.0,0.71741,0.19583,0.08676,0.71741,0.0,0.90937,0.59606,0.09063,0.5689,0.07052,16045.8916,97280.0,128376.38867,48.64,0.79511,-0.77913,0.62025,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01721,194560,139580,38100,16880,139580,0,139580,126930,38100,22710,12650,139580,760
3,235,0.8483,0.24876,0.00394,0.14103,0.07639,0.21141,0.8549,230,1.0,0.73343,0.19001,0.07656,0.73343,0.0,0.89621,0.60247,0.10379,0.57304,0.07985,16339.32886,97280.0,130563.51074,48.64,0.79953,-0.70812,0.59551,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01671,194560,142697,36968,14895,142697,0,142697,127886,36968,22272,14811,142697,760
3,236,0.8559,0.2608,0.00379,0.14838,0.07991,0.20906,0.8559,236,1.0,0.71255,0.20182,0.08563,0.71255,0.0,0.88816,0.5883,0.11184,0.56466,0.08503,15887.34814,97280.0,126176.20117,48.64,0.78505,-0.8888,0.60856,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01622,194560,138634,39266,16660,138634,0,138634,123129,39266,23100,15505,138634,760
3,237,0.851,0.24249,0.00375,0.1406,0.07202,0.19694,0.8559,236,1.0,0.7291,0.19276,0.07814,0.7291,0.0,0.90093,0.58932,0.09907,0.57337,0.07396,16355.78271,97280.0,130739.35645,48.64,0.80554,-0.74538,0.63456,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01574,194560,141853,37504,15203,141853,0,141853,127799,37504,22102,14054,141853,760
3,238,0.845,0.25259,0.00399,0.14344,0.07718,0.20938,0.8559,236,1.0,0.73144,0.18743,0.08114,0.73144,0.0,0.90868,0.59143,0.09132,0.57053,0.07002,16011.88696,97280.0,129229.33594,48.64,0.78919,-0.78147,0.57347,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01526,194560,142308,36466,15786,142308,0,142308,129312,36466,21567,12996,142308,760
3,239,0.8488,0.25749,0.0036,0.14753,0.07949,0.1948,0.8559,236,1.0,0.71757,0.19626,0.08617,0.71757,0.0,0.90292,0.58614,0.09708,0.56773,0.07365,15921.57178,97280.0,127763.83105,48.64,0.79136,-0.79851,0.60851,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01479,194560,139611,38184,16765,139611,0,139611,126057,38184,22381,13554,139611,760
3,240,0.8509,0.25825,0.00373,0.14959,0.07814,0.19682,0.8559,236,1.0,0.71476,0.20198,0.08326,0.71476,0.0,0.8873,0.58747,0.1127,0.56712,0.08376,16148.89771,97280.0,127448.77734,48.64,0.79377,-0.83926,0.63171,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01432,194560,139064,39297,16199,139064,0,139064,123392,39297,23086,15672,139064,760
3,241,0.8531,0.24826,0.00345,0.14017,0.07662,0.21417,0.8559,236,1.0,0.74011,0.18004,0.07985,0.74011,0.0,0.91873,0.59394,0.08127,0.57515,0.06276,16054.96973,97280.0,131692.41504,48.64,0.79527,-0.75555,0.57465,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01387,194560,143996,35029,15535,143996,0,143996,132294,35029,20805,11702,143996,760
3,242,0.8528,0.24271,0.00315,0.13912,0.07304,0.20897,0.8559,236,1.0,0.73333,0.18745,0.07922,0.73333,0.0,0.91504,0.60551,0.08496,0.5715,0.06469,15945.56787,97280.0,129745.21289,48.64,0.79182,-0.87283,0.59835,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01341,194560,142677,36470,15413,142677,0,142677,130555,36470,22083,12122,142677,760
3,243,0.8507,0.25056,0.00381,0.14348,0.07591,0.20036,0.8559,236,1.0,0.72955,0.18991,0.08054,0.72955,0.0,0.91014,0.59636,0.08986,0.5722,0.07011,16030.18811,97280.0,130117.31445,48.64,0.79696,-0.76478,0.60036,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01297,194560,141942,36949,15669,141942,0,141942,129187,36949,22035,12755,141942,760
3,244,0.8544,0.25663,0.00449,0.14569,0.07751,0.2168,0.8559,236,1.0,0.7172,0.20273,0.08007,0.7172,0.0,0.88918,0.60253,0.11082,0.56639,0.08515,16016.11804,97280.0,127071.36426,48.64,0.79144,-0.86422,0.63039,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01253,194560,139538,39444,15578,139538,0,139538,124074,39444,23766,15464,139538,760
3,245,0.8552,0.23709,0.00317,0.13656,0.0688,0.21912,0.8559,236,1.0,0.7428,0.18202,0.07518,0.7428,0.0,0.91159,0.59252,0.08841,0.57546,0.06877,16105.93384,97280.0,131859.51758,48.64,0.79912,-0.80528,0.60621,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.0121,194560,144520,35413,14627,144520,0,144520,131743,35413,20983,12777,144520,760
3,246,0.8536,0.25381,0.00377,0.14758,0.07597,0.19166,0.8559,236,1.0,0.70967,0.20501,0.08532,0.70967,0.0,0.8943,0.58402,0.1057,0.56483,0.0793,15896.18347,97280.0,126263.70898,48.64,0.78869,-0.84466,0.62258,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01168,194560,138073,39887,16600,138073,0,138073,123479,39887,23295,14594,138073,760
3,247,0.8506,0.24273,0.00352,0.13669,0.0735,0.22194,0.8559,236,1.0,0.744,0.17809,0.0779,0.744,0.0,0.92362,0.5955,0.07638,0.57575,0.05885,15870.60559,97280.0,132017.58008,48.64,0.79378,-0.819,0.56581,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.01126,194560,144753,34650,15157,144753,0,144753,133697,34650,20634,11056,144753,760
