round,phase,geom_cov,band_n,sup_n,sup_acc,opp_n,opp_acc,c_lowconf,c_wouldB,c_wouldB_geommiss,c_wouldB_conflict,c_wouldB_other,conflictC_n,conflictC_frac,conflictC_clf_acc,conflictC_proto_acc,tau_n,tau_clipped_n,tau_clipped_frac,tau_raw_ge1_n,tau_effective_ge1_n
226,3,0.762934,21707,2315,0.911015,14246,0.720694,15584,0,0,0,0,11642,0.059838,0.372273,0.423896,194560,0,0.0,0,0
227,3,0.760331,23182,2358,0.888041,15268,0.633089,17604,0,0,0,0,12942,0.066519,0.327152,0.409983,194560,0,0.0,0,0
228,3,0.649546,23227,2443,0.884159,12644,0.619345,17063,0,0,0,0,11937,0.061354,0.294295,0.379073,194560,0,0.0,0,0
229,3,0.661675,22972,2401,0.900042,12799,0.670521,16690,0,0,0,0,11628,0.059766,0.315703,0.387513,194560,0,0.0,0,0
230,3,0.750316,22124,2786,0.868988,13814,0.687346,17131,0,0,0,0,12486,0.064176,0.345667,0.413183,194560,0,0.0,0,0
231,3,0.729646,22219,2399,0.901626,13813,0.711069,15390,0,0,0,0,11830,0.060804,0.35038,0.42519,194560,0,0.0,0,0
232,3,0.7106,22481,2344,0.903584,13631,0.67904,16097,0,0,0,0,11787,0.060583,0.333418,0.410792,194560,0,0.0,0,0
233,3,0.755179,22351,2149,0.910191,14730,0.699117,15897,0,0,0,0,11887,0.061097,0.350215,0.429545,194560,0,0.0,0,0
234,3,0.648813,22461,2034,0.912488,12539,0.687774,16715,0,0,0,0,11616,0.059704,0.32438,0.396522,194560,0,0.0,0,0
235,3,0.679305,22392,2363,0.894625,12848,0.671311,14818,0,0,0,0,10517,0.054055,0.332129,0.422079,194560,0,0.0,0,0
236,3,0.677404,23159,2025,0.897778,13663,0.662226,16648,0,0,0,0,11956,0.061451,0.314152,0.419622,194560,0,0.0,0,0
237,3,0.603529,22723,1840,0.91087,11874,0.638117,15265,0,0,0,0,10180,0.052323,0.299607,0.395481,194560,0,0.0,0,0
238,3,0.730028,21806,2222,0.933843,13697,0.716142,15606,0,0,0,0,11341,0.058291,0.359668,0.450313,194560,0,0.0,0,0
239,3,0.645932,22233,1966,0.917091,12395,0.658491,16727,0,0,0,0,11691,0.060089,0.327089,0.410572,194560,0,0.0,0,0
240,3,0.628319,23052,2127,0.928068,12357,0.622562,16215,0,0,0,0,11035,0.056718,0.305664,0.398731,194560,0,0.0,0,0
241,3,0.74073,20793,2260,0.898673,13142,0.711688,15670,0,0,0,0,11705,0.060161,0.34874,0.419991,194560,0,0.0,0,0
242,3,0.696425,22123,1797,0.91931,13610,0.713079,15371,0,0,0,0,11184,0.057484,0.359889,0.439914,194560,0,0.0,0,0
243,3,0.695149,22037,2295,0.915033,13024,0.712607,15537,0,0,0,0,11149,0.057304,0.348641,0.438246,194560,0,0.0,0,0
244,3,0.654058,24004,2126,0.880056,13574,0.653897,15469,0,0,0,0,10793,0.055474,0.313166,0.417122,194560,0,0.0,0,0
245,3,0.701159,22092,1820,0.895604,13670,0.705413,14376,0,0,0,0,10487,0.053901,0.33613,0.42834,194560,0,0.0,0,0
246,3,0.639409,23198,1746,0.926117,13087,0.643769,16419,0,0,0,0,11147,0.057293,0.32493,0.408361,194560,0,0.0,0,0
247,3,0.791123,20907,2175,0.924598,14365,0.747302,14956,0,0,0,0,11623,0.05974,0.391551,0.483438,194560,0,0.0,0,0
248,3,0.680772,23325,2145,0.903497,13734,0.666739,16350,0,0,0,0,11659,0.059925,0.341624,0.432713,194560,0,0.0,0,0
249,3,0.711788,21564,1708,0.931499,13641,0.724287,15066,0,0,0,0,10732,0.05516,0.374115,0.441483,194560,0,0.0,0,0
250,3,0.725806,21565,1868,0.898822,13784,0.732226,15182,0,0,0,0,11077,0.056934,0.367609,0.435136,194560,0,0.0,0,0
251,3,0.667193,22815,1968,0.902439,13254,0.675796,16523,0,0,0,0,11866,0.060989,0.346958,0.438648,194560,0,0.0,0,0
252,3,0.791247,20268,2384,0.930369,13653,0.775068,14720,0,0,0,0,11180,0.057463,0.406172,0.484973,194560,0,0.0,0,0
253,3,0.624679,22594,1692,0.921395,12422,0.713492,15169,0,0,0,0,9974,0.051264,0.335572,0.4229,194560,0,0.0,0,0
254,3,0.705946,21309,1917,0.937402,13126,0.738687,14729,0,0,0,0,10401,0.053459,0.372272,0.457552,194560,0,0.0,0,0
255,3,0.726686,21865,1792,0.920759,14097,0.7464,16264,0,0,0,0,11932,0.061328,0.381998,0.471757,194560,0,0.0,0,0
256,3,0.607344,22549,1301,0.91545,12394,0.686219,14753,0,0,0,0,9447,0.048556,0.315762,0.389648,194560,0,0.0,0,0
257,3,0.657672,21456,1760,0.917614,12351,0.708364,15069,0,0,0,0,10453,0.053726,0.337032,0.407826,194560,0,0.0,0,0
258,3,0.672102,23245,1895,0.909235,13728,0.694202,17310,0,0,0,0,12075,0.062063,0.347081,0.448944,194560,0,0.0,0,0
259,3,0.70011,20971,1649,0.92359,13033,0.727615,13920,0,0,0,0,9923,0.051002,0.374181,0.461756,194560,0,0.0,0,0
260,3,0.631091,22656,1448,0.948895,12850,0.703346,14496,0,0,0,0,9610,0.049394,0.340583,0.455879,194560,0,0.0,0,0
261,3,0.671876,22461,1706,0.928488,13385,0.705192,15243,0,0,0,0,10866,0.055849,0.347874,0.461715,194560,0,0.0,0,0
262,3,0.671325,20893,1724,0.895012,12302,0.718013,13987,0,0,0,0,9815,0.050447,0.352216,0.422517,194560,0,0.0,0,0
263,3,0.720517,21733,2096,0.928912,13563,0.712822,15818,0,0,0,0,11733,0.060305,0.360607,0.463394,194560,0,0.0,0,0
264,3,0.673891,22100,1642,0.933009,13251,0.702966,15813,0,0,0,0,11291,0.058034,0.339562,0.421486,194560,0,0.0,0,0
265,3,0.668823,22109,1676,0.929594,13111,0.726489,13582,0,0,0,0,9518,0.048921,0.359109,0.477516,194560,0,0.0,0,0
266,3,0.639857,22094,1308,0.899847,12829,0.713306,14099,0,0,0,0,9412,0.048376,0.330429,0.418402,194560,0,0.0,0,0
267,3,0.753784,21205,1607,0.917859,14377,0.774362,14211,0,0,0,0,10454,0.053731,0.401473,0.492634,194560,0,0.0,0,0
268,3,0.730841,21857,1782,0.907969,14192,0.749577,15250,0,0,0,0,10899,0.056019,0.384072,0.463254,194560,0,0.0,0,0
269,3,0.717119,22232,2185,0.935927,13758,0.716674,15320,0,0,0,0,11285,0.058003,0.377935,0.475233,194560,0,0.0,0,0
270,3,0.693312,21993,1653,0.929825,13595,0.745936,14911,0,0,0,0,10201,0.052431,0.388099,0.46466,194560,0,0.0,0,0
271,3,0.755098,20939,1885,0.958621,13926,0.774451,13915,0,0,0,0,10206,0.052457,0.393494,0.49128,194560,0,0.0,0,0
272,3,0.64417,22522,1450,0.928276,13058,0.72714,15537,0,0,0,0,10574,0.054348,0.368451,0.453282,194560,0,0.0,0,0
273,3,0.646173,22446,1667,0.925015,12837,0.696814,14996,0,0,0,0,10164,0.052241,0.346222,0.445789,194560,0,0.0,0,0
274,3,0.644693,21905,1702,0.939483,12420,0.723591,14141,0,0,0,0,9609,0.049388,0.362473,0.458424,194560,0,0.0,0,0
275,3,0.706455,22511,1616,0.923267,14287,0.731714,15349,0,0,0,0,11071,0.056903,0.367808,0.474935,194560,0,0.0,0,0
276,3,0.722658,21789,1758,0.937429,13988,0.765227,15012,0,0,0,0,10883,0.055936,0.397409,0.48516,194560,0,0.0,0,0
277,3,0.706778,21615,1286,0.94479,13991,0.783933,13877,0,0,0,0,9399,0.048309,0.399617,0.487818,194560,0,0.0,0,0
278,3,0.66002,21966,1870,0.936364,12628,0.75879,14256,0,0,0,0,9714,0.049928,0.367511,0.469117,194560,0,0.0,0,0
279,3,0.648656,21802,2303,0.937473,11839,0.690852,14721,0,0,0,0,10307,0.052976,0.350538,0.457068,194560,0,0.0,0,0
280,3,0.736119,22063,2290,0.933624,13951,0.771056,15247,0,0,0,0,10664,0.054811,0.408852,0.495968,194560,0,0.0,0,0
281,3,0.65416,22094,2245,0.94343,12208,0.733208,13833,0,0,0,0,9432,0.048479,0.346162,0.454729,194560,0,0.0,0,0
282,3,0.677015,22967,1956,0.911043,13593,0.713529,16984,0,0,0,0,11857,0.060943,0.353546,0.462512,194560,0,0.0,0,0
283,3,0.701221,22679,2075,0.925301,13828,0.73908,15226,0,0,0,0,10513,0.054035,0.381147,0.480453,194560,0,0.0,0,0
284,3,0.676644,22551,2351,0.932795,12908,0.735358,15654,0,0,0,0,10479,0.05386,0.376849,0.471992,194560,0,0.0,0,0
285,3,0.711653,22407,2436,0.955665,13510,0.761806,14936,0,0,0,0,10121,0.05202,0.393933,0.512598,194560,0,0.0,0,0
286,3,0.684316,22022,3032,0.940633,12038,0.758598,14571,0,0,0,0,9651,0.049604,0.391773,0.491141,194560,0,0.0,0,0
287,3,0.664202,23130,2379,0.950399,12984,0.74407,15173,0,0,0,0,9778,0.050257,0.392923,0.488955,194560,0,0.0,0,0
288,3,0.752274,22755,2684,0.950447,14434,0.77456,15085,0,0,0,0,10640,0.054688,0.404417,0.516071,194560,0,0.0,0,0
