round,acc
1,0.1
2,0.2229
3,0.3347
4,0.3128
5,0.2616
6,0.4375
7,0.3511
8,0.4971
9,0.3836
10,0.479
11,0.5396
12,0.4563
13,0.5495
14,0.531
15,0.5453
16,0.611
17,0.4937
18,0.4727
19,0.5921
20,0.5541
21,0.6159
22,0.531
23,0.5876
24,0.617
25,0.6458
26,0.6862
27,0.6383
28,0.6379
29,0.5659
30,0.614
31,0.5585
32,0.6067
33,0.6315
34,0.6581
35,0.6537
36,0.6676
37,0.6921
38,0.676
39,0.7003
40,0.6219
41,0.6435
42,0.5799
43,0.6229
44,0.551
45,0.6086
46,0.6139
47,0.6977
48,0.6148
49,0.6593
50,0.722
51,0.7237
52,0.7179
53,0.6787
54,0.5959
55,0.6942
56,0.7064
57,0.7261
58,0.72
59,0.7046
60,0.6715
61,0.6726
62,0.7331
63,0.7333
64,0.7593
65,0.7197
66,0.7032
67,0.7505
68,0.6673
69,0.7375
70,0.7584
71,0.7539
72,0.7738
73,0.7768
74,0.776
75,0.769
76,0.7789
77,0.7473
78,0.7594
79,0.7713
80,0.7769
81,0.7795
82,0.7796
83,0.748
84,0.7781
85,0.7908
86,0.7732
87,0.7763
88,0.792
89,0.7789
90,0.7917
91,0.7836
92,0.7964
93,0.7879
94,0.7784
95,0.7968
96,0.8018
97,0.7853
98,0.804
99,0.7993
100,0.8084
101,0.8094
102,0.7972
103,0.8091
104,0.8145
105,0.8047
106,0.8098
107,0.8073
108,0.8042
109,0.7873
110,0.8049
111,0.7996
112,0.8142
113,0.8051
114,0.8016
115,0.8085
116,0.816
117,0.8155
118,0.8104
119,0.7872
120,0.8175
121,0.8235
122,0.8212
123,0.8059
124,0.8124
125,0.8179
126,0.8308
127,0.8305
128,0.8247
129,0.815
130,0.8159
131,0.828
132,0.8259
133,0.8256
134,0.8148
135,0.8252
136,0.8268
137,0.8178
138,0.8282
139,0.8411
140,0.8199
141,0.831
142,0.8409
143,0.8052
144,0.8338
145,0.8125
146,0.8162
147,0.834
148,0.8373
149,0.8438
150,0.8402
151,0.8361
152,0.8463
153,0.8342
154,0.8233
155,0.8302
156,0.8297
157,0.8092
158,0.8418
159,0.8264
160,0.8386
161,0.825
162,0.8357
163,0.8302
164,0.8417
165,0.8465
166,0.8258
167,0.8424
168,0.8409
169,0.8425
170,0.8437
171,0.8332
172,0.8447
173,0.8404
174,0.8394
175,0.8408
176,0.8513
177,0.8326
178,0.8426
179,0.8362
180,0.8426
181,0.837
182,0.841
183,0.8378
184,0.8427
185,0.8481
186,0.8451
187,0.852
188,0.8298
189,0.8457
190,0.842
191,0.84
192,0.8439
193,0.852
194,0.838
195,0.8522
196,0.8458
197,0.8321
198,0.8473
199,0.8461
200,0.8479
201,0.8503
202,0.8448
203,0.8488
204,0.843
205,0.8426
206,0.8485
207,0.8463
208,0.8524
209,0.8485
210,0.8512
211,0.8509
212,0.8335
213,0.8335
214,0.848
215,0.8474
216,0.85
217,0.8492
218,0.8465
219,0.8498
220,0.852
221,0.8517
222,0.8525
223,0.8523
224,0.854
225,0.8528
