[2026-09-17 22:26:24] started evidence PID=3547921 run_id=bc_targets_evidence_20260917_222624_3547901
[2026-09-17 22:26:24] queue waiter PID=3547925
[2026-09-17 22:26:24] queue waiting for free VRAM>=6500MiB to launch labelhead+separation in parallel (stamp=20260917_222624_3547901)
[2026-09-17 22:26:24] queue waiting for free VRAM>=6500MiB to launch labelhead+separation in parallel (stamp=20260917_222624_3547901)
[2026-09-17 22:26:24] waiting: free=6626MiB gpu_procs=3
[2026-09-17 22:26:24] waiting: free=6626MiB gpu_procs=3
[2026-09-17 22:26:24] capacity OK; launching labelhead + separation
[2026-09-17 22:26:24] capacity OK; launching labelhead + separation
[2026-09-17 22:26:24] started labelhead PID=3547952 run_id=bc_targets_labelhead_20260917_222624_3547901
[2026-09-17 22:26:24] started labelhead PID=3547952 run_id=bc_targets_labelhead_20260917_222624_3547901
[2026-09-17 22:26:24] started separation PID=3547956 run_id=bc_targets_separation_20260917_222624_3547901
[2026-09-17 22:26:24] started separation PID=3547956 run_id=bc_targets_separation_20260917_222624_3547901
[2026-09-17 22:26:24] queued pair launched
[2026-09-17 22:26:24] queued pair launched
[2026-09-17 22:27:52] requeue labelhead+separation after OOM cleanup; keep evidence PID=3547921
[2026-09-17 22:27:52] queue pair waiting for free VRAM>=6500MiB (stamp=20260917_222624_3547901)
[2026-09-17 22:27:52] queue pair waiting for free VRAM>=6500MiB (stamp=20260917_222624_3547901)
[2026-09-17 22:27:53] waiting: free=3539MiB gpu_procs=4
[2026-09-17 22:27:53] waiting: free=3539MiB gpu_procs=4
[2026-09-17 22:28:53] waiting: free=3527MiB gpu_procs=4
[2026-09-17 22:28:53] waiting: free=3527MiB gpu_procs=4
[2026-09-17 22:29:53] waiting: free=3527MiB gpu_procs=4
[2026-09-17 22:29:53] waiting: free=3527MiB gpu_procs=4
[2026-09-17 22:30:53] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:30:53] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:31:53] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:31:53] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:32:53] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:32:53] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:33:53] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:33:53] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:34:53] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:34:53] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:35:53] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:35:53] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:36:53] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:36:53] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:37:53] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:37:53] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:38:54] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:38:54] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:39:54] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:39:54] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:40:54] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:40:54] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:41:54] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:41:54] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:42:54] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:42:54] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:43:54] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:43:54] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:44:54] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:44:54] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:45:54] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:45:54] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:46:54] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:46:54] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:47:54] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:47:54] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:48:55] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:48:55] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:49:55] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:49:55] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:50:55] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:50:55] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:51:55] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:51:55] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:52:55] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:52:55] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:53:55] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:53:55] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:54:55] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:54:55] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:55:55] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:55:55] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:56:55] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:56:55] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:57:55] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:57:55] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:58:56] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:58:56] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:59:56] waiting: free=3525MiB gpu_procs=4
[2026-09-17 22:59:56] waiting: free=3525MiB gpu_procs=4
[2026-09-17 23:00:56] waiting: free=3525MiB gpu_procs=4
[2026-09-17 23:00:56] waiting: free=3525MiB gpu_procs=4
[2026-09-17 23:01:56] waiting: free=3525MiB gpu_procs=4
[2026-09-17 23:01:56] waiting: free=3525MiB gpu_procs=4
[2026-09-17 23:02:56] waiting: free=3525MiB gpu_procs=4
[2026-09-17 23:02:56] waiting: free=3525MiB gpu_procs=4
[2026-09-17 23:03:56] waiting: free=3525MiB gpu_procs=4
[2026-09-17 23:03:56] waiting: free=3525MiB gpu_procs=4
[2026-09-17 23:04:56] waiting: free=3525MiB gpu_procs=4
[2026-09-17 23:04:56] waiting: free=3525MiB gpu_procs=4
